Time,wordle_game
2022-01-01,0.0
2022-01-02,1.0
2022-01-03,1.0
2022-01-04,7.0
2022-01-05,8.0
2022-01-06,6.0
2022-01-07,15.0
2022-01-08,14.0
2022-01-09,14.0
2022-01-10,13.0
2022-01-11,20.0
2022-01-12,26.0
2022-01-13,34.0
2022-01-14,27.0
2022-01-15,44.0
2022-01-16,44.0
2022-01-17,34.0
2022-01-18,31.0
2022-01-19,42.0
2022-01-20,55.0
2022-01-21,62.0
2022-01-22,54.0
2022-01-23,56.0
2022-01-24,58.0
2022-01-25,47.0
2022-01-26,57.0
2022-01-27,62.0
2022-01-28,69.0
2022-01-29,85.0
2022-01-30,86.0
2022-01-31,70.0
2022-02-01,100.0
2022-02-02,86.0
2022-02-03,100.0
2022-02-04,92.0
2022-02-05,82.0
2022-02-06,64.0
2022-02-07,51.0
2022-02-08,47.0
2022-02-09,50.0
2022-02-10,51.0
2022-02-11,82.0
2022-02-12,84.0
2022-02-13,73.0
2022-02-14,61.0
2022-02-15,72.0
2022-02-16,69.0
2022-02-17,63.0
2022-02-18,61.0
2022-02-19,66.0
2022-02-20,67.0
2022-02-21,55.0
2022-02-22,52.0
2022-02-23,50.0
2022-02-24,58.0
2022-02-25,52.0
2022-02-26,60.0
2022-02-27,63.0
2022-02-28,54.0
2022-03-01,61.0
2022-03-02,54.0
2022-03-03,53.0
2022-03-04,58.0
2022-03-05,58.0
2022-03-06,52.0
2022-03-07,49.0
2022-03-08,50.0
2022-03-09,50.0
2022-03-10,52.0
2022-03-11,54.0
2022-03-12,59.0
2022-03-13,57.0
2022-03-14,47.0
2022-03-15,50.0
2022-03-16,50.0
2022-03-17,50.0
2022-03-18,56.0
2022-03-19,52.0
2022-03-20,49.0
2022-03-21,40.0
2022-03-22,45.0
2022-03-23,45.0
2022-03-24,44.0
2022-03-25,52.0
2022-03-26,52.0
2022-03-27,51.0
2022-03-28,44.0
2022-03-29,47.0
2022-03-30,44.0
2022-03-31,51.0
2022-04-01,52.0
2022-04-02,45.0
2022-04-03,45.0
2022-04-04,43.0
2022-04-05,49.0
2022-04-06,49.0
2022-04-07,47.0
2022-04-08,46.0
2022-04-09,41.0
2022-04-10,36.0
2022-04-11,44.0
2022-04-12,44.0
2022-04-13,41.0
2022-04-14,46.0
2022-04-15,37.0
2022-04-16,36.0
2022-04-17,39.0
2022-04-18,36.0
2022-04-19,37.0
2022-04-20,39.0
2022-04-21,44.0
2022-04-22,39.0
2022-04-23,36.0
2022-04-24,35.0
2022-04-25,41.0
2022-04-26,38.0
2022-04-27,36.0
2022-04-28,39.0
2022-04-29,36.0
2022-04-30,36.0
2022-05-01,33.0
2022-05-02,31.0
2022-05-03,33.0
2022-05-04,32.0
2022-05-05,36.0
2022-05-06,35.0
2022-05-07,29.0
2022-05-08,33.0
2022-05-09,34.0
2022-05-10,37.0
2022-05-11,33.0
2022-05-12,36.0
2022-05-13,35.0
2022-05-14,32.0
2022-05-15,33.0
