Time,atlanta falcons
2023-12-22,6
2023-12-23,7
2023-12-24,35
2023-12-25,13
2023-12-26,8
2023-12-27,6
2023-12-28,5
2023-12-29,6
2023-12-30,6
2023-12-31,35
2024-01-01,11
2024-01-02,6
2024-01-03,5
2024-01-04,4
2024-01-05,5
2024-01-06,6
2024-01-07,39
2024-01-08,22
2024-01-09,11
2024-01-10,8
2024-01-11,10
2024-01-12,15
2024-01-13,13
2024-01-14,12
2024-01-15,10
2024-01-16,11
2024-01-17,10
2024-01-18,11
2024-01-19,13
2024-01-20,17
2024-01-21,11
2024-01-22,9
2024-01-23,10
2024-01-24,9
2024-01-25,24
2024-01-26,29
2024-01-27,22
2024-01-28,23
2024-01-29,12
2024-01-30,9
2024-01-31,6
2024-02-01,6
2024-02-02,6
2024-02-03,5
2024-02-04,5
2024-02-05,5
2024-02-06,5
2024-02-07,5
2024-02-08,4
2024-02-09,4
2024-02-10,5
2024-02-11,5
2024-02-12,7
2024-02-13,5
2024-02-14,4
2024-02-15,4
2024-02-16,4
2024-02-17,4
2024-02-18,4
2024-02-19,4
2024-02-20,5
2024-02-21,5
2024-02-22,4
2024-02-23,4
2024-02-24,4
2024-02-25,4
2024-02-26,4
2024-02-27,4
2024-02-28,6
2024-02-29,7
2024-03-01,7
2024-03-02,7
2024-03-03,6
2024-03-04,6
2024-03-05,7
2024-03-06,7
2024-03-07,6
2024-03-08,5
2024-03-09,6
2024-03-10,6
2024-03-11,22
2024-03-12,18
2024-03-13,12
2024-03-14,13
2024-03-15,10
2024-03-16,9
2024-03-17,8
2024-03-18,7
2024-03-19,7
2024-03-20,6
2024-03-21,5
2024-03-22,5
2024-03-23,5
2024-03-24,5
2024-03-25,4
2024-03-26,4
2024-03-27,4
2024-03-28,4
2024-03-29,4
2024-03-30,4
2024-03-31,5
2024-04-01,4
2024-04-02,4
2024-04-03,4
2024-04-04,4
2024-04-05,4
2024-04-06,4
2024-04-07,4
2024-04-08,3
2024-04-09,4
2024-04-10,4
2024-04-11,4
2024-04-12,3
2024-04-13,3
2024-04-14,4
2024-04-15,3
2024-04-16,4
2024-04-17,3
2024-04-18,4
2024-04-19,4
2024-04-20,4
2024-04-21,4
2024-04-22,6
2024-04-23,6
2024-04-24,5
2024-04-25,6
2024-04-26,40
2024-04-27,24
2024-04-28,12
2024-04-29,7
2024-04-30,6
2024-05-01,5
2024-05-02,5
2024-05-03,4
2024-05-04,4
2024-05-05,3
2024-05-06,4
2024-05-07,4
2024-05-08,3
2024-05-09,4
2024-05-10,3
2024-05-11,4
2024-05-12,4
2024-05-13,4
2024-05-14,4
2024-05-15,7
2024-05-16,13
2024-05-17,5
2024-05-18,5
2024-05-19,4
2024-05-20,4
2024-05-21,4
2024-05-22,4
2024-05-23,3
2024-05-24,3
2024-05-25,3
2024-05-26,3
2024-05-27,3
2024-05-28,3
2024-05-29,4
2024-05-30,3
2024-05-31,3
2024-06-01,3
2024-06-02,3
2024-06-03,3
2024-06-04,4
2024-06-05,4
2024-06-06,4
2024-06-07,3
2024-06-08,3
2024-06-09,3
2024-06-10,3
2024-06-11,3
2024-06-12,3
2024-06-13,4
2024-06-14,3
2024-06-15,3
2024-06-16,3
2024-06-17,5
2024-06-18,3
2024-06-19,3
2024-06-20,3
2024-06-21,3
2024-06-22,3
2024-06-23,3
2024-06-24,3
2024-06-25,3
2024-06-26,3
2024-06-27,3
2024-06-28,3
2024-06-29,3
2024-06-30,3
2024-07-01,3
2024-07-02,3
2024-07-03,3
2024-07-04,3
2024-07-05,3
2024-07-06,3
2024-07-07,3
2024-07-08,3
2024-07-09,3
2024-07-10,3
2024-07-11,3
2024-07-12,3
2024-07-13,3
2024-07-14,3
2024-07-15,2
2024-07-16,3
2024-07-17,3
2024-07-18,3
2024-07-19,3
2024-07-20,3
2024-07-21,3
2024-07-22,4
2024-07-23,3
2024-07-24,3
2024-07-25,4
2024-07-26,4
2024-07-27,4
2024-07-28,4
2024-07-29,4
2024-07-30,5
2024-07-31,4
2024-08-01,5
2024-08-02,5
2024-08-03,5
2024-08-04,5
2024-08-05,4
2024-08-06,4
2024-08-07,5
2024-08-08,6
2024-08-09,12
2024-08-10,22
2024-08-11,8
2024-08-12,7
2024-08-13,7
2024-08-14,8
2024-08-15,13
2024-08-16,10
2024-08-17,20
2024-08-18,11
2024-08-19,8
2024-08-20,7
2024-08-21,6
2024-08-22,7
2024-08-23,13
2024-08-24,19
2024-08-25,10
2024-08-26,9
2024-08-27,9
2024-08-28,8
2024-08-29,8
2024-08-30,7
2024-08-31,8
2024-09-01,10
2024-09-02,8
2024-09-03,8
2024-09-04,8
2024-09-05,9
2024-09-06,10
2024-09-07,10
2024-09-08,100
2024-09-09,23
2024-09-10,11
2024-09-11,7
2024-09-12,8
2024-09-13,7
2024-09-14,7
2024-09-15,23
2024-09-16,36
