Time,instagram
2024-08-18,78
2024-08-19,73
2024-08-20,76
2024-08-21,73
2024-08-22,75
2024-08-23,70
2024-08-24,77
2024-08-25,79
2024-08-26,74
2024-08-27,71
2024-08-28,70
2024-08-29,69
2024-08-30,69
2024-08-31,69
2024-09-01,70
2024-09-02,73
2024-09-03,69
2024-09-04,70
2024-09-05,67
2024-09-06,66
2024-09-07,70
2024-09-08,73
2024-09-09,70
2024-09-10,67
2024-09-11,74
2024-09-12,79
2024-09-13,72
2024-09-14,70
2024-09-15,71
2024-09-16,69
2024-09-17,70
2024-09-18,72
2024-09-19,66
2024-09-20,68
2024-09-21,71
2024-09-22,77
2024-09-23,65
2024-09-24,66
2024-09-25,66
2024-09-26,68
2024-09-27,68
2024-09-28,68
2024-09-29,72
2024-09-30,68
2024-10-01,70
2024-10-02,67
2024-10-03,69
2024-10-04,71
2024-10-05,68
2024-10-06,76
2024-10-07,69
2024-10-08,66
2024-10-09,67
2024-10-10,65
2024-10-11,64
2024-10-12,69
2024-10-13,71
2024-10-14,68
2024-10-15,69
2024-10-16,71
2024-10-17,70
2024-10-18,71
2024-10-19,70
2024-10-20,78
2024-10-21,70
2024-10-22,78
2024-10-23,69
2024-10-24,67
2024-10-25,70
2024-10-26,72
2024-10-27,74
2024-10-28,74
2024-10-29,72
2024-10-30,71
2024-10-31,70
2024-11-01,80
2024-11-02,76
2024-11-03,75
2024-11-04,68
2024-11-05,64
2024-11-06,55
2024-11-07,68
2024-11-08,68
2024-11-09,72
2024-11-10,71
2024-11-11,72
2024-11-12,71
2024-11-13,71
2024-11-14,70
2024-11-15,67
2024-11-16,64
2024-11-17,71
2024-11-18,69
2024-11-19,69
2024-11-20,70
2024-11-21,70
2024-11-22,65
2024-11-23,66
2024-11-24,66
2024-11-25,69
2024-11-26,69
2024-11-27,67
2024-11-28,68
2024-11-29,64
2024-11-30,63
2024-12-01,70
2024-12-02,67
2024-12-03,67
2024-12-04,68
2024-12-05,64
2024-12-06,65
2024-12-07,71
2024-12-08,73
2024-12-09,67
2024-12-10,68
2024-12-11,100
2024-12-12,71
2024-12-13,65
2024-12-14,74
2024-12-15,71
2024-12-16,67
2024-12-17,68
2024-12-18,70
2024-12-19,68
2024-12-20,70
2024-12-21,71
2024-12-22,69
2024-12-23,73
2024-12-24,70
2024-12-25,76
2024-12-26,72
2024-12-27,70
2024-12-28,71
2024-12-29,72
2024-12-30,72
2024-12-31,82
2025-01-01,92
2025-01-02,77
2025-01-03,73
2025-01-04,77
2025-01-05,72
2025-01-06,66
2025-01-07,72
2025-01-08,68
2025-01-09,79
2025-01-10,70
2025-01-11,70
2025-01-12,77
2025-01-13,70
2025-01-14,70
2025-01-15,67
2025-01-16,72
2025-01-17,74
2025-01-18,78
2025-01-19,93
2025-01-20,74
2025-01-21,75
2025-01-22,79
2025-01-23,72
2025-01-24,73
2025-01-25,70
2025-01-26,77
2025-01-27,70
2025-01-28,73
2025-01-29,71
2025-01-30,69
2025-01-31,70
2025-02-01,69
2025-02-02,74
2025-02-03,70
2025-02-04,71
2025-02-05,69
2025-02-06,69
2025-02-07,69
2025-02-08,71
2025-02-09,73
2025-02-10,71
2025-02-11,70
2025-02-12,70
2025-02-13,69
2025-02-14,74
2025-02-15,80
2025-02-16,76
2025-02-17,72
2025-02-18,73
2025-02-19,73
2025-02-20,72
2025-02-21,71
2025-02-22,72
2025-02-23,77
2025-02-24,72
2025-02-25,68
2025-02-26,72
2025-02-27,76
2025-02-28,72
2025-03-01,74
2025-03-02,74
2025-03-03,67
2025-03-04,69
2025-03-05,69
2025-03-06,67
2025-03-07,65
2025-03-08,71
2025-03-09,70
2025-03-10,68
2025-03-11,69
2025-03-12,69
2025-03-13,66
2025-03-14,66
2025-03-15,67
2025-03-16,70
2025-03-17,71
2025-03-18,70
2025-03-19,70
2025-03-20,70
2025-03-21,66
2025-03-22,72
2025-03-23,74
2025-03-24,69
2025-03-25,71
2025-03-26,73
2025-03-27,69
2025-03-28,67
2025-03-29,72
2025-03-30,74
2025-03-31,73
2025-04-01,67
2025-04-02,65
2025-04-03,69
2025-04-04,73
2025-04-05,69
2025-04-06,69
2025-04-07,67
2025-04-08,67
2025-04-09,66
2025-04-10,65
2025-04-11,71
2025-04-12,68
2025-04-13,73
2025-04-14,69
2025-04-15,71
2025-04-16,70
2025-04-17,68
2025-04-18,74
2025-04-19,72
2025-04-20,77
2025-04-21,74
2025-04-22,75
2025-04-23,73
2025-04-24,69
2025-04-25,66
2025-04-26,69
2025-04-27,74
2025-04-28,70
2025-04-29,69
2025-04-30,67
2025-05-01,72
2025-05-02,68
2025-05-03,70
2025-05-04,74
2025-05-05,71
2025-05-06,72
2025-05-07,72
2025-05-08,68
2025-05-09,72
2025-05-10,71
2025-05-11,80
2025-05-12,72
2025-05-13,71
2025-05-14,69
