Time,alan_jackson
2022-01-01,48.0
2022-01-02,36.0
2022-01-03,22.0
2022-01-04,26.0
2022-01-05,21.0
2022-01-06,19.0
2022-01-07,25.0
2022-01-08,30.0
2022-01-09,27.0
2022-01-10,18.0
2022-01-11,18.0
2022-01-12,22.0
2022-01-13,26.0
2022-01-14,20.0
2022-01-15,29.0
2022-01-16,27.0
2022-01-17,17.0
2022-01-18,20.0
2022-01-19,20.0
2022-01-20,18.0
2022-01-21,19.0
2022-01-22,27.0
2022-01-23,25.0
2022-01-24,24.0
2022-01-25,19.0
2022-01-26,18.0
2022-01-27,33.0
2022-01-28,26.0
2022-01-29,33.0
2022-01-30,31.0
2022-01-31,22.0
2022-02-01,22.0
2022-02-02,22.0
2022-02-03,25.0
2022-02-04,23.0
2022-02-05,30.0
2022-02-06,32.0
2022-02-07,22.0
2022-02-08,20.0
2022-02-09,19.0
2022-02-10,19.0
2022-02-11,24.0
2022-02-12,28.0
2022-02-13,27.0
2022-02-14,20.0
2022-02-15,22.0
2022-02-16,23.0
2022-02-17,22.0
2022-02-18,21.0
2022-02-19,29.0
2022-02-20,29.0
2022-02-21,24.0
2022-02-22,23.0
2022-02-23,23.0
2022-02-24,21.0
2022-02-25,22.0
2022-02-26,30.0
2022-02-27,30.0
2022-02-28,24.0
2022-03-01,21.0
2022-03-02,21.0
2022-03-03,20.0
2022-03-04,22.0
2022-03-05,30.0
2022-03-06,32.0
2022-03-07,25.0
2022-03-08,23.0
2022-03-09,24.0
2022-03-10,24.0
2022-03-11,66.0
2022-03-12,89.0
2022-03-13,66.0
2022-03-14,48.0
2022-03-15,57.0
2022-03-16,51.0
2022-03-17,53.0
2022-03-18,62.0
2022-03-19,56.0
2022-03-20,54.0
2022-03-21,35.0
2022-03-22,34.0
2022-03-23,33.0
2022-03-24,36.0
2022-03-25,34.0
2022-03-26,41.0
2022-03-27,43.0
2022-03-28,26.0
2022-03-29,23.0
2022-03-30,30.0
2022-03-31,27.0
2022-04-01,26.0
2022-04-02,35.0
2022-04-03,36.0
2022-04-04,25.0
2022-04-05,22.0
2022-04-06,27.0
2022-04-07,28.0
2022-04-08,30.0
2022-04-09,33.0
2022-04-10,44.0
2022-04-11,29.0
2022-04-12,33.0
2022-04-13,23.0
2022-04-14,28.0
2022-04-15,35.0
2022-04-16,40.0
2022-04-17,42.0
2022-04-18,29.0
2022-04-19,22.0
2022-04-20,30.0
2022-04-21,30.0
2022-04-22,30.0
2022-04-23,39.0
2022-04-24,41.0
2022-04-25,29.0
2022-04-26,28.0
2022-04-27,28.0
2022-04-28,26.0
2022-04-29,31.0
2022-04-30,34.0
2022-05-01,40.0
2022-05-02,26.0
2022-05-03,26.0
2022-05-04,23.0
2022-05-05,25.0
2022-05-06,28.0
2022-05-07,32.0
2022-05-08,43.0
2022-05-09,22.0
2022-05-10,21.0
2022-05-11,27.0
2022-05-12,27.0
2022-05-13,27.0
2022-05-14,38.0
2022-05-15,42.0
2022-05-16,26.0
2022-05-17,29.0
2022-05-18,27.0
2022-05-19,25.0
2022-05-20,26.0
2022-05-21,33.0
2022-05-22,39.0
2022-05-23,27.0
2022-05-24,24.0
2022-05-25,26.0
2022-05-26,28.0
2022-05-27,26.0
2022-05-28,37.0
2022-05-29,42.0
2022-05-30,36.0
2022-05-31,26.0
2022-06-01,24.0
2022-06-02,22.0
2022-06-03,29.0
2022-06-04,55.0
2022-06-05,54.0
2022-06-06,35.0
2022-06-07,31.0
2022-06-08,30.0
2022-06-09,33.0
2022-06-10,33.0
2022-06-11,42.0
2022-06-12,44.0
2022-06-13,35.0
2022-06-14,31.0
2022-06-15,31.0
2022-06-16,31.0
2022-06-17,30.0
2022-06-18,49.0
2022-06-19,49.0
2022-06-20,37.0
2022-06-21,30.0
2022-06-22,33.0
2022-06-23,34.0
2022-06-24,48.0
2022-06-25,73.0
2022-06-26,64.0
2022-06-27,34.0
2022-06-28,28.0
2022-06-29,28.0
2022-06-30,29.0
2022-07-01,33.0
2022-07-02,40.0
2022-07-03,40.0
2022-07-04,45.0
2022-07-05,32.0
2022-07-06,25.0
2022-07-07,28.0
2022-07-08,31.0
2022-07-09,43.0
2022-07-10,45.0
2022-07-11,29.0
2022-07-12,32.0
2022-07-13,31.0
2022-07-14,28.0
2022-07-15,32.0
2022-07-16,39.0
2022-07-17,42.0
2022-07-18,28.0
2022-07-19,31.0
2022-07-20,29.0
2022-07-21,27.0
2022-07-22,34.0
2022-07-23,42.0
2022-07-24,48.0
2022-07-25,34.0
2022-07-26,42.0
2022-07-27,35.0
2022-07-28,42.0
2022-07-29,55.0
2022-07-30,72.0
2022-07-31,77.0
2022-08-01,41.0
2022-08-02,49.0
2022-08-03,44.0
2022-08-04,84.0
2022-08-05,64.0
2022-08-06,58.0
2022-08-07,60.0
2022-08-08,43.0
2022-08-09,46.0
2022-08-10,45.0
2022-08-11,41.0
2022-08-12,50.0
2022-08-13,69.0
2022-08-14,58.0
2022-08-15,34.0
2022-08-16,33.0
2022-08-17,33.0
2022-08-18,32.0
2022-08-19,35.0
2022-08-20,44.0
2022-08-21,47.0
2022-08-22,34.0
2022-08-23,38.0
2022-08-24,41.0
2022-08-25,44.0
2022-08-26,56.0
2022-08-27,100.0
2022-08-28,71.0
2022-08-29,39.75
2022-08-30,38.25
2022-08-31,30.0
2022-09-01,29.5
2022-09-02,36.75
2022-09-03,39.75
2022-09-04,41.75
2022-09-05,50.5
2022-09-06,38.75
2022-09-07,37.25
2022-09-08,37.75
2022-09-09,42.75
2022-09-10,67.25
2022-09-11,78.0
2022-09-12,39.25
2022-09-13,27.0
2022-09-14,28.5
2022-09-15,37.25
2022-09-16,41.75
2022-09-17,77.0
2022-09-18,55.0
2022-09-19,29.0
2022-09-20,29.5
2022-09-21,38.25
2022-09-22,29.0
2022-09-23,28.0
2022-09-24,29.5
2022-09-25,38.25
2022-09-26,27.0
2022-09-27,27.5
2022-09-28,27.0
2022-09-29,27.0
2022-09-30,54.0
2022-10-01,67.5
2022-10-02,54.0
2022-10-03,27.0
2022-10-04,40.5
2022-10-05,67.5
2022-10-06,67.5
2022-10-07,54.0
2022-10-08,54.0
2022-10-09,40.5
2022-10-10,27.0
2022-10-11,27.0
2022-10-12,40.5
2022-10-13,27.0
2022-10-14,27.0
2022-10-15,108.0
2022-10-16,67.5
2022-10-17,40.5
2022-10-18,40.5
2022-10-19,40.5
2022-10-20,40.5
2022-10-21,40.5
2022-10-22,40.5
2022-10-23,40.5
2022-10-24,27.0
2022-10-25,27.0
2022-10-26,27.0
2022-10-27,27.0
2022-10-28,54.0
2022-10-29,54.0
2022-10-30,67.5
2022-10-31,94.5
2022-11-01,54.0
2022-11-02,54.0
2022-11-03,67.5
2022-11-04,54.0
2022-11-05,81.0
2022-11-06,81.0
2022-11-07,40.5
2022-11-08,40.5
2022-11-09,54.0
2022-11-10,1350.0
2022-11-11,486.0
2022-11-12,297.0
2022-11-13,256.5
2022-11-14,162.0
2022-11-15,121.5
2022-11-16,283.5
2022-11-17,418.5
2022-11-18,189.0
2022-11-19,189.0
2022-11-20,256.5
2022-11-21,202.5
2022-11-22,135.0
2022-11-23,189.0
2022-11-24,243.0
2022-11-25,256.5
2022-11-26,270.0
2022-11-27,216.0
2022-11-28,202.5
2022-11-29,256.5
2022-11-30,229.5
2022-12-01,459.0
2022-12-02,297.0
2022-12-03,391.5
2022-12-04,364.5
2022-12-05,256.5
2022-12-06,243.0
2022-12-07,94.5
2022-12-08,54.0
2022-12-09,54.0
2022-12-10,54.0
2022-12-11,94.5
2022-12-12,54.0
2022-12-13,40.5
2022-12-14,40.5
2022-12-15,40.5
2022-12-16,40.5
2022-12-17,54.0
2022-12-18,40.5
2022-12-19,40.5
2022-12-20,40.5
2022-12-21,40.5
2022-12-22,40.5
2022-12-23,40.5
2022-12-24,40.5
2022-12-25,54.0
2022-12-26,40.5
2022-12-27,40.5
