Time,golden_state_warriors
2022-01-01,5.0
2022-01-02,9.0
2022-01-03,4.0
2022-01-04,9.0
2022-01-05,5.0
2022-01-06,7.0
2022-01-07,8.0
2022-01-08,5.0
2022-01-09,10.0
2022-01-10,22.0
2022-01-11,5.0
2022-01-12,10.0
2022-01-13,5.0
2022-01-14,9.0
2022-01-15,10.0
2022-01-16,5.0
2022-01-17,7.0
2022-01-18,5.0
2022-01-19,7.0
2022-01-20,4.0
2022-01-21,9.0
2022-01-22,9.0
2022-01-23,3.0
2022-01-24,8.0
2022-01-25,3.0
2022-01-26,7.0
2022-01-27,4.0
2022-01-28,9.0
2022-01-29,5.0
2022-01-30,11.0
2022-01-31,4.0
2022-02-01,8.0
2022-02-02,8.0
2022-02-03,4.0
2022-02-04,8.0
2022-02-05,4.0
2022-02-06,4.0
2022-02-07,4.0
2022-02-08,7.0
2022-02-09,4.0
2022-02-10,7.0
2022-02-11,8.0
2022-02-12,4.0
2022-02-13,10.0
2022-02-14,3.0
2022-02-15,8.0
2022-02-16,3.0
2022-02-17,7.0
2022-02-18,3.0
2022-02-19,2.0
2022-02-20,2.0
2022-02-21,3.0
2022-02-22,2.0
2022-02-23,3.0
2022-02-24,3.0
2022-02-25,7.0
2022-02-26,3.0
2022-02-27,5.0
2022-02-28,8.0
2022-03-01,4.0
2022-03-02,6.0
2022-03-03,3.0
2022-03-04,6.0
2022-03-05,3.0
2022-03-06,10.0
2022-03-07,3.0
2022-03-08,6.0
2022-03-09,7.0
2022-03-10,4.0
2022-03-11,7.0
2022-03-12,4.0
2022-03-13,9.0
2022-03-14,4.0
2022-03-15,7.0
2022-03-16,4.0
2022-03-17,8.0
2022-03-18,3.0
2022-03-19,3.0
2022-03-20,4.0
2022-03-21,5.0
2022-03-22,4.0
2022-03-23,6.0
2022-03-24,5.0
2022-03-25,4.0
2022-03-26,5.0
2022-03-27,5.0
2022-03-28,4.0
2022-03-29,4.0
2022-03-30,3.0
2022-03-31,6.0
2022-04-01,3.0
2022-04-02,4.0
2022-04-03,7.0
2022-04-04,6.0
2022-04-05,3.0
2022-04-06,3.0
2022-04-07,3.0
2022-04-08,6.0
2022-04-09,4.0
2022-04-10,6.0
2022-04-11,6.0
2022-04-12,3.0
2022-04-13,3.0
2022-04-14,2.0
2022-04-15,3.0
2022-04-16,6.0
2022-04-17,17.0
2022-04-18,6.0
2022-04-19,14.0
2022-04-20,5.0
2022-04-21,6.0
2022-04-22,16.0
2022-04-23,7.0
2022-04-24,20.0
2022-04-25,8.0
2022-04-26,6.0
2022-04-27,7.0
2022-04-28,19.0
2022-04-29,6.0
2022-04-30,7.0
2022-05-01,24.0
2022-05-02,9.0
2022-05-03,7.0
2022-05-04,23.0
2022-05-05,7.0
2022-05-06,7.0
2022-05-07,10.0
2022-05-08,30.0
2022-05-09,9.0
2022-05-10,25.0
2022-05-11,8.0
2022-05-12,28.0
2022-05-13,10.0
2022-05-14,41.0
2022-05-15,10.0
2022-05-16,10.0
2022-05-17,7.0
2022-05-18,10.0
2022-05-19,28.0
2022-05-20,11.0
2022-05-21,38.0
2022-05-22,16.0
2022-05-23,33.0
2022-05-24,13.0
2022-05-25,39.0
2022-05-26,13.0
2022-05-27,45.0
2022-05-28,10.0
2022-05-29,7.0
2022-05-30,14.0
2022-05-31,9.0
2022-06-01,8.0
2022-06-02,12.0
2022-06-03,47.0
2022-06-04,11.0
2022-06-05,20.0
2022-06-06,42.0
2022-06-07,10.0
2022-06-08,14.0
2022-06-09,41.0
2022-06-10,12.0
2022-06-11,53.0
2022-06-12,15.0
2022-06-13,15.0
2022-06-14,57.0
2022-06-15,12.0
2022-06-16,17.0
2022-06-17,100.0
2022-06-18,12.0
2022-06-19,9.0
2022-06-20,9.0
2022-06-21,6.0
2022-06-22,4.0
2022-06-23,4.0
2022-06-24,6.0
2022-06-25,3.0
2022-06-26,3.0
2022-06-27,3.0
2022-06-28,3.0
2022-06-29,3.0
2022-06-30,4.0
2022-07-01,6.0
2022-07-02,6.0
2022-07-03,5.0
2022-07-04,5.0
2022-07-05,4.0
2022-07-06,3.0
2022-07-07,3.0
2022-07-08,3.0
2022-07-09,3.0
2022-07-10,3.0
2022-07-11,3.0
2022-07-12,2.0
2022-07-13,3.0
2022-07-14,3.0
2022-07-15,2.0
2022-07-16,3.0
