Time,ups
2022-01-01,48.0
2022-01-02,52.0
2022-01-03,87.0
2022-01-04,100.0
2022-01-05,94.0
2022-01-06,76.0
2022-01-07,85.0
2022-01-08,80.0
2022-01-09,55.0
2022-01-10,82.0
2022-01-11,87.0
2022-01-12,84.0
2022-01-13,92.0
2022-01-14,69.0
2022-01-15,69.0
2022-01-16,46.0
2022-01-17,77.0
2022-01-18,76.0
2022-01-19,78.0
2022-01-20,74.0
2022-01-21,74.0
2022-01-22,67.0
2022-01-23,47.0
2022-01-24,94.0
2022-01-25,71.0
2022-01-26,70.0
2022-01-27,75.0
2022-01-28,78.0
2022-01-29,68.0
2022-01-30,53.0
2022-01-31,87.0
2022-02-01,91.0
2022-02-02,78.0
2022-02-03,72.0
2022-02-04,79.0
2022-02-05,71.0
2022-02-06,52.0
2022-02-07,84.0
2022-02-08,87.0
2022-02-09,80.0
2022-02-10,71.0
2022-02-11,81.0
2022-02-12,66.0
2022-02-13,42.0
2022-02-14,67.0
2022-02-15,75.0
2022-02-16,72.0
2022-02-17,70.0
2022-02-18,74.0
2022-02-19,60.0
2022-02-20,49.0
2022-02-21,80.0
2022-02-22,78.0
2022-02-23,78.0
2022-02-24,70.0
2022-02-25,70.0
2022-02-26,67.0
2022-02-27,49.0
2022-02-28,77.0
2022-03-01,78.0
2022-03-02,79.0
2022-03-03,77.0
2022-03-04,72.0
2022-03-05,63.0
2022-03-06,45.0
2022-03-07,74.0
2022-03-08,80.0
2022-03-09,73.0
2022-03-10,78.0
2022-03-11,72.0
2022-03-12,58.0
2022-03-13,45.0
2022-03-14,76.0
2022-03-15,76.0
2022-03-16,77.0
2022-03-17,73.0
2022-03-18,72.0
2022-03-19,60.0
2022-03-20,45.0
2022-03-21,76.0
2022-03-22,77.0
2022-03-23,73.0
2022-03-24,77.0
2022-03-25,68.0
2022-03-26,60.0
2022-03-27,44.0
2022-03-28,70.0
2022-03-29,73.0
2022-03-30,73.0
2022-03-31,70.0
2022-04-01,70.0
2022-04-02,62.0
2022-04-03,45.0
2022-04-04,70.0
2022-04-05,73.0
2022-04-06,75.0
2022-04-07,72.0
2022-04-08,71.0
2022-04-09,65.0
2022-04-10,46.0
2022-04-11,75.0
2022-04-12,78.0
2022-04-13,81.0
2022-04-14,76.0
2022-04-15,73.0
