Time,olympics
2022-01-01,2.0
2022-01-02,2.0
2022-01-03,2.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,1.0
2022-01-07,2.0
2022-01-08,3.0
2022-01-09,3.0
2022-01-10,3.0
2022-01-11,2.0
2022-01-12,2.0
2022-01-13,2.0
2022-01-14,2.0
2022-01-15,3.0
2022-01-16,3.0
2022-01-17,3.0
2022-01-18,2.0
2022-01-19,2.0
2022-01-20,2.0
2022-01-21,2.0
2022-01-22,3.0
2022-01-23,4.0
2022-01-24,3.0
2022-01-25,2.0
2022-01-26,2.0
2022-01-27,3.0
2022-01-28,3.0
2022-01-29,4.0
2022-01-30,5.0
2022-01-31,5.0
2022-02-01,6.0
2022-02-02,9.0
2022-02-03,21.0
2022-02-04,100.0
2022-02-05,84.0
2022-02-06,50.0
2022-02-07,43.0
2022-02-08,39.0
2022-02-09,37.0
2022-02-10,34.0
2022-02-11,37.0
2022-02-12,34.0
2022-02-13,28.0
2022-02-14,27.0
2022-02-15,23.0
2022-02-16,21.0
2022-02-17,23.0
2022-02-18,22.0
2022-02-19,24.0
2022-02-20,25.0
2022-02-21,18.0
2022-02-22,5.0
2022-02-23,4.0
2022-02-24,3.0
2022-02-25,2.0
2022-02-26,3.0
2022-02-27,2.0
2022-02-28,2.0
2022-03-01,2.0
2022-03-02,2.0
2022-03-03,2.0
2022-03-04,2.0
2022-03-05,2.0
2022-03-06,2.0
2022-03-07,1.0
2022-03-08,1.0
2022-03-09,1.0
2022-03-10,1.0
2022-03-11,1.0
2022-03-12,1.0
2022-03-13,1.0
2022-03-14,1.0
2022-03-15,1.0
2022-03-16,1.0
2022-03-17,1.0
2022-03-18,1.0
2022-03-19,1.0
2022-03-20,1.0
2022-03-21,1.0
2022-03-22,1.0
2022-03-23,1.0
2022-03-24,1.0
2022-03-25,1.0
2022-03-26,1.0
2022-03-27,1.0
2022-03-28,1.0
2022-03-29,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,1.0
2022-04-02,1.0
2022-04-03,1.0
2022-04-04,1.0
2022-04-05,1.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-08,1.0
2022-04-09,1.0
2022-04-10,1.0
2022-04-11,1.0
2022-04-12,1.0
2022-04-13,1.0
2022-04-14,1.0
2022-04-15,1.0
2022-04-16,1.0
2022-04-17,1.0
2022-04-18,1.0
2022-04-19,1.0
2022-04-20,1.0
2022-04-21,1.0
2022-04-22,1.0
2022-04-23,1.0
2022-04-24,1.0
2022-04-25,1.0
2022-04-26,1.0
