Time,verizon
2022-01-01,53.0
2022-01-02,56.0
2022-01-03,71.0
2022-01-04,80.0
2022-01-05,81.0
2022-01-06,59.0
2022-01-07,68.0
2022-01-08,65.0
2022-01-09,56.0
2022-01-10,60.0
2022-01-11,59.0
2022-01-12,62.0
2022-01-13,69.0
2022-01-14,54.0
2022-01-15,57.0
2022-01-16,52.0
2022-01-17,55.0
2022-01-18,55.0
2022-01-19,60.0
2022-01-20,61.0
2022-01-21,61.0
2022-01-22,67.0
2022-01-23,55.0
2022-01-24,76.0
2022-01-25,57.0
2022-01-26,52.0
2022-01-27,56.0
2022-01-28,56.0
2022-01-29,58.0
2022-01-30,55.0
2022-01-31,60.0
2022-02-01,60.0
2022-02-02,56.0
2022-02-03,57.0
2022-02-04,59.0
2022-02-05,56.0
2022-02-06,51.0
2022-02-07,55.0
2022-02-08,57.0
2022-02-09,56.0
2022-02-10,54.0
2022-02-11,61.0
2022-02-12,57.0
2022-02-13,50.0
2022-02-14,79.0
2022-02-15,66.0
2022-02-16,61.0
2022-02-17,55.0
2022-02-18,62.0
2022-02-19,62.0
2022-02-20,53.0
2022-02-21,59.0
2022-02-22,59.0
2022-02-23,60.0
2022-02-24,61.0
2022-02-25,63.0
2022-02-26,59.0
2022-02-27,53.0
2022-02-28,61.0
2022-03-01,64.0
2022-03-02,62.0
2022-03-03,62.0
2022-03-04,70.0
2022-03-05,59.0
2022-03-06,54.0
2022-03-07,59.0
2022-03-08,58.0
2022-03-09,59.0
2022-03-10,63.0
2022-03-11,54.0
2022-03-12,54.0
2022-03-13,48.0
2022-03-14,54.0
2022-03-15,56.0
2022-03-16,58.0
2022-03-17,55.0
2022-03-18,56.0
2022-03-19,56.0
2022-03-20,51.0
2022-03-21,58.0
2022-03-22,56.0
2022-03-23,54.0
2022-03-24,54.0
2022-03-25,58.0
2022-03-26,55.0
2022-03-27,51.0
2022-03-28,52.0
2022-03-29,52.0
2022-03-30,58.0
2022-03-31,58.0
2022-04-01,57.0
2022-04-02,57.0
2022-04-03,50.0
2022-04-04,54.0
2022-04-05,54.0
2022-04-06,54.0
2022-04-07,54.0
2022-04-08,54.0
2022-04-09,52.0
2022-04-10,48.0
2022-04-11,54.0
2022-04-12,50.0
2022-04-13,52.0
2022-04-14,55.0
2022-04-15,57.0
2022-04-16,50.0
2022-04-17,43.0
2022-04-18,59.0
2022-04-19,55.0
2022-04-20,100.0
2022-04-21,82.0
2022-04-22,57.0
2022-04-23,51.0
2022-04-24,47.0
2022-04-25,53.0
2022-04-26,52.0
2022-04-27,54.0
2022-04-28,54.0
2022-04-29,56.0
2022-04-30,49.0
2022-05-01,49.0
2022-05-02,54.0
2022-05-03,55.0
2022-05-04,55.0
2022-05-05,54.0
2022-05-06,55.0
2022-05-07,54.0
2022-05-08,49.0
2022-05-09,57.0
2022-05-10,56.0
2022-05-11,56.0
2022-05-12,57.0
2022-05-13,57.0
2022-05-14,54.0
2022-05-15,53.0
2022-05-16,60.0
2022-05-17,60.0
2022-05-18,60.0
2022-05-19,61.0
2022-05-20,59.0
2022-05-21,58.0
2022-05-22,52.0
2022-05-23,59.0
2022-05-24,61.0
2022-05-25,60.0
2022-05-26,64.0
2022-05-27,60.0
2022-05-28,56.0
2022-05-29,54.0
2022-05-30,57.0
2022-05-31,65.0
2022-06-01,67.0
2022-06-02,64.0
2022-06-03,66.0
2022-06-04,58.0
2022-06-05,55.0
2022-06-06,66.0
2022-06-07,63.0
2022-06-08,63.0
2022-06-09,66.0
2022-06-10,65.0
2022-06-11,58.0
2022-06-12,52.0
2022-06-13,64.0
2022-06-14,63.0
2022-06-15,65.0
2022-06-16,67.0
2022-06-17,64.0
2022-06-18,60.0
2022-06-19,52.0
2022-06-20,64.0
2022-06-21,67.0
2022-06-22,68.0
2022-06-23,74.0
2022-06-24,65.0
2022-06-25,59.0
2022-06-26,53.0
2022-06-27,67.0
2022-06-28,61.0
2022-06-29,67.0
2022-06-30,70.0
2022-07-01,71.0
2022-07-02,61.0
2022-07-03,54.0
2022-07-04,52.0
2022-07-05,69.0
2022-07-06,68.0
2022-07-07,70.0
