Time,mayim_bialik
2022-01-01,4.0
2022-01-02,5.0
2022-01-03,4.0
2022-01-04,11.0
2022-01-05,6.0
2022-01-06,4.0
2022-01-07,9.0
2022-01-08,6.0
2022-01-09,6.0
2022-01-10,9.0
2022-01-11,6.0
2022-01-12,6.0
2022-01-13,6.0
2022-01-14,5.0
2022-01-15,6.0
2022-01-16,5.0
2022-01-17,4.0
2022-01-18,5.0
2022-01-19,6.0
2022-01-20,4.0
2022-01-21,5.0
2022-01-22,6.0
2022-01-23,4.0
2022-01-24,3.0
2022-01-25,4.0
2022-01-26,4.0
2022-01-27,4.0
2022-01-28,7.0
2022-01-29,6.0
2022-01-30,5.0
2022-01-31,9.0
2022-02-01,11.0
2022-02-02,10.0
2022-02-03,10.0
2022-02-04,13.0
2022-02-05,13.0
2022-02-06,8.0
2022-02-07,8.0
2022-02-08,14.0
2022-02-09,15.0
2022-02-10,11.0
2022-02-11,15.0
2022-02-12,21.0
2022-02-13,8.0
2022-02-14,4.0
2022-02-15,5.0
2022-02-16,10.0
2022-02-17,9.0
2022-02-18,11.0
2022-02-19,11.0
2022-02-20,13.0
2022-02-21,6.0
2022-02-22,6.0
2022-02-23,9.0
2022-02-24,6.0
2022-02-25,6.0
2022-02-26,6.0
2022-02-27,5.0
2022-02-28,4.0
2022-03-01,9.0
2022-03-02,14.0
2022-03-03,17.0
2022-03-04,12.0
2022-03-05,15.0
2022-03-06,21.0
2022-03-07,23.0
2022-03-08,30.0
2022-03-09,44.0
2022-03-10,37.0
2022-03-11,33.0
2022-03-12,33.0
2022-03-13,65.0
2022-03-14,88.0
2022-03-15,100.0
2022-03-16,42.0
2022-03-17,62.0
2022-03-18,72.0
2022-03-19,80.0
2022-03-20,59.0
2022-03-21,60.0
2022-03-22,56.0
2022-03-23,56.0
2022-03-24,49.0
2022-03-25,27.0
2022-03-26,20.0
2022-03-27,24.0
2022-03-28,23.0
2022-03-29,19.0
2022-03-30,18.0
2022-03-31,23.0
2022-04-01,18.0
2022-04-02,33.0
2022-04-03,21.0
2022-04-04,21.0
2022-04-05,28.0
2022-04-06,23.0
2022-04-07,32.0
2022-04-08,32.0
2022-04-09,26.0
2022-04-10,18.0
2022-04-11,21.0
2022-04-12,10.0
2022-04-13,8.0
2022-04-14,21.0
2022-04-15,17.0
2022-04-16,23.0
2022-04-17,28.0
2022-04-18,14.0
2022-04-19,13.0
2022-04-20,11.0
2022-04-21,7.0
2022-04-22,12.0
2022-04-23,17.0
2022-04-24,15.0
2022-04-25,14.0
2022-04-26,14.0
2022-04-27,6.0
2022-04-28,5.0
2022-04-29,6.0
2022-04-30,7.0
2022-05-01,10.0
2022-05-02,5.0
2022-05-03,4.0
2022-05-04,8.0
2022-05-05,5.0
2022-05-06,6.0
2022-05-07,6.0
2022-05-08,6.0
2022-05-09,4.0
2022-05-10,8.0
2022-05-11,6.0
2022-05-12,6.0
2022-05-13,6.0
2022-05-14,6.0
2022-05-15,4.0
2022-05-16,3.0
2022-05-17,5.0
2022-05-18,4.0
2022-05-19,5.0
2022-05-20,4.0
2022-05-21,5.0
2022-05-22,3.0
2022-05-23,4.0
2022-05-24,4.0
2022-05-25,5.0
2022-05-26,4.0
2022-05-27,6.0
2022-05-28,3.0
2022-05-29,3.0
2022-05-30,3.0
2022-05-31,4.0
2022-06-01,4.0
2022-06-02,4.0
2022-06-03,5.0
2022-06-04,5.0
2022-06-05,3.0
2022-06-06,5.0
2022-06-07,7.0
2022-06-08,6.0
2022-06-09,4.0
2022-06-10,4.0
2022-06-11,3.0
2022-06-12,2.0
2022-06-13,3.0
2022-06-14,3.0
2022-06-15,4.0
2022-06-16,5.0
2022-06-17,4.0
2022-06-18,3.0
2022-06-19,2.0
2022-06-20,4.0
2022-06-21,6.0
2022-06-22,15.0
2022-06-23,32.0
2022-06-24,7.0
2022-06-25,5.0
2022-06-26,7.0
2022-06-27,12.0
2022-06-28,6.0
2022-06-29,8.0
2022-06-30,5.0
2022-07-01,6.0
2022-07-02,5.0
2022-07-03,4.0
2022-07-04,6.0
2022-07-05,5.0
2022-07-06,5.0
2022-07-07,5.0
2022-07-08,5.0
2022-07-09,6.0
2022-07-10,6.0
2022-07-11,6.0
2022-07-12,4.0
2022-07-13,5.0
2022-07-14,4.0
2022-07-15,4.0
2022-07-16,4.0
2022-07-17,2.0
2022-07-18,3.0
2022-07-19,4.0
2022-07-20,3.0
2022-07-21,3.0
2022-07-22,2.0
2022-07-23,3.0
2022-07-24,3.0
2022-07-25,3.0
2022-07-26,9.0
2022-07-27,12.0
2022-07-28,10.0
2022-07-29,4.0
2022-07-30,6.0
2022-07-31,9.0
2022-08-01,6.0
2022-08-02,5.0
2022-08-03,5.0
2022-08-04,3.0
2022-08-05,6.0
2022-08-06,5.0
2022-08-07,4.0
2022-08-08,3.0
2022-08-09,3.0
2022-08-10,3.0
2022-08-11,2.0
2022-08-12,2.0
2022-08-13,2.0
2022-08-14,2.0
2022-08-15,2.0
2022-08-16,2.0
