Time,fast_food_near_me
2022-01-01,100.0
2022-01-02,74.0
2022-01-03,48.0
2022-01-04,52.0
2022-01-05,46.0
2022-01-06,39.0
2022-01-07,45.0
2022-01-08,59.0
2022-01-09,58.0
2022-01-10,44.0
2022-01-11,40.0
2022-01-12,41.0
2022-01-13,37.0
2022-01-14,39.0
2022-01-15,60.0
2022-01-16,55.0
2022-01-17,42.0
2022-01-18,36.0
2022-01-19,41.0
2022-01-20,38.0
2022-01-21,41.0
2022-01-22,60.0
2022-01-23,57.0
2022-01-24,48.0
2022-01-25,39.0
2022-01-26,35.0
2022-01-27,40.0
2022-01-28,49.0
2022-01-29,62.0
2022-01-30,61.0
2022-01-31,41.0
2022-02-01,40.0
2022-02-02,41.0
2022-02-03,42.0
2022-02-04,48.0
2022-02-05,62.0
2022-02-06,61.0
2022-02-07,41.0
2022-02-08,45.0
2022-02-09,41.0
2022-02-10,38.0
2022-02-11,50.0
2022-02-12,67.0
2022-02-13,60.0
2022-02-14,41.0
2022-02-15,44.0
2022-02-16,42.0
2022-02-17,44.0
2022-02-18,56.0
2022-02-19,75.0
2022-02-20,81.0
2022-02-21,57.0
2022-02-22,45.0
2022-02-23,45.0
2022-02-24,45.0
2022-02-25,54.0
2022-02-26,71.0
2022-02-27,74.0
2022-02-28,49.0
2022-03-01,49.0
2022-03-02,46.0
2022-03-03,49.0
2022-03-04,55.0
2022-03-05,77.0
2022-03-06,76.0
2022-03-07,51.0
2022-03-08,44.0
2022-03-09,47.0
2022-03-10,50.0
2022-03-11,57.0
2022-03-12,69.0
2022-03-13,78.0
2022-03-14,54.0
2022-03-15,51.0
2022-03-16,54.0
2022-03-17,54.0
2022-03-18,63.0
2022-03-19,78.0
2022-03-20,84.0
2022-03-21,57.0
2022-03-22,48.0
2022-03-23,51.0
2022-03-24,52.0
2022-03-25,56.0
2022-03-26,81.0
2022-03-27,77.0
2022-03-28,46.0
2022-03-29,45.0
2022-03-30,51.0
2022-03-31,49.0
2022-04-01,52.0
2022-04-02,79.0
2022-04-03,77.0
2022-04-04,47.0
2022-04-05,44.0
2022-04-06,45.0
2022-04-07,49.0
2022-04-08,54.0
2022-04-09,81.0
2022-04-10,91.0
2022-04-11,49.0
2022-04-12,46.0
2022-04-13,47.0
2022-04-14,52.0
2022-04-15,63.0
2022-04-16,77.0
2022-04-17,82.0
2022-04-18,53.0
2022-04-19,44.0
2022-04-20,47.0
2022-04-21,50.0
2022-04-22,56.0
2022-04-23,79.0
2022-04-24,87.0
2022-04-25,49.0
2022-04-26,44.0
2022-04-27,45.0
2022-04-28,48.0
2022-04-29,55.0
2022-04-30,79.0
2022-05-01,78.0
2022-05-02,49.0
2022-05-03,45.0
2022-05-04,42.0
2022-05-05,46.0
2022-05-06,54.0
2022-05-07,78.0
2022-05-08,75.0
2022-05-09,48.0
2022-05-10,46.0
2022-05-11,45.0
2022-05-12,51.0
2022-05-13,59.0
2022-05-14,82.0
2022-05-15,86.0
2022-05-16,52.0
2022-05-17,48.0
2022-05-18,46.0
2022-05-19,51.0
2022-05-20,59.0
2022-05-21,82.0
2022-05-22,81.0
2022-05-23,54.0
2022-05-24,47.0
2022-05-25,53.0
2022-05-26,55.0
2022-05-27,68.0
2022-05-28,84.0
2022-05-29,85.0
2022-05-30,79.0
2022-05-31,54.0
2022-06-01,54.0
2022-06-02,55.0
2022-06-03,65.0
2022-06-04,86.0
2022-06-05,84.0
2022-06-06,58.0
2022-06-07,54.0
2022-06-08,58.0
2022-06-09,59.0
2022-06-10,71.0
2022-06-11,82.0
2022-06-12,85.0
2022-06-13,60.0
2022-06-14,59.0
2022-06-15,61.0
2022-06-16,64.0
