Time,nintendo_switch_2
2022-01-01,100.0
2022-01-02,86.0
2022-01-03,69.0
2022-01-04,73.0
2022-01-05,53.0
2022-01-06,45.0
2022-01-07,60.0
2022-01-08,97.0
2022-01-09,75.0
2022-01-10,55.0
2022-01-11,47.0
2022-01-12,50.0
2022-01-13,62.0
2022-01-14,51.0
2022-01-15,74.0
2022-01-16,74.0
2022-01-17,56.0
2022-01-18,52.0
2022-01-19,37.0
2022-01-20,36.0
2022-01-21,44.0
2022-01-22,60.0
2022-01-23,56.0
2022-01-24,54.0
2022-01-25,41.0
2022-01-26,40.0
2022-01-27,27.0
2022-01-28,42.0
2022-01-29,71.0
2022-01-30,61.0
2022-01-31,46.0
2022-02-01,44.0
2022-02-02,44.0
2022-02-03,39.0
2022-02-04,51.0
2022-02-05,74.0
2022-02-06,88.0
2022-02-07,62.0
2022-02-08,49.0
2022-02-09,51.0
2022-02-10,65.0
2022-02-11,45.0
2022-02-12,83.0
2022-02-13,69.0
2022-02-14,46.0
2022-02-15,45.0
2022-02-16,42.0
2022-02-17,49.0
2022-02-18,52.0
2022-02-19,74.0
2022-02-20,72.0
2022-02-21,65.0
2022-02-22,41.0
2022-02-23,41.0
2022-02-24,45.0
2022-02-25,49.0
2022-02-26,60.0
2022-02-27,82.0
2022-02-28,50.0
2022-03-01,39.0
2022-03-02,54.0
2022-03-03,48.0
2022-03-04,51.0
2022-03-05,73.0
2022-03-06,61.0
2022-03-07,52.0
2022-03-08,42.0
2022-03-09,47.0
2022-03-10,44.0
2022-03-11,50.0
2022-03-12,57.0
2022-03-13,66.0
2022-03-14,45.0
2022-03-15,40.0
2022-03-16,42.0
2022-03-17,41.0
2022-03-18,43.0
2022-03-19,62.0
2022-03-20,65.0
2022-03-21,40.0
2022-03-22,38.0
2022-03-23,40.0
2022-03-24,31.0
2022-03-25,38.0
2022-03-26,53.0
2022-03-27,64.0
2022-03-28,33.0
2022-03-29,40.0
2022-03-30,38.0
2022-03-31,37.0
2022-04-01,35.0
