Time,cheesecake_factory
2022-01-01,63.0
2022-01-02,53.0
2022-01-03,33.0
2022-01-04,33.0
2022-01-05,31.0
2022-01-06,25.0
2022-01-07,35.0
2022-01-08,55.0
2022-01-09,51.0
2022-01-10,28.0
2022-01-11,28.0
2022-01-12,29.0
2022-01-13,33.0
2022-01-14,34.0
2022-01-15,55.0
2022-01-16,50.0
2022-01-17,34.0
2022-01-18,25.0
2022-01-19,23.0
2022-01-20,27.0
2022-01-21,35.0
2022-01-22,59.0
2022-01-23,50.0
2022-01-24,28.0
2022-01-25,26.0
2022-01-26,24.0
2022-01-27,28.0
2022-01-28,36.0
2022-01-29,54.0
2022-01-30,51.0
2022-01-31,27.0
2022-02-01,27.0
2022-02-02,26.0
2022-02-03,28.0
2022-02-04,36.0
2022-02-05,59.0
2022-02-06,62.0
2022-02-07,33.0
2022-02-08,32.0
2022-02-09,32.0
2022-02-10,27.0
2022-02-11,44.0
2022-02-12,71.0
2022-02-13,55.0
2022-02-14,62.0
2022-02-15,47.0
2022-02-16,30.0
2022-02-17,32.0
2022-02-18,41.0
2022-02-19,61.0
2022-02-20,62.0
2022-02-21,43.0
2022-02-22,29.0
2022-02-23,28.0
2022-02-24,28.0
2022-02-25,35.0
2022-02-26,55.0
2022-02-27,55.0
2022-02-28,31.0
2022-03-01,27.0
2022-03-02,26.0
2022-03-03,29.0
2022-03-04,38.0
2022-03-05,56.0
2022-03-06,51.0
2022-03-07,30.0
2022-03-08,28.0
2022-03-09,28.0
2022-03-10,31.0
2022-03-11,41.0
2022-03-12,50.0
2022-03-13,57.0
2022-03-14,33.0
2022-03-15,31.0
2022-03-16,33.0
2022-03-17,33.0
2022-03-18,42.0
2022-03-19,59.0
2022-03-20,55.0
2022-03-21,31.0
2022-03-22,31.0
2022-03-23,29.0
2022-03-24,32.0
2022-03-25,38.0
2022-03-26,56.0
2022-03-27,50.0
2022-03-28,26.0
2022-03-29,26.0
2022-03-30,28.0
2022-03-31,28.0
2022-04-01,38.0
2022-04-02,53.0
2022-04-03,49.0
2022-04-04,27.0
2022-04-05,25.0
2022-04-06,26.0
2022-04-07,29.0
2022-04-08,36.0
2022-04-09,52.0
2022-04-10,50.0
2022-04-11,30.0
2022-04-12,26.0
2022-04-13,28.0
