Time,2020_election_results
2022-01-01,18.0
2022-01-02,19.0
2022-01-03,14.0
2022-01-04,21.0
2022-01-05,19.0
2022-01-06,18.0
2022-01-07,20.0
2022-01-08,16.0
2022-01-09,19.0
2022-01-10,16.0
2022-01-11,17.0
2022-01-12,23.0
2022-01-13,24.0
2022-01-14,20.0
2022-01-15,13.0
2022-01-16,17.0
2022-01-17,19.0
2022-01-18,16.0
2022-01-19,16.0
2022-01-20,24.0
2022-01-21,18.0
2022-01-22,12.0
2022-01-23,20.0
2022-01-24,30.0
2022-01-25,14.0
2022-01-26,27.0
2022-01-27,14.0
2022-01-28,17.0
2022-01-29,21.0
2022-01-30,21.0
2022-01-31,17.0
2022-02-01,22.0
2022-02-02,19.0
2022-02-03,13.0
2022-02-04,17.0
2022-02-05,22.0
2022-02-06,15.0
2022-02-07,15.0
2022-02-08,19.0
2022-02-09,19.0
2022-02-10,9.0
2022-02-11,16.0
2022-02-12,18.0
2022-02-13,18.0
2022-02-14,13.0
2022-02-15,17.0
2022-02-16,17.0
2022-02-17,16.0
2022-02-18,16.0
2022-02-19,12.0
2022-02-20,19.0
2022-02-21,12.0
2022-02-22,16.0
2022-02-23,19.0
2022-02-24,18.0
2022-02-25,15.0
2022-02-26,16.0
2022-02-27,17.0
2022-02-28,15.0
2022-03-01,17.0
2022-03-02,52.0
2022-03-03,17.0
2022-03-04,16.0
2022-03-05,19.0
2022-03-06,16.0
2022-03-07,16.0
2022-03-08,19.0
2022-03-09,23.0
2022-03-10,22.0
2022-03-11,15.0
2022-03-12,19.0
2022-03-13,14.0
2022-03-14,20.0
2022-03-15,13.0
2022-03-16,16.0
2022-03-17,19.0
2022-03-18,16.0
2022-03-19,19.0
2022-03-20,15.0
2022-03-21,16.0
2022-03-22,16.0
2022-03-23,16.0
2022-03-24,13.0
2022-03-25,17.0
2022-03-26,15.0
2022-03-27,19.0
2022-03-28,19.0
2022-03-29,12.0
2022-03-30,16.0
2022-03-31,16.0
2022-04-01,16.0
2022-04-02,14.0
2022-04-03,14.0
2022-04-04,18.0
2022-04-05,15.0
2022-04-06,32.0
2022-04-07,20.0
2022-04-08,19.0
2022-04-09,14.0
2022-04-10,20.0
2022-04-11,18.0
2022-04-12,16.0
2022-04-13,16.0
2022-04-14,15.0
2022-04-15,17.0
2022-04-16,17.0
2022-04-17,14.0
2022-04-18,16.0
2022-04-19,22.0
2022-04-20,15.0
2022-04-21,21.0
2022-04-22,22.0
2022-04-23,20.0
2022-04-24,22.0
2022-04-25,18.0
2022-04-26,19.0
2022-04-27,17.0
2022-04-28,18.0
2022-04-29,17.0
2022-04-30,15.0
2022-05-01,17.0
2022-05-02,16.0
2022-05-03,29.0
2022-05-04,52.0
2022-05-05,17.0
2022-05-06,18.0
2022-05-07,20.0
2022-05-08,24.0
2022-05-09,23.0
2022-05-10,22.0
2022-05-11,36.0
2022-05-12,19.0
2022-05-13,16.0
2022-05-14,13.0
2022-05-15,19.0
2022-05-16,16.0
2022-05-17,28.0
2022-05-18,86.0
2022-05-19,34.0
2022-05-20,22.0
2022-05-21,17.0
2022-05-22,17.0
2022-05-23,22.0
2022-05-24,31.0
2022-05-25,89.0
2022-05-26,31.0
2022-05-27,23.0
2022-05-28,20.0
2022-05-29,20.0
2022-05-30,18.0
2022-05-31,19.0
2022-06-01,13.0
2022-06-02,22.0
2022-06-03,16.0
2022-06-04,16.0
2022-06-05,17.0
2022-06-06,22.0
2022-06-07,18.0
2022-06-08,55.0
2022-06-09,23.0
2022-06-10,32.0
2022-06-11,20.0
2022-06-12,23.0
2022-06-13,32.0
2022-06-14,25.0
2022-06-15,47.0
2022-06-16,24.0
2022-06-17,19.0
2022-06-18,21.0
2022-06-19,15.0
2022-06-20,31.0
2022-06-21,32.0
2022-06-22,37.0
2022-06-23,21.0
2022-06-24,37.0
2022-06-25,33.0
2022-06-26,34.0
2022-06-27,23.0
2022-06-28,31.0
2022-06-29,52.0
2022-06-30,20.0
2022-07-01,23.0
2022-07-02,24.0
2022-07-03,19.0
2022-07-04,26.0
2022-07-05,23.0
2022-07-06,19.0
2022-07-07,20.0
2022-07-08,26.0
2022-07-09,22.0
2022-07-10,29.0
2022-07-11,22.0
2022-07-12,17.0
2022-07-13,27.0
2022-07-14,22.0
2022-07-15,16.0
2022-07-16,22.0
2022-07-17,22.0
2022-07-18,14.0
2022-07-19,20.0
2022-07-20,26.0
2022-07-21,19.0
2022-07-22,31.0
2022-07-23,19.0
2022-07-24,16.0
2022-07-25,22.0
2022-07-26,19.0
2022-07-27,19.0
2022-07-28,17.0
2022-07-29,15.0
2022-07-30,18.0
2022-07-31,19.0
2022-08-01,22.0
2022-08-02,21.0
2022-08-03,100.0
2022-08-04,31.0
2022-08-05,29.0
2022-08-06,24.0
2022-08-07,18.0
2022-08-08,17.0
2022-08-09,23.0
2022-08-10,41.0
2022-08-11,25.0
2022-08-12,14.0
2022-08-13,22.0
2022-08-14,22.0
2022-08-15,19.0
2022-08-16,25.0
2022-08-17,43.0
2022-08-18,27.0
2022-08-19,21.0
2022-08-20,23.0
2022-08-21,22.0
2022-08-22,16.0
2022-08-23,23.0
2022-08-24,46.0
2022-08-25,15.0
2022-08-26,18.0
2022-08-27,11.0
2022-08-28,19.0
