Time,academy
2022-01-01,32.0
2022-01-02,37.0
2022-01-03,48.0
2022-01-04,52.0
2022-01-05,51.0
2022-01-06,39.0
2022-01-07,45.0
2022-01-08,39.0
2022-01-09,35.0
2022-01-10,46.0
2022-01-11,48.0
2022-01-12,45.0
2022-01-13,51.0
2022-01-14,37.0
2022-01-15,36.0
2022-01-16,29.0
2022-01-17,34.0
2022-01-18,40.0
2022-01-19,43.0
2022-01-20,43.0
2022-01-21,43.0
2022-01-22,37.0
2022-01-23,34.0
2022-01-24,51.0
2022-01-25,41.0
2022-01-26,41.0
2022-01-27,43.0
2022-01-28,47.0
2022-01-29,38.0
2022-01-30,36.0
2022-01-31,45.0
2022-02-01,47.0
2022-02-02,46.0
2022-02-03,46.0
2022-02-04,44.0
2022-02-05,39.0
2022-02-06,37.0
2022-02-07,47.0
2022-02-08,55.0
2022-02-09,50.0
2022-02-10,37.0
2022-02-11,47.0
2022-02-12,42.0
2022-02-13,37.0
2022-02-14,41.0
2022-02-15,47.0
2022-02-16,48.0
2022-02-17,46.0
2022-02-18,46.0
2022-02-19,42.0
2022-02-20,40.0
2022-02-21,42.0
2022-02-22,46.0
2022-02-23,47.0
2022-02-24,43.0
2022-02-25,45.0
2022-02-26,42.0
2022-02-27,43.0
2022-02-28,51.0
2022-03-01,51.0
2022-03-02,51.0
2022-03-03,49.0
2022-03-04,46.0
2022-03-05,44.0
2022-03-06,44.0
2022-03-07,49.0
2022-03-08,49.0
2022-03-09,48.0
2022-03-10,49.0
2022-03-11,45.0
2022-03-12,41.0
2022-03-13,41.0
2022-03-14,47.0
2022-03-15,45.0
2022-03-16,44.0
2022-03-17,42.0
2022-03-18,42.0
2022-03-19,41.0
2022-03-20,42.0
2022-03-21,49.0
2022-03-22,45.0
2022-03-23,45.0
2022-03-24,45.0
2022-03-25,48.0
2022-03-26,43.0
2022-03-27,55.0
2022-03-28,100.0
2022-03-29,61.0
2022-03-30,56.0
2022-03-31,56.0
2022-04-01,58.0
2022-04-02,69.0
2022-04-03,46.0
2022-04-04,53.0
2022-04-05,51.0
2022-04-06,53.0
2022-04-07,49.0
2022-04-08,52.0
2022-04-09,44.0
2022-04-10,41.0
2022-04-11,52.0
2022-04-12,51.0
2022-04-13,48.0
2022-04-14,49.0
2022-04-15,43.0
2022-04-16,38.0
2022-04-17,38.0
2022-04-18,47.0
2022-04-19,47.0
2022-04-20,48.0
2022-04-21,48.0
2022-04-22,46.0
2022-04-23,39.0
2022-04-24,40.0
2022-04-25,51.0
2022-04-26,49.0
2022-04-27,50.0
2022-04-28,47.0
2022-04-29,46.0
2022-04-30,40.0
2022-05-01,39.0
2022-05-02,51.0
2022-05-03,50.0
2022-05-04,47.0
2022-05-05,48.0
2022-05-06,46.0
2022-05-07,39.0
2022-05-08,36.0
2022-05-09,47.0
2022-05-10,48.0
2022-05-11,50.0
2022-05-12,48.0
2022-05-13,51.0
2022-05-14,41.0
2022-05-15,39.0
2022-05-16,50.0
2022-05-17,49.0
2022-05-18,50.0
2022-05-19,49.0
2022-05-20,49.0
2022-05-21,45.0
2022-05-22,39.0
2022-05-23,48.0
2022-05-24,50.0
2022-05-25,51.0
2022-05-26,52.0
2022-05-27,51.0
2022-05-28,45.0
2022-05-29,43.0
2022-05-30,41.0
2022-05-31,49.0
2022-06-01,50.0
2022-06-02,49.0
2022-06-03,48.0
2022-06-04,45.0
2022-06-05,41.0
2022-06-06,52.0
2022-06-07,49.0
2022-06-08,50.0
2022-06-09,50.0
2022-06-10,45.0
2022-06-11,42.0
2022-06-12,43.0
2022-06-13,47.0
2022-06-14,45.0
2022-06-15,49.0
2022-06-16,47.0
2022-06-17,45.0
2022-06-18,45.0
2022-06-19,44.0
2022-06-20,48.0
2022-06-21,49.0
2022-06-22,72.0
2022-06-23,92.0
2022-06-24,86.0
2022-06-25,81.0
2022-06-26,88.0
2022-06-27,82.0
2022-06-28,75.0
2022-06-29,72.0
2022-06-30,69.0
2022-07-01,62.0
2022-07-02,58.0
2022-07-03,57.0
2022-07-04,58.0
2022-07-05,57.0
2022-07-06,59.0
2022-07-07,56.0
2022-07-08,52.0
2022-07-09,51.0
2022-07-10,48.0
2022-07-11,59.0
2022-07-12,56.0
2022-07-13,54.0
2022-07-14,51.0
2022-07-15,51.0
2022-07-16,46.0
2022-07-17,46.0
2022-07-18,56.0
2022-07-19,53.0
2022-07-20,54.0
2022-07-21,51.0
2022-07-22,49.0
2022-07-23,46.0
2022-07-24,44.0
2022-07-25,53.0
2022-07-26,54.0
2022-07-27,51.0
2022-07-28,52.0
2022-07-29,51.0
2022-07-30,43.0
2022-07-31,47.0
2022-08-01,56.0
2022-08-02,56.0
2022-08-03,55.0
2022-08-04,53.0
2022-08-05,53.0
2022-08-06,46.0
2022-08-07,48.0
2022-08-08,60.0
2022-08-09,57.0
2022-08-10,58.0
2022-08-11,58.0
2022-08-12,55.0
2022-08-13,42.0
2022-08-14,45.0
2022-08-15,61.0
2022-08-16,64.0
