Time,dolphins
2022-01-01,8
2022-01-02,41
2022-01-03,11
2022-01-04,7
2022-01-05,5
2022-01-06,4
2022-01-07,5
2022-01-08,6
2022-01-09,33
2022-01-10,37
2022-01-11,12
2022-01-12,8
2022-01-13,8
2022-01-14,5
2022-01-15,6
2022-01-16,7
2022-01-17,6
2022-01-18,5
2022-01-19,4
2022-01-20,4
2022-01-21,4
2022-01-22,5
2022-01-23,7
2022-01-24,6
2022-01-25,5
2022-01-26,4
2022-01-27,5
2022-01-28,6
2022-01-29,7
2022-01-30,8
2022-01-31,9
2022-02-01,9
2022-02-02,13
2022-02-03,9
2022-02-04,7
2022-02-05,7
2022-02-06,9
2022-02-07,10
2022-02-08,8
2022-02-09,6
2022-02-10,5
2022-02-11,6
2022-02-12,6
2022-02-13,6
2022-02-14,6
2022-02-15,5
2022-02-16,5
2022-02-17,5
2022-02-18,5
2022-02-19,5
2022-02-20,5
2022-02-21,4
2022-02-22,4
2022-02-23,4
2022-02-24,4
2022-02-25,4
2022-02-26,4
2022-02-27,4
2022-02-28,4
2022-03-01,4
2022-03-02,3
2022-03-03,3
2022-03-04,4
2022-03-05,4
2022-03-06,4
2022-03-07,4
2022-03-08,5
2022-03-09,5
2022-03-10,4
2022-03-11,4
2022-03-12,4
2022-03-13,5
2022-03-14,7
2022-03-15,9
2022-03-16,8
2022-03-17,8
2022-03-18,7
2022-03-19,6
2022-03-20,6
2022-03-21,7
2022-03-22,8
2022-03-23,31
2022-03-24,15
2022-03-25,13
2022-03-26,13
2022-03-27,10
2022-03-28,7
2022-03-29,7
2022-03-30,6
2022-03-31,6
2022-04-01,7
2022-04-02,8
2022-04-03,6
2022-04-04,6
2022-04-05,5
2022-04-06,6
2022-04-07,5
2022-04-08,5
2022-04-09,5
2022-04-10,5
2022-04-11,5
2022-04-12,5
2022-04-13,5
2022-04-14,6
2022-04-15,5
2022-04-16,5
2022-04-17,5
2022-04-18,4
2022-04-19,5
2022-04-20,5
2022-04-21,4
2022-04-22,4
2022-04-23,4
2022-04-24,4
2022-04-25,6
2022-04-26,5
2022-04-27,6
2022-04-28,6
2022-04-29,8
2022-04-30,14
2022-05-01,9
2022-05-02,6
2022-05-03,5
2022-05-04,5
2022-05-05,5
2022-05-06,5
2022-05-07,5
2022-05-08,5
2022-05-09,5
2022-05-10,5
2022-05-11,5
2022-05-12,7
2022-05-13,9
2022-05-14,5
2022-05-15,6
2022-05-16,6
2022-05-17,5
2022-05-18,5
2022-05-19,5
2022-05-20,4
2022-05-21,4
2022-05-22,4
2022-05-23,4
2022-05-24,4
2022-05-25,4
2022-05-26,4
2022-05-27,4
2022-05-28,4
2022-05-29,4
2022-05-30,4
2022-05-31,4
2022-06-01,4
2022-06-02,4
2022-06-03,5
2022-06-04,4
2022-06-05,4
2022-06-06,4
2022-06-07,4
2022-06-08,4
2022-06-09,4
2022-06-10,4
2022-06-11,4
2022-06-12,4
2022-06-13,4
2022-06-14,4
2022-06-15,4
2022-06-16,4
2022-06-17,3
2022-06-18,4
2022-06-19,4
2022-06-20,4
2022-06-21,3
2022-06-22,3
2022-06-23,3
2022-06-24,3
2022-06-25,3
2022-06-26,4
2022-06-27,3
2022-06-28,3
2022-06-29,3
2022-06-30,3
2022-07-01,3
2022-07-02,3
2022-07-03,4
2022-07-04,3
2022-07-05,3
2022-07-06,4
2022-07-07,3
2022-07-08,4
2022-07-09,4
2022-07-10,3
2022-07-11,4
2022-07-12,4
2022-07-13,4
2022-07-14,4
2022-07-15,4
2022-07-16,4
2022-07-17,4
2022-07-18,4
2022-07-19,4
2022-07-20,4
2022-07-21,4
2022-07-22,4
2022-07-23,4
2022-07-24,4
2022-07-25,4
2022-07-26,5
2022-07-27,5
2022-07-28,5
2022-07-29,5
2022-07-30,6
2022-07-31,5
2022-08-01,5
2022-08-02,12
2022-08-03,8
2022-08-04,6
2022-08-05,7
2022-08-06,6
2022-08-07,6
2022-08-08,6
2022-08-09,6
2022-08-10,6
2022-08-11,6
2022-08-12,7
2022-08-13,11
2022-08-14,19
2022-08-15,7
2022-08-16,6
2022-08-17,6
2022-08-18,6
2022-08-19,6
2022-08-20,13
2022-08-21,16
2022-08-22,7
2022-08-23,6
2022-08-24,6
2022-08-25,6
2022-08-26,6
2022-08-27,11
2022-08-28,22
2022-08-29,9
2022-08-30,9
2022-08-31,8
2022-09-01,7
2022-09-02,6
2022-09-03,7
2022-09-04,9
2022-09-05,8
2022-09-06,8
2022-09-07,8
2022-09-08,7
2022-09-09,7
2022-09-10,7
2022-09-11,60
2022-09-12,20
2022-09-13,9
2022-09-14,8
2022-09-15,7
2022-09-16,7
2022-09-17,8
2022-09-18,69
2022-09-19,24
2022-09-20,13
2022-09-21,9
2022-09-22,9
2022-09-23,11
2022-09-24,10
2022-09-25,100
2022-09-26,29
2022-09-27,16
