Time,dairy_queen
2022-01-01,44.0
2022-01-02,45.0
2022-01-03,28.0
2022-01-04,28.0
2022-01-05,26.0
2022-01-06,21.0
2022-01-07,25.0
2022-01-08,36.0
2022-01-09,38.0
2022-01-10,25.0
2022-01-11,22.0
2022-01-12,25.0
2022-01-13,22.0
2022-01-14,23.0
2022-01-15,35.0
2022-01-16,34.0
2022-01-17,27.0
2022-01-18,21.0
2022-01-19,21.0
2022-01-20,22.0
2022-01-21,25.0
2022-01-22,34.0
2022-01-23,35.0
2022-01-24,31.0
2022-01-25,20.0
2022-01-26,21.0
2022-01-27,21.0
2022-01-28,26.0
2022-01-29,34.0
2022-01-30,37.0
2022-01-31,29.0
2022-02-01,25.0
2022-02-02,26.0
2022-02-03,25.0
2022-02-04,27.0
2022-02-05,38.0
2022-02-06,44.0
2022-02-07,31.0
2022-02-08,26.0
2022-02-09,27.0
2022-02-10,24.0
2022-02-11,31.0
2022-02-12,45.0
2022-02-13,39.0
2022-02-14,27.0
2022-02-15,27.0
2022-02-16,23.0
2022-02-17,25.0
2022-02-18,27.0
2022-02-19,39.0
2022-02-20,45.0
2022-02-21,39.0
2022-02-22,30.0
2022-02-23,27.0
2022-02-24,26.0
2022-02-25,30.0
2022-02-26,35.0
2022-02-27,45.0
2022-02-28,32.0
2022-03-01,31.0
2022-03-02,29.0
2022-03-03,29.0
2022-03-04,31.0
2022-03-05,49.0
2022-03-06,44.0
2022-03-07,33.0
2022-03-08,27.0
2022-03-09,27.0
2022-03-10,28.0
2022-03-11,31.0
2022-03-12,38.0
2022-03-13,48.0
2022-03-14,38.0
2022-03-15,34.0
2022-03-16,34.0
2022-03-17,37.0
2022-03-18,37.0
2022-03-19,50.0
2022-03-20,62.0
2022-03-21,100.0
2022-03-22,58.0
2022-03-23,32.0
2022-03-24,32.0
2022-03-25,32.0
2022-03-26,47.0
2022-03-27,51.0
2022-03-28,34.0
2022-03-29,34.0
2022-03-30,37.0
2022-03-31,35.0
2022-04-01,40.0
