Time,kahoot
2022-01-01,6.0
2022-01-02,4.0
2022-01-03,14.0
2022-01-04,26.0
2022-01-05,25.0
2022-01-06,23.0
2022-01-07,30.0
2022-01-08,7.0
2022-01-09,6.0
2022-01-10,22.0
2022-01-11,28.0
2022-01-12,29.0
2022-01-13,36.0
2022-01-14,29.0
2022-01-15,7.0
2022-01-16,6.0
2022-01-17,6.0
2022-01-18,23.0
2022-01-19,29.0
2022-01-20,31.0
2022-01-21,35.0
2022-01-22,8.0
2022-01-23,7.0
2022-01-24,28.0
2022-01-25,26.0
2022-01-26,29.0
2022-01-27,36.0
2022-01-28,42.0
2022-01-29,8.0
2022-01-30,7.0
2022-01-31,26.0
2022-02-01,31.0
2022-02-02,32.0
2022-02-03,35.0
2022-02-04,31.0
2022-02-05,8.0
2022-02-06,7.0
2022-02-07,30.0
2022-02-08,32.0
2022-02-09,31.0
2022-02-10,32.0
2022-02-11,40.0
2022-02-12,9.0
2022-02-13,7.0
2022-02-14,26.0
2022-02-15,29.0
2022-02-16,31.0
2022-02-17,34.0
2022-02-18,31.0
2022-02-19,9.0
2022-02-20,7.0
2022-02-21,12.0
2022-02-22,23.0
2022-02-23,26.0
2022-02-24,28.0
2022-02-25,29.0
2022-02-26,9.0
2022-02-27,7.0
2022-02-28,27.0
2022-03-01,28.0
2022-03-02,28.0
2022-03-03,32.0
2022-03-04,35.0
2022-03-05,7.0
2022-03-06,7.0
2022-03-07,26.0
2022-03-08,28.0
2022-03-09,30.0
2022-03-10,30.0
2022-03-11,28.0
2022-03-12,9.0
2022-03-13,7.0
2022-03-14,19.0
2022-03-15,21.0
2022-03-16,23.0
2022-03-17,22.0
2022-03-18,20.0
2022-03-19,7.0
2022-03-20,7.0
2022-03-21,19.0
2022-03-22,22.0
2022-03-23,23.0
2022-03-24,27.0
2022-03-25,79.0
2022-03-26,8.0
2022-03-27,7.0
2022-03-28,54.0
2022-03-29,58.0
2022-03-30,26.0
2022-03-31,71.0
2022-04-01,76.0
2022-04-02,8.0
2022-04-03,7.0
2022-04-04,58.0
2022-04-05,57.0
2022-04-06,64.0
2022-04-07,67.0
2022-04-08,81.0
2022-04-09,9.0
2022-04-10,8.0
2022-04-11,56.0
2022-04-12,64.0
2022-04-13,64.0
2022-04-14,66.0
2022-04-15,27.0
2022-04-16,6.0
2022-04-17,7.0
2022-04-18,40.0
2022-04-19,55.0
2022-04-20,56.0
2022-04-21,63.0
2022-04-22,70.0
2022-04-23,8.0
2022-04-24,7.0
2022-04-25,68.0
2022-04-26,66.0
2022-04-27,72.0
2022-04-28,81.0
2022-04-29,83.0
2022-04-30,9.0
2022-05-01,7.0
2022-05-02,64.0
2022-05-03,63.0
2022-05-04,68.0
2022-05-05,76.0
2022-05-06,79.0
2022-05-07,8.0
2022-05-08,7.0
2022-05-09,71.0
2022-05-10,60.0
2022-05-11,61.0
2022-05-12,71.0
2022-05-13,79.0
2022-05-14,8.0
