Time,t_mobile
2022-01-01,53.0
2022-01-02,55.0
2022-01-03,58.0
2022-01-04,68.0
2022-01-05,60.0
2022-01-06,46.0
2022-01-07,55.0
2022-01-08,60.0
2022-01-09,54.0
2022-01-10,47.0
2022-01-11,52.0
2022-01-12,50.0
2022-01-13,42.0
2022-01-14,45.0
2022-01-15,56.0
2022-01-16,51.0
2022-01-17,43.0
2022-01-18,42.0
2022-01-19,47.0
2022-01-20,46.0
2022-01-21,50.0
2022-01-22,52.0
2022-01-23,54.0
2022-01-24,54.0
2022-01-25,44.0
2022-01-26,45.0
2022-01-27,43.0
2022-01-28,49.0
2022-01-29,52.0
2022-01-30,47.0
2022-01-31,47.0
2022-02-01,43.0
2022-02-02,47.0
2022-02-03,49.0
2022-02-04,48.0
2022-02-05,55.0
2022-02-06,47.0
2022-02-07,48.0
2022-02-08,50.0
2022-02-09,52.0
2022-02-10,44.0
2022-02-11,58.0
2022-02-12,59.0
2022-02-13,51.0
2022-02-14,60.0
2022-02-15,61.0
2022-02-16,58.0
2022-02-17,56.0
2022-02-18,56.0
2022-02-19,63.0
2022-02-20,61.0
2022-02-21,61.0
2022-02-22,61.0
2022-02-23,58.0
2022-02-24,59.0
2022-02-25,60.0
2022-02-26,65.0
2022-02-27,64.0
2022-02-28,59.0
2022-03-01,63.0
2022-03-02,62.0
2022-03-03,62.0
2022-03-04,66.0
2022-03-05,65.0
2022-03-06,65.0
2022-03-07,58.0
2022-03-08,57.0
2022-03-09,57.0
2022-03-10,60.0
2022-03-11,63.0
2022-03-12,63.0
2022-03-13,56.0
2022-03-14,57.0
2022-03-15,57.0
2022-03-16,58.0
2022-03-17,59.0
2022-03-18,62.0
2022-03-19,67.0
2022-03-20,56.0
2022-03-21,54.0
2022-03-22,59.0
2022-03-23,58.0
2022-03-24,57.0
2022-03-25,57.0
2022-03-26,59.0
2022-03-27,55.0
2022-03-28,47.0
2022-03-29,50.0
2022-03-30,53.0
2022-03-31,53.0
2022-04-01,55.0
2022-04-02,59.0
2022-04-03,55.0
2022-04-04,51.0
2022-04-05,52.0
2022-04-06,52.0
2022-04-07,51.0
2022-04-08,54.0
2022-04-09,62.0
2022-04-10,55.0
2022-04-11,49.0
2022-04-12,50.0
2022-04-13,50.0
2022-04-14,49.0
2022-04-15,54.0
2022-04-16,55.0
2022-04-17,49.0
2022-04-18,51.0
2022-04-19,60.0
2022-04-20,55.0
2022-04-21,56.0
2022-04-22,52.0
2022-04-23,55.0
2022-04-24,51.0
2022-04-25,51.0
2022-04-26,50.0
2022-04-27,51.0
2022-04-28,50.0
2022-04-29,52.0
2022-04-30,59.0
2022-05-01,55.0
2022-05-02,49.0
2022-05-03,50.0
2022-05-04,55.0
2022-05-05,53.0
2022-05-06,54.0
2022-05-07,61.0
2022-05-08,59.0
2022-05-09,53.0
2022-05-10,59.0
2022-05-11,53.0
2022-05-12,54.0
2022-05-13,56.0
2022-05-14,58.0
2022-05-15,56.0
2022-05-16,53.0
2022-05-17,57.0
2022-05-18,54.0
2022-05-19,56.0
2022-05-20,56.0
2022-05-21,60.0
2022-05-22,58.0
2022-05-23,66.0
2022-05-24,63.0
2022-05-25,56.0
2022-05-26,58.0
2022-05-27,63.0
2022-05-28,66.0
2022-05-29,58.0
2022-05-30,58.0
2022-05-31,71.0
2022-06-01,66.0
2022-06-02,62.0
2022-06-03,63.0
2022-06-04,63.0
2022-06-05,54.0
2022-06-06,62.0
2022-06-07,64.0
2022-06-08,65.0
2022-06-09,61.0
2022-06-10,64.0
2022-06-11,66.0
2022-06-12,59.0
2022-06-13,59.0
2022-06-14,65.0
2022-06-15,61.0
2022-06-16,59.0
2022-06-17,63.0
2022-06-18,65.0
2022-06-19,59.0
2022-06-20,63.0
2022-06-21,65.0
2022-06-22,62.0
2022-06-23,60.0
2022-06-24,62.0
2022-06-25,59.0
2022-06-26,57.0
2022-06-27,60.0
2022-06-28,61.0
2022-06-29,60.0
2022-06-30,62.0
2022-07-01,66.0
2022-07-02,71.0
2022-07-03,61.0
2022-07-04,52.0
2022-07-05,61.0
2022-07-06,63.0
2022-07-07,61.0
2022-07-08,66.0
2022-07-09,62.0
2022-07-10,59.0
2022-07-11,61.0
2022-07-12,73.0
2022-07-13,64.0
2022-07-14,60.0
2022-07-15,64.0
2022-07-16,62.0
2022-07-17,54.0
2022-07-18,57.0
2022-07-19,61.0
2022-07-20,62.0
2022-07-21,65.0
2022-07-22,65.0
2022-07-23,68.0
2022-07-24,62.0
2022-07-25,64.0
2022-07-26,70.0
2022-07-27,65.0
2022-07-28,63.0
2022-07-29,65.0
2022-07-30,59.0
2022-07-31,60.0
2022-08-01,63.0
2022-08-02,63.0
2022-08-03,63.0
2022-08-04,62.0
2022-08-05,66.0
2022-08-06,65.0
2022-08-07,67.0
2022-08-08,64.0
2022-08-09,65.0
2022-08-10,69.0
2022-08-11,66.0
2022-08-12,67.0
2022-08-13,68.0
2022-08-14,63.0
2022-08-15,64.0
2022-08-16,71.0
2022-08-17,64.0
2022-08-18,66.0
2022-08-19,68.0
2022-08-20,68.0
2022-08-21,64.0
2022-08-22,66.0
2022-08-23,66.0
2022-08-24,66.0
2022-08-25,68.0
2022-08-26,72.0
2022-08-27,72.0
2022-08-28,67.0
2022-08-29,61.266666666666666
2022-08-30,63.05555555555556
2022-08-31,63.05555555555556
2022-09-01,66.13333333333333
2022-09-02,64.84444444444443
2022-09-03,64.84444444444443
2022-09-04,61.766666666666666
2022-09-05,64.34444444444443
2022-09-06,61.766666666666666
2022-09-07,74.07777777777778
2022-09-08,86.88888888888889
2022-09-09,99.69999999999999
2022-09-10,88.17777777777778
2022-09-11,78.94444444444444
2022-09-12,74.07777777777778
2022-09-13,81.52222222222221
2022-09-14,70.5
2022-09-15,66.13333333333333
2022-09-16,83.8111111111111
2022-09-17,89.96666666666667
2022-09-18,78.94444444444444
2022-09-19,74.07777777777778
2022-09-20,72.78888888888889
2022-09-21,69.71111111111111
2022-09-22,71.0
2022-09-23,71.0
2022-09-24,72.78888888888889
2022-09-25,67.92222222222222
2022-09-26,62.55555555555556
2022-09-27,59.977777777777774
