Time,amazon
2022-01-01,51.0
2022-01-02,56.0
2022-01-03,62.0
2022-01-04,71.0
2022-01-05,66.0
2022-01-06,53.0
2022-01-07,58.0
2022-01-08,61.0
2022-01-09,59.0
2022-01-10,53.0
2022-01-11,58.0
2022-01-12,57.0
2022-01-13,55.0
2022-01-14,48.0
2022-01-15,57.0
2022-01-16,52.0
2022-01-17,52.0
2022-01-18,52.0
2022-01-19,47.0
2022-01-20,50.0
2022-01-21,52.0
2022-01-22,57.0
2022-01-23,51.0
2022-01-24,63.0
2022-01-25,48.0
2022-01-26,47.0
2022-01-27,49.0
2022-01-28,54.0
2022-01-29,57.0
2022-01-30,57.0
2022-01-31,55.0
2022-02-01,55.0
2022-02-02,56.0
2022-02-03,57.0
2022-02-04,59.0
2022-02-05,58.0
2022-02-06,58.0
2022-02-07,59.0
2022-02-08,57.0
2022-02-09,52.0
2022-02-10,44.0
2022-02-11,53.0
2022-02-12,53.0
2022-02-13,49.0
2022-02-14,46.0
2022-02-15,52.0
2022-02-16,52.0
2022-02-17,50.0
2022-02-18,53.0
2022-02-19,55.0
2022-02-20,54.0
2022-02-21,54.0
2022-02-22,53.0
2022-02-23,52.0
2022-02-24,48.0
2022-02-25,51.0
2022-02-26,52.0
2022-02-27,55.0
2022-02-28,52.0
2022-03-01,54.0
2022-03-02,49.0
2022-03-03,51.0
2022-03-04,49.0
2022-03-05,52.0
2022-03-06,55.0
2022-03-07,51.0
2022-03-08,50.0
2022-03-09,54.0
2022-03-10,56.0
2022-03-11,49.0
2022-03-12,52.0
2022-03-13,54.0
2022-03-14,49.0
2022-03-15,53.0
2022-03-16,53.0
2022-03-17,50.0
2022-03-18,49.0
2022-03-19,49.0
2022-03-20,54.0
2022-03-21,52.0
2022-03-22,53.0
2022-03-23,55.0
2022-03-24,51.0
2022-03-25,50.0
2022-03-26,51.0
2022-03-27,53.0
2022-03-28,48.0
2022-03-29,50.0
2022-03-30,54.0
2022-03-31,51.0
2022-04-01,52.0
2022-04-02,56.0
2022-04-03,56.0
2022-04-04,53.0
2022-04-05,51.0
2022-04-06,53.0
2022-04-07,51.0
2022-04-08,50.0
2022-04-09,54.0
2022-04-10,54.0
2022-04-11,53.0
2022-04-12,51.0
2022-04-13,49.0
2022-04-14,52.0
2022-04-15,50.0
2022-04-16,49.0
2022-04-17,49.0
2022-04-18,52.0
2022-04-19,50.0
2022-04-20,49.0
2022-04-21,50.0
2022-04-22,47.0
2022-04-23,50.0
2022-04-24,52.0
2022-04-25,53.0
2022-04-26,51.0
2022-04-27,52.0
2022-04-28,52.0
2022-04-29,53.0
2022-04-30,53.0
2022-05-01,55.0
2022-05-02,52.0
2022-05-03,54.0
2022-05-04,54.0
2022-05-05,53.0
2022-05-06,55.0
2022-05-07,56.0
2022-05-08,53.0
2022-05-09,50.0
2022-05-10,52.0
2022-05-11,50.0
2022-05-12,53.0
2022-05-13,52.0
2022-05-14,52.0
2022-05-15,55.0
2022-05-16,53.0
2022-05-17,54.0
2022-05-18,53.0
2022-05-19,54.0
2022-05-20,53.0
2022-05-21,53.0
2022-05-22,53.0
2022-05-23,50.0
2022-05-24,58.0
2022-05-25,52.0
2022-05-26,52.0
2022-05-27,52.0
2022-05-28,49.0
2022-05-29,52.0
2022-05-30,55.0
2022-05-31,54.0
2022-06-01,53.0
2022-06-02,54.0
2022-06-03,53.0
2022-06-04,57.0
2022-06-05,57.0
