Time,netflix_stock
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,2.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,2.0
2022-01-07,2.0
2022-01-08,1.0
2022-01-09,1.0
2022-01-10,2.0
2022-01-11,2.0
2022-01-12,2.0
2022-01-13,2.0
2022-01-14,2.0
2022-01-15,3.0
2022-01-16,1.0
2022-01-17,1.0
2022-01-18,2.0
2022-01-19,2.0
2022-01-20,9.0
2022-01-21,38.0
2022-01-22,16.0
2022-01-23,6.0
2022-01-24,17.0
2022-01-25,9.0
2022-01-26,7.0
2022-01-27,8.0
2022-01-28,6.0
2022-01-29,3.0
2022-01-30,2.0
2022-01-31,6.0
2022-02-01,6.0
2022-02-02,6.0
2022-02-03,7.0
2022-02-04,5.0
2022-02-05,2.0
2022-02-06,2.0
2022-02-07,4.0
2022-02-08,5.0
2022-02-09,4.0
2022-02-10,3.0
2022-02-11,4.0
2022-02-12,2.0
2022-02-13,1.0
2022-02-14,3.0
2022-02-15,3.0
2022-02-16,3.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,2.0
2022-02-20,1.0
2022-02-21,2.0
2022-02-22,3.0
2022-02-23,3.0
2022-02-24,4.0
2022-02-25,3.0
2022-02-26,1.0
2022-02-27,1.0
2022-02-28,3.0
2022-03-01,3.0
2022-03-02,3.0
2022-03-03,2.0
2022-03-04,3.0
2022-03-05,2.0
2022-03-06,1.0
2022-03-07,3.0
2022-03-08,3.0
2022-03-09,3.0
2022-03-10,3.0
2022-03-11,3.0
2022-03-12,2.0
2022-03-13,2.0
2022-03-14,4.0
2022-03-15,3.0
2022-03-16,3.0
2022-03-17,4.0
2022-03-18,3.0
2022-03-19,2.0
2022-03-20,1.0
2022-03-21,3.0
2022-03-22,3.0
2022-03-23,3.0
2022-03-24,3.0
2022-03-25,2.0
2022-03-26,2.0
2022-03-27,1.0
2022-03-28,3.0
2022-03-29,3.0
2022-03-30,3.0
2022-03-31,2.0
2022-04-01,3.0
2022-04-02,2.0
2022-04-03,1.0
2022-04-04,3.0
2022-04-05,2.0
2022-04-06,2.0
2022-04-07,2.0
2022-04-08,2.0
2022-04-09,1.0
2022-04-10,1.0
2022-04-11,2.0
2022-04-12,2.0
2022-04-13,2.0
2022-04-14,2.0
2022-04-15,2.0
2022-04-16,1.0
2022-04-17,1.0
2022-04-18,3.0
2022-04-19,23.0
2022-04-20,100.0
2022-04-21,73.0
2022-04-22,33.0
2022-04-23,18.0
2022-04-24,12.0
2022-04-25,22.0
2022-04-26,17.0
2022-04-27,16.0
2022-04-28,13.0
2022-04-29,13.0
2022-04-30,7.0
2022-05-01,5.0
2022-05-02,9.0
2022-05-03,7.0
2022-05-04,8.0
2022-05-05,9.0
2022-05-06,8.0
2022-05-07,5.0
2022-05-08,4.0
2022-05-09,9.0
2022-05-10,9.0
2022-05-11,9.0
2022-05-12,9.0
2022-05-13,8.0
2022-05-14,4.0
2022-05-15,3.0
2022-05-16,6.0
2022-05-17,6.0
2022-05-18,8.0
2022-05-19,7.0
2022-05-20,6.0
2022-05-21,3.0
2022-05-22,2.0
2022-05-23,5.0
2022-05-24,6.0
2022-05-25,5.0
2022-05-26,4.0
2022-05-27,4.0
2022-05-28,2.0
2022-05-29,2.0
2022-05-30,2.0
2022-05-31,4.0
2022-06-01,4.0
2022-06-02,4.0
2022-06-03,4.0
2022-06-04,2.0
2022-06-05,2.0
2022-06-06,4.0
2022-06-07,4.0
2022-06-08,4.0
2022-06-09,4.0
2022-06-10,5.0
2022-06-11,2.0
2022-06-12,2.0
2022-06-13,6.0
2022-06-14,5.0
2022-06-15,5.0
2022-06-16,5.0
2022-06-17,4.0
2022-06-18,2.0
2022-06-19,2.0
2022-06-20,2.0
2022-06-21,4.0
2022-06-22,4.0
2022-06-23,5.0
2022-06-24,5.0
2022-06-25,3.0
2022-06-26,2.0
2022-06-27,4.0
2022-06-28,3.0
2022-06-29,3.0
2022-06-30,3.0
2022-07-01,3.0
2022-07-02,2.0
2022-07-03,2.0
2022-07-04,2.0
2022-07-05,3.0
2022-07-06,3.0
2022-07-07,3.0
2022-07-08,3.0
2022-07-09,2.0
