Time,msn
2022-01-01,48.0
2022-01-02,47.0
2022-01-03,69.0
2022-01-04,100.0
2022-01-05,82.0
2022-01-06,67.0
2022-01-07,70.0
2022-01-08,49.0
2022-01-09,45.0
2022-01-10,77.0
2022-01-11,80.0
2022-01-12,72.0
2022-01-13,72.0
2022-01-14,62.0
2022-01-15,48.0
2022-01-16,42.0
2022-01-17,62.0
2022-01-18,67.0
2022-01-19,72.0
2022-01-20,69.0
2022-01-21,68.0
2022-01-22,48.0
2022-01-23,42.0
2022-01-24,86.0
2022-01-25,67.0
2022-01-26,69.0
2022-01-27,72.0
2022-01-28,76.0
2022-01-29,52.0
2022-01-30,48.0
2022-01-31,80.0
2022-02-01,76.0
2022-02-02,77.0
2022-02-03,71.0
2022-02-04,71.0
2022-02-05,47.0
2022-02-06,45.0
2022-02-07,77.0
2022-02-08,73.0
2022-02-09,71.0
2022-02-10,65.0
2022-02-11,69.0
2022-02-12,53.0
2022-02-13,40.0
2022-02-14,65.0
2022-02-15,72.0
2022-02-16,70.0
2022-02-17,74.0
2022-02-18,61.0
2022-02-19,48.0
2022-02-20,46.0
2022-02-21,65.0
2022-02-22,72.0
2022-02-23,71.0
2022-02-24,87.0
2022-02-25,75.0
2022-02-26,56.0
2022-02-27,55.0
2022-02-28,79.0
2022-03-01,76.0
2022-03-02,79.0
2022-03-03,74.0
2022-03-04,74.0
2022-03-05,51.0
2022-03-06,50.0
2022-03-07,75.0
2022-03-08,72.0
2022-03-09,76.0
2022-03-10,72.0
2022-03-11,63.0
2022-03-12,50.0
2022-03-13,51.0
2022-03-14,80.0
2022-03-15,73.0
2022-03-16,74.0
2022-03-17,68.0
2022-03-18,65.0
2022-03-19,50.0
2022-03-20,47.0
2022-03-21,75.0
2022-03-22,73.0
2022-03-23,73.0
2022-03-24,66.0
2022-03-25,65.0
2022-03-26,51.0
2022-03-27,48.0
2022-03-28,71.0
2022-03-29,68.0
2022-03-30,69.0
2022-03-31,66.0
2022-04-01,62.0
2022-04-02,49.0
2022-04-03,46.0
2022-04-04,66.0
2022-04-05,65.0
2022-04-06,67.0
2022-04-07,65.0
2022-04-08,65.0
2022-04-09,46.0
2022-04-10,46.0
2022-04-11,71.0
2022-04-12,69.0
2022-04-13,72.0
2022-04-14,69.0
2022-04-15,59.0
2022-04-16,45.0
2022-04-17,45.0
2022-04-18,68.0
2022-04-19,66.0
2022-04-20,64.0
2022-04-21,64.0
2022-04-22,62.0
2022-04-23,46.0
2022-04-24,43.0
2022-04-25,66.0
2022-04-26,65.0
2022-04-27,66.0
2022-04-28,67.0
2022-04-29,60.0
2022-04-30,47.0
2022-05-01,47.0
2022-05-02,62.0
2022-05-03,63.0
2022-05-04,66.0
2022-05-05,66.0
2022-05-06,62.0
2022-05-07,46.0
2022-05-08,45.0
2022-05-09,67.0
2022-05-10,69.0
2022-05-11,68.0
2022-05-12,71.0
