Time,the_quarry
2022-01-01,1.0
2022-01-02,1.0
2022-01-03,2.0
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,2.0
2022-01-08,1.0
2022-01-09,2.0
2022-01-10,2.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,2.0
2022-01-15,1.0
2022-01-16,2.0
2022-01-17,2.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-22,2.0
2022-01-23,1.0
2022-01-24,2.0
2022-01-25,2.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,2.0
2022-01-29,2.0
2022-01-30,2.0
2022-01-31,1.0
2022-02-01,1.0
2022-02-02,1.0
2022-02-03,1.0
2022-02-04,1.0
2022-02-05,2.0
2022-02-06,2.0
2022-02-07,2.0
2022-02-08,2.0
2022-02-09,2.0
2022-02-10,1.0
2022-02-11,2.0
2022-02-12,2.0
2022-02-13,2.0
2022-02-14,1.0
2022-02-15,2.0
2022-02-16,1.0
2022-02-17,1.0
2022-02-18,2.0
2022-02-19,2.0
2022-02-20,2.0
2022-02-21,2.0
2022-02-22,1.0
2022-02-23,2.0
2022-02-24,2.0
2022-02-25,1.0
2022-02-26,2.0
2022-02-27,2.0
2022-02-28,1.0
2022-03-01,2.0
2022-03-02,2.0
2022-03-03,1.0
2022-03-04,2.0
2022-03-05,2.0
2022-03-06,2.0
2022-03-07,2.0
2022-03-08,1.0
2022-03-09,2.0
2022-03-10,2.0
2022-03-11,1.0
2022-03-12,2.0
2022-03-13,2.0
2022-03-14,2.0
2022-03-15,2.0
2022-03-16,2.0
2022-03-17,8.0
2022-03-18,10.0
2022-03-19,8.0
2022-03-20,6.0
2022-03-21,4.0
2022-03-22,3.0
2022-03-23,3.0
2022-03-24,3.0
2022-03-25,3.0
2022-03-26,4.0
2022-03-27,3.0
2022-03-28,3.0
2022-03-29,3.0
2022-03-30,3.0
2022-03-31,3.0
2022-04-01,3.0
2022-04-02,3.0
2022-04-03,3.0
2022-04-04,2.0
2022-04-05,3.0
2022-04-06,3.0
2022-04-07,3.0
2022-04-08,4.0
2022-04-09,4.0
2022-04-10,4.0
2022-04-11,3.0
2022-04-12,3.0
2022-04-13,3.0
2022-04-14,3.0
2022-04-15,3.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,3.0
2022-04-19,3.0
2022-04-20,3.0
2022-04-21,2.0
2022-04-22,3.0
2022-04-23,4.0
2022-04-24,3.0
2022-04-25,3.0
2022-04-26,3.0
2022-04-27,3.0
2022-04-28,4.0
2022-04-29,3.0
2022-04-30,4.0
2022-05-01,4.0
2022-05-02,3.0
2022-05-03,3.0
2022-05-04,2.0
2022-05-05,3.0
2022-05-06,3.0
2022-05-07,4.0
2022-05-08,3.0
2022-05-09,3.0
2022-05-10,3.0
2022-05-11,3.0
2022-05-12,3.0
2022-05-13,3.0
2022-05-14,3.0
2022-05-15,4.0
2022-05-16,3.0
2022-05-17,3.0
2022-05-18,3.0
2022-05-19,3.0
2022-05-20,3.0
2022-05-21,4.0
2022-05-22,4.0
2022-05-23,3.0
2022-05-24,3.0
2022-05-25,4.0
2022-05-26,6.0
2022-05-27,5.0
2022-05-28,5.0
2022-05-29,5.0
2022-05-30,6.0
2022-05-31,5.0
2022-06-01,5.0
2022-06-02,6.0
2022-06-03,6.0
2022-06-04,6.0
2022-06-05,6.0
2022-06-06,7.0
2022-06-07,7.0
2022-06-08,13.0
2022-06-09,29.0
2022-06-10,65.0
2022-06-11,100.0
2022-06-12,95.0
2022-06-13,74.0
2022-06-14,73.0
2022-06-15,63.0
2022-06-16,55.0
2022-06-17,47.0
2022-06-18,53.0
2022-06-19,58.0
2022-06-20,46.0
2022-06-21,39.0
2022-06-22,33.0
2022-06-23,29.0
2022-06-24,27.0
2022-06-25,27.0
2022-06-26,30.0
2022-06-27,25.0
2022-06-28,23.0
2022-06-29,20.0
2022-06-30,19.0
2022-07-01,18.0
2022-07-02,20.0
2022-07-03,24.0
2022-07-04,22.0
2022-07-05,17.0
2022-07-06,16.0
2022-07-07,16.0
2022-07-08,18.0
2022-07-09,20.0
2022-07-10,20.0
