Time,fashion_nova
2022-01-01,63.0
2022-01-02,78.0
2022-01-03,69.0
2022-01-04,74.0
2022-01-05,73.0
2022-01-06,61.0
2022-01-07,72.0
2022-01-08,73.0
2022-01-09,74.0
2022-01-10,70.0
2022-01-11,71.0
2022-01-12,75.0
2022-01-13,58.0
2022-01-14,59.0
2022-01-15,69.0
2022-01-16,75.0
2022-01-17,69.0
2022-01-18,65.0
2022-01-19,62.0
2022-01-20,65.0
2022-01-21,68.0
2022-01-22,79.0
2022-01-23,82.0
2022-01-24,87.0
2022-01-25,65.0
2022-01-26,69.0
2022-01-27,71.0
2022-01-28,79.0
2022-01-29,84.0
2022-01-30,88.0
2022-01-31,78.0
2022-02-01,71.0
2022-02-02,70.0
2022-02-03,80.0
2022-02-04,83.0
2022-02-05,81.0
2022-02-06,85.0
2022-02-07,90.0
2022-02-08,79.0
2022-02-09,78.0
2022-02-10,64.0
2022-02-11,70.0
2022-02-12,73.0
2022-02-13,78.0
2022-02-14,75.0
2022-02-15,72.0
2022-02-16,77.0
2022-02-17,83.0
2022-02-18,71.0
2022-02-19,75.0
2022-02-20,84.0
2022-02-21,88.0
2022-02-22,84.0
2022-02-23,79.0
2022-02-24,72.0
2022-02-25,78.0
2022-02-26,79.0
2022-02-27,84.0
2022-02-28,85.0
2022-03-01,84.0
2022-03-02,87.0
2022-03-03,78.0
2022-03-04,78.0
2022-03-05,76.0
2022-03-06,85.0
2022-03-07,95.0
2022-03-08,100.0
2022-03-09,94.0
2022-03-10,90.0
2022-03-11,83.0
2022-03-12,86.0
2022-03-13,90.0
2022-03-14,89.0
2022-03-15,89.0
2022-03-16,89.0
2022-03-17,82.0
2022-03-18,91.0
2022-03-19,85.0
2022-03-20,86.0
2022-03-21,81.0
2022-03-22,88.0
2022-03-23,83.0
2022-03-24,82.0
2022-03-25,74.0
2022-03-26,83.0
2022-03-27,87.0
2022-03-28,72.0
2022-03-29,82.0
2022-03-30,81.0
2022-03-31,72.0
2022-04-01,74.0
2022-04-02,84.0
2022-04-03,84.0
2022-04-04,75.0
2022-04-05,78.0
2022-04-06,75.0
2022-04-07,75.0
2022-04-08,83.0
2022-04-09,77.0
2022-04-10,90.0
2022-04-11,78.0
2022-04-12,87.0
2022-04-13,79.0
2022-04-14,76.0
2022-04-15,73.0
2022-04-16,75.0
2022-04-17,76.0
2022-04-18,76.0
2022-04-19,73.0
2022-04-20,71.0
2022-04-21,71.0
2022-04-22,67.0
2022-04-23,74.0
2022-04-24,78.0
2022-04-25,77.0
2022-04-26,77.0
2022-04-27,71.0
2022-04-28,71.0
2022-04-29,70.0
2022-04-30,72.0
2022-05-01,83.0
2022-05-02,73.0
2022-05-03,85.0
2022-05-04,81.0
2022-05-05,70.0
2022-05-06,71.0
2022-05-07,74.0
2022-05-08,74.0
2022-05-09,74.0
2022-05-10,67.0
2022-05-11,71.0
2022-05-12,75.0
2022-05-13,73.0
2022-05-14,75.0
2022-05-15,80.0
2022-05-16,78.0
2022-05-17,83.0
2022-05-18,75.0
2022-05-19,79.0
2022-05-20,77.0
2022-05-21,74.0
2022-05-22,81.0
2022-05-23,83.0
2022-05-24,72.0
2022-05-25,67.0
2022-05-26,66.0
2022-05-27,65.0
2022-05-28,67.0
2022-05-29,71.0
2022-05-30,76.0
2022-05-31,69.0
2022-06-01,63.0
2022-06-02,65.0
2022-06-03,63.0
2022-06-04,68.0
2022-06-05,69.0
2022-06-06,66.0
2022-06-07,67.0
2022-06-08,68.0
2022-06-09,66.0
2022-06-10,61.0
2022-06-11,64.0
2022-06-12,67.0
2022-06-13,63.0
2022-06-14,65.0
2022-06-15,62.0
2022-06-16,64.0
2022-06-17,58.0
2022-06-18,59.0
2022-06-19,59.0
2022-06-20,62.0
2022-06-21,68.0
2022-06-22,68.0
2022-06-23,68.0
2022-06-24,58.0
2022-06-25,62.0
2022-06-26,68.0
2022-06-27,63.0
2022-06-28,62.0
2022-06-29,65.0
2022-06-30,61.0
2022-07-01,61.0
2022-07-02,60.0
2022-07-03,63.0
2022-07-04,64.0
2022-07-05,58.0
2022-07-06,66.0
2022-07-07,66.0
2022-07-08,64.0
2022-07-09,65.0
2022-07-10,71.0
2022-07-11,67.0
2022-07-12,68.0
2022-07-13,67.0
2022-07-14,68.0
2022-07-15,64.0
2022-07-16,60.0
2022-07-17,65.0
2022-07-18,61.0
2022-07-19,65.0
2022-07-20,64.0
2022-07-21,63.0
2022-07-22,60.0
2022-07-23,58.0
2022-07-24,64.0
2022-07-25,60.0
2022-07-26,63.0
2022-07-27,59.0
2022-07-28,62.0
2022-07-29,60.0
2022-07-30,59.0
2022-07-31,66.0
2022-08-01,62.0
2022-08-02,66.0
2022-08-03,63.0
2022-08-04,65.0
2022-08-05,60.0
2022-08-06,61.0
2022-08-07,67.0
2022-08-08,62.0
2022-08-09,62.0
2022-08-10,61.0
2022-08-11,61.0
2022-08-12,60.0
2022-08-13,61.0
2022-08-14,64.0
2022-08-15,61.0
2022-08-16,61.0
2022-08-17,58.0
2022-08-18,61.0
2022-08-19,59.0
2022-08-20,59.0
2022-08-21,68.0
2022-08-22,65.0
2022-08-23,62.0
