Time,weather_channel
2022-01-01,21.0
2022-01-02,23.0
2022-01-03,26.0
2022-01-04,22.0
2022-01-05,29.0
2022-01-06,34.0
2022-01-07,23.0
2022-01-08,14.0
2022-01-09,15.0
2022-01-10,14.0
2022-01-11,16.0
2022-01-12,23.0
2022-01-13,37.0
2022-01-14,34.0
2022-01-15,40.0
2022-01-16,48.0
2022-01-17,25.0
2022-01-18,19.0
2022-01-19,29.0
2022-01-20,34.0
2022-01-21,22.0
2022-01-22,15.0
2022-01-23,14.0
2022-01-24,20.0
2022-01-25,17.0
2022-01-26,26.0
2022-01-27,34.0
2022-01-28,48.0
2022-01-29,38.0
2022-01-30,20.0
2022-01-31,35.0
2022-02-01,46.0
2022-02-02,57.0
2022-02-03,55.0
2022-02-04,33.0
2022-02-05,13.0
2022-02-06,11.0
2022-02-07,15.0
2022-02-08,11.0
2022-02-09,11.0
2022-02-10,11.0
2022-02-11,13.0
2022-02-12,13.0
2022-02-13,13.0
2022-02-14,13.0
2022-02-15,14.0
2022-02-16,19.0
2022-02-17,30.0
2022-02-18,16.0
2022-02-19,13.0
2022-02-20,12.0
2022-02-21,21.0
2022-02-22,28.0
2022-02-23,30.0
2022-02-24,29.0
2022-02-25,17.0
2022-02-26,9.0
2022-02-27,9.0
2022-02-28,12.0
2022-03-01,10.0
2022-03-02,11.0
2022-03-03,12.0
2022-03-04,12.0
2022-03-05,13.0
2022-03-06,15.0
2022-03-07,19.0
2022-03-08,18.0
2022-03-09,20.0
2022-03-10,20.0
2022-03-11,25.0
2022-03-12,20.0
2022-03-13,11.0
2022-03-14,11.0
2022-03-15,14.0
2022-03-16,14.0
2022-03-17,14.0
2022-03-18,18.0
2022-03-19,13.0
2022-03-20,10.0
2022-03-21,20.0
2022-03-22,24.0
2022-03-23,20.0
2022-03-24,14.0
2022-03-25,13.0
2022-03-26,10.0
2022-03-27,10.0
2022-03-28,13.0
2022-03-29,14.0
2022-03-30,26.0
2022-03-31,27.0
2022-04-01,13.0
2022-04-02,12.0
2022-04-03,11.0
2022-04-04,15.0
2022-04-05,24.0
2022-04-06,19.0
2022-04-07,18.0
2022-04-08,14.0
2022-04-09,11.0
2022-04-10,11.0
2022-04-11,19.0
2022-04-12,24.0
2022-04-13,33.0
2022-04-14,20.0
2022-04-15,13.0
2022-04-16,13.0
2022-04-17,12.0
2022-04-18,18.0
2022-04-19,13.0
2022-04-20,12.0
2022-04-21,13.0
