Time,dennis rodman
2023-04-26,6
2023-04-27,6
2023-04-28,7
2023-04-29,8
2023-04-30,9
2023-05-01,7
2023-05-02,8
2023-05-03,15
2023-05-04,10
2023-05-05,7
2023-05-06,10
2023-05-07,10
2023-05-08,33
2023-05-09,11
2023-05-10,15
2023-05-11,12
2023-05-12,8
2023-05-13,12
2023-05-14,11
2023-05-15,12
2023-05-16,10
2023-05-17,9
2023-05-18,12
2023-05-19,7
2023-05-20,10
2023-05-21,10
2023-05-22,8
2023-05-23,9
2023-05-24,9
2023-05-25,9
2023-05-26,7
2023-05-27,10
2023-05-28,24
2023-05-29,9
2023-05-30,7
2023-05-31,6
2023-06-01,7
2023-06-02,8
2023-06-03,8
2023-06-04,8
2023-06-05,6
2023-06-06,6
2023-06-07,6
2023-06-08,6
2023-06-09,6
2023-06-10,7
2023-06-11,7
2023-06-12,5
2023-06-13,5
2023-06-14,5
2023-06-15,5
2023-06-16,5
2023-06-17,5
2023-06-18,8
2023-06-19,7
2023-06-20,6
2023-06-21,6
2023-06-22,6
2023-06-23,7
2023-06-24,6
2023-06-25,13
2023-06-26,17
2023-06-27,15
2023-06-28,14
2023-06-29,18
2023-06-30,7
2023-07-01,7
2023-07-02,8
2023-07-03,7
2023-07-04,7
2023-07-05,6
2023-07-06,7
2023-07-07,13
2023-07-08,24
2023-07-09,24
2023-07-10,20
2023-07-11,12
2023-07-12,20
2023-07-13,20
2023-07-14,10
2023-07-15,7
2023-07-16,9
2023-07-17,7
2023-07-18,7
2023-07-19,7
2023-07-20,10
2023-07-21,19
2023-07-22,100
2023-07-23,43
2023-07-24,26
2023-07-25,10
2023-07-26,10
2023-07-27,48
2023-07-28,9
2023-07-29,9
2023-07-30,11
2023-07-31,11
2023-08-01,9
2023-08-02,7
2023-08-03,5
2023-08-04,7
2023-08-05,8
2023-08-06,18
2023-08-07,6
2023-08-08,4
2023-08-09,4
2023-08-10,5
2023-08-11,5
2023-08-12,6
2023-08-13,7
2023-08-14,5
2023-08-15,5
2023-08-16,6
2023-08-17,6
2023-08-18,6
2023-08-19,7
2023-08-20,5
2023-08-21,5
2023-08-22,5
2023-08-23,4
2023-08-24,4
2023-08-25,6
2023-08-26,6
2023-08-27,6
2023-08-28,5
2023-08-29,7
2023-08-30,5
2023-08-31,5
2023-09-01,6
2023-09-02,7
2023-09-03,13
2023-09-04,7
2023-09-05,5
2023-09-06,5
2023-09-07,5
2023-09-08,5
2023-09-09,5
2023-09-10,6
2023-09-11,4
2023-09-12,4
2023-09-13,4
2023-09-14,4
2023-09-15,4
2023-09-16,4
2023-09-17,5
2023-09-18,4
2023-09-19,4
2023-09-20,5
2023-09-21,6
2023-09-22,5
2023-09-23,4
2023-09-24,6
2023-09-25,5
2023-09-26,5
2023-09-27,5
2023-09-28,5
2023-09-29,5
2023-09-30,5
2023-10-01,5
2023-10-02,6
2023-10-03,6
2023-10-04,5
2023-10-05,5
2023-10-06,4
2023-10-07,5
2023-10-08,5
2023-10-09,4
2023-10-10,4
2023-10-11,5
2023-10-12,5
2023-10-13,4
2023-10-14,5
2023-10-15,5
2023-10-16,4
2023-10-17,5
2023-10-18,5
2023-10-19,5
2023-10-20,5
2023-10-21,7
2023-10-22,5
2023-10-23,4
2023-10-24,4
2023-10-25,4
2023-10-26,5
2023-10-27,4
2023-10-28,4
2023-10-29,5
2023-10-30,4
2023-10-31,4
2023-11-01,4
2023-11-02,4
2023-11-03,5
2023-11-04,5
2023-11-05,4
2023-11-06,4
2023-11-07,5
2023-11-08,4
2023-11-09,5
2023-11-10,5
2023-11-11,5
2023-11-12,5
2023-11-13,6
2023-11-14,5
2023-11-15,6
2023-11-16,11
2023-11-17,7
2023-11-18,6
2023-11-19,9
2023-11-20,5
2023-11-21,6
2023-11-22,5
2023-11-23,7
2023-11-24,8
2023-11-25,6
2023-11-26,5
2023-11-27,4
2023-11-28,5
2023-11-29,5
2023-11-30,6
2023-12-01,6
2023-12-02,7
2023-12-03,7
2023-12-04,5
2023-12-05,4
2023-12-06,5
2023-12-07,5
2023-12-08,4
2023-12-09,5
2023-12-10,7
2023-12-11,5
2023-12-12,5
2023-12-13,7
2023-12-14,7
2023-12-15,5
2023-12-16,6
2023-12-17,8
2023-12-18,6
2023-12-19,4
2023-12-20,5
2023-12-21,5
2023-12-22,5
2023-12-23,7
2023-12-24,7
2023-12-25,6
2023-12-26,5
2023-12-27,5
2023-12-28,5
2023-12-29,6
2023-12-30,6
2023-12-31,6
2024-01-01,6
2024-01-02,5
2024-01-03,5
2024-01-04,6
2024-01-05,6
2024-01-06,6
2024-01-07,6
2024-01-08,4
2024-01-09,4
2024-01-10,4
2024-01-11,5
2024-01-12,5
2024-01-13,9
2024-01-14,7
2024-01-15,5
2024-01-16,5
2024-01-17,4
2024-01-18,8
2024-01-19,4
2024-01-20,8
