Time,ufc
2022-01-01,6.0
2022-01-02,6.0
2022-01-03,4.0
2022-01-04,4.0
2022-01-05,4.0
2022-01-06,4.0
2022-01-07,5.0
2022-01-08,7.0
2022-01-09,6.0
2022-01-10,4.0
2022-01-11,5.0
2022-01-12,5.0
2022-01-13,5.0
2022-01-14,5.0
2022-01-15,12.0
2022-01-16,15.0
2022-01-17,5.0
2022-01-18,4.0
2022-01-19,5.0
2022-01-20,5.0
2022-01-21,9.0
2022-01-22,24.0
2022-01-23,72.0
2022-01-24,8.0
2022-01-25,4.0
2022-01-26,4.0
2022-01-27,5.0
2022-01-28,5.0
2022-01-29,8.0
2022-01-30,7.0
2022-01-31,4.0
2022-02-01,4.0
2022-02-02,4.0
2022-02-03,5.0
2022-02-04,6.0
2022-02-05,15.0
2022-02-06,18.0
2022-02-07,6.0
2022-02-08,5.0
2022-02-09,5.0
2022-02-10,5.0
2022-02-11,10.0
2022-02-12,26.0
2022-02-13,67.0
2022-02-14,7.0
2022-02-15,5.0
2022-02-16,4.0
2022-02-17,5.0
2022-02-18,6.0
2022-02-19,13.0
2022-02-20,16.0
2022-02-21,5.0
2022-02-22,4.0
2022-02-23,5.0
2022-02-24,4.0
2022-02-25,5.0
2022-02-26,15.0
2022-02-27,22.0
2022-02-28,6.0
2022-03-01,7.0
2022-03-02,6.0
2022-03-03,7.0
2022-03-04,10.0
2022-03-05,25.0
2022-03-06,88.0
2022-03-07,8.0
2022-03-08,5.0
2022-03-09,6.0
2022-03-10,5.0
2022-03-11,5.0
2022-03-12,14.0
2022-03-13,16.0
2022-03-14,5.0
2022-03-15,4.0
2022-03-16,5.0
2022-03-17,5.0
2022-03-18,6.0
2022-03-19,26.0
2022-03-20,12.0
2022-03-21,5.0
2022-03-22,5.0
2022-03-23,4.0
2022-03-24,5.0
2022-03-25,5.0
2022-03-26,16.0
2022-03-27,16.0
2022-03-28,4.0
2022-03-29,4.0
2022-03-30,4.0
2022-03-31,4.0
2022-04-01,5.0
2022-04-02,10.0
2022-04-03,8.0
2022-04-04,4.0
2022-04-05,4.0
2022-04-06,5.0
2022-04-07,6.0
2022-04-08,8.0
2022-04-09,27.0
2022-04-10,69.0
2022-04-11,7.0
2022-04-12,6.0
2022-04-13,4.0
2022-04-14,4.0
2022-04-15,5.0
2022-04-16,12.0
2022-04-17,18.0
2022-04-18,4.0
2022-04-19,3.0
2022-04-20,4.0
2022-04-21,4.0
2022-04-22,5.0
2022-04-23,12.0
2022-04-24,13.0
2022-04-25,4.0
2022-04-26,3.0
2022-04-27,4.0
2022-04-28,4.0
2022-04-29,4.0
2022-04-30,13.0
2022-05-01,15.0
2022-05-02,4.0
2022-05-03,5.0
2022-05-04,6.0
2022-05-05,6.0
2022-05-06,12.0
2022-05-07,28.0
2022-05-08,74.0
2022-05-09,8.0
2022-05-10,5.0
2022-05-11,4.0
2022-05-12,4.0
2022-05-13,4.0
2022-05-14,13.0
2022-05-15,22.0
2022-05-16,4.0
2022-05-17,4.0
2022-05-18,4.0
2022-05-19,4.0
2022-05-20,4.0
2022-05-21,13.0
2022-05-22,14.0
2022-05-23,4.0
2022-05-24,4.0
2022-05-25,3.0
2022-05-26,4.0
2022-05-27,4.0
2022-05-28,9.0
2022-05-29,8.0
2022-05-30,4.0
2022-05-31,4.0
2022-06-01,4.0
2022-06-02,4.0
2022-06-03,5.0
2022-06-04,15.0
2022-06-05,10.0
2022-06-06,4.0
2022-06-07,4.0
2022-06-08,4.0
2022-06-09,4.0
2022-06-10,6.0
2022-06-11,19.0
2022-06-12,45.0
2022-06-13,6.0
2022-06-14,4.0
2022-06-15,4.0
2022-06-16,4.0
2022-06-17,5.0
2022-06-18,18.0
2022-06-19,18.0
2022-06-20,5.0
2022-06-21,5.0
2022-06-22,4.0
2022-06-23,5.0
2022-06-24,5.0
2022-06-25,15.0
2022-06-26,21.0
2022-06-27,5.0
2022-06-28,5.0
2022-06-29,6.0
2022-06-30,7.0
2022-07-01,12.0
2022-07-02,38.0
2022-07-03,100.0
2022-07-04,10.0
2022-07-05,6.0
2022-07-06,5.0
2022-07-07,5.0
2022-07-08,5.0
2022-07-09,13.0
2022-07-10,18.0
2022-07-11,5.0
2022-07-12,4.0
2022-07-13,4.0
2022-07-14,4.0
2022-07-15,5.0
2022-07-16,25.0
2022-07-17,12.0
2022-07-18,5.0
2022-07-19,6.0
2022-07-20,8.0
2022-07-21,8.0
2022-07-22,10.0
2022-07-23,38.0
2022-07-24,15.0
2022-07-25,6.0
2022-07-26,6.0
2022-07-27,6.0
2022-07-28,7.0
2022-07-29,10.0
2022-07-30,27.0
2022-07-31,65.0
2022-08-01,8.0
2022-08-02,5.0
2022-08-03,5.0
2022-08-04,5.0
2022-08-05,6.0
2022-08-06,16.0
2022-08-07,27.0
2022-08-08,5.0
2022-08-09,4.0
2022-08-10,5.0
2022-08-11,5.0
2022-08-12,6.0
2022-08-13,20.0
2022-08-14,22.0
2022-08-15,6.0
2022-08-16,5.0
2022-08-17,5.0
2022-08-18,6.0
2022-08-19,10.0
2022-08-20,27.0
2022-08-21,72.0
2022-08-22,9.0
2022-08-23,6.0
2022-08-24,6.0
2022-08-25,5.0
2022-08-26,6.0
2022-08-27,12.0
2022-08-28,8.0
2022-08-29,3.918781725888325
2022-08-30,3.918781725888325
2022-08-31,3.918781725888325
2022-09-01,5.058375634517766
