Time,ace hardware
2022-01-01,57
2022-01-02,50
2022-01-03,40
2022-01-04,43
2022-01-05,40
2022-01-06,35
2022-01-07,38
2022-01-08,45
2022-01-09,43
2022-01-10,33
2022-01-11,33
2022-01-12,34
2022-01-13,33
2022-01-14,37
2022-01-15,53
2022-01-16,44
2022-01-17,37
2022-01-18,32
2022-01-19,33
2022-01-20,32
2022-01-21,33
2022-01-22,43
2022-01-23,41
2022-01-24,40
2022-01-25,29
2022-01-26,27
2022-01-27,32
2022-01-28,38
2022-01-29,47
2022-01-30,44
2022-01-31,36
2022-02-01,40
2022-02-02,43
2022-02-03,37
2022-02-04,37
2022-02-05,53
2022-02-06,47
2022-02-07,33
2022-02-08,33
2022-02-09,30
2022-02-10,28
2022-02-11,33
2022-02-12,44
2022-02-13,41
2022-02-14,29
2022-02-15,31
2022-02-16,31
2022-02-17,31
2022-02-18,32
2022-02-19,40
2022-02-20,45
2022-02-21,41
2022-02-22,34
2022-02-23,32
2022-02-24,30
2022-02-25,33
2022-02-26,42
2022-02-27,44
2022-02-28,38
2022-03-01,33
2022-03-02,33
2022-03-03,33
2022-03-04,37
2022-03-05,51
2022-03-06,48
2022-03-07,35
2022-03-08,37
2022-03-09,35
2022-03-10,37
2022-03-11,36
2022-03-12,40
2022-03-13,47
2022-03-14,38
2022-03-15,36
2022-03-16,37
2022-03-17,36
2022-03-18,37
2022-03-19,51
2022-03-20,59
2022-03-21,39
2022-03-22,37
2022-03-23,36
2022-03-24,37
2022-03-25,37
2022-03-26,54
2022-03-27,54
2022-03-28,33
2022-03-29,31
2022-03-30,34
2022-03-31,34
2022-04-01,36
2022-04-02,62
2022-04-03,60
2022-04-04,37
2022-04-05,35
2022-04-06,36
2022-04-07,36
2022-04-08,38
2022-04-09,58
2022-04-10,62
2022-04-11,43
2022-04-12,35
2022-04-13,36
2022-04-14,40
2022-04-15,49
2022-04-16,59
2022-04-17,60
2022-04-18,36
2022-04-19,36
2022-04-20,36
2022-04-21,40
2022-04-22,43
2022-04-23,74
2022-04-24,71
2022-04-25,42
2022-04-26,40
2022-04-27,40
2022-04-28,39
2022-04-29,44
2022-04-30,70
2022-05-01,70
2022-05-02,42
2022-05-03,39
2022-05-04,41
2022-05-05,42
2022-05-06,45
2022-05-07,69
2022-05-08,63
2022-05-09,44
2022-05-10,49
2022-05-11,47
2022-05-12,51
2022-05-13,48
2022-05-14,79
2022-05-15,85
2022-05-16,50
2022-05-17,45
2022-05-18,42
2022-05-19,47
2022-05-20,45
2022-05-21,71
2022-05-22,78
2022-05-23,46
2022-05-24,47
2022-05-25,44
2022-05-26,46
2022-05-27,55
2022-05-28,82
2022-05-29,96
2022-05-30,100
2022-05-31,49
2022-06-01,46
2022-06-02,46
2022-06-03,48
2022-06-04,73
2022-06-05,76
2022-06-06,48
2022-06-07,44
2022-06-08,45
2022-06-09,45
2022-06-10,52
2022-06-11,70
2022-06-12,68
2022-06-13,47
2022-06-14,49
2022-06-15,49
2022-06-16,50
2022-06-17,56
2022-06-18,80
2022-06-19,72
2022-06-20,58
2022-06-21,48
2022-06-22,46
2022-06-23,50
2022-06-24,48
2022-06-25,69
2022-06-26,73
2022-06-27,47
2022-06-28,49
2022-06-29,47
2022-06-30,49
2022-07-01,58
2022-07-02,75
2022-07-03,89
2022-07-04,86
2022-07-05,46
2022-07-06,43
2022-07-07,46
2022-07-08,48
2022-07-09,66
2022-07-10,72
2022-07-11,47
2022-07-12,46
2022-07-13,44
2022-07-14,48
2022-07-15,47
2022-07-16,60
2022-07-17,65
2022-07-18,45
2022-07-19,47
2022-07-20,42
2022-07-21,42
2022-07-22,49
2022-07-23,56
2022-07-24,58
2022-07-25,43
2022-07-26,43
2022-07-27,46
2022-07-28,41
2022-07-29,45
2022-07-30,58
2022-07-31,58
2022-08-01,40
2022-08-02,39
2022-08-03,43
2022-08-04,40
2022-08-05,48
2022-08-06,57
2022-08-07,57
2022-08-08,41
2022-08-09,39
2022-08-10,39
2022-08-11,40
2022-08-12,40
2022-08-13,55
2022-08-14,55
2022-08-15,41
2022-08-16,40
2022-08-17,40
2022-08-18,43
2022-08-19,44
2022-08-20,56
2022-08-21,56
2022-08-22,39
2022-08-23,38
2022-08-24,42
2022-08-25,36
2022-08-26,40
2022-08-27,54
2022-08-28,53
2022-08-29,39
2022-08-30,38
2022-08-31,39
2022-09-01,37
2022-09-02,43
2022-09-03,59
2022-09-04,64
2022-09-05,72
2022-09-06,37
2022-09-07,38
2022-09-08,35
2022-09-09,39
2022-09-10,50
2022-09-11,46
2022-09-12,35
2022-09-13,36
2022-09-14,36
2022-09-15,35
2022-09-16,37
2022-09-17,49
2022-09-18,48
2022-09-19,35
2022-09-20,37
2022-09-21,34
2022-09-22,35
2022-09-23,36
2022-09-24,51
2022-09-25,52
2022-09-26,42
2022-09-27,42
