Time,etsy
2022-01-01,73.0
2022-01-02,88.0
2022-01-03,82.0
2022-01-04,93.0
2022-01-05,87.0
2022-01-06,68.0
2022-01-07,83.0
2022-01-08,88.0
2022-01-09,90.0
2022-01-10,81.0
2022-01-11,83.0
2022-01-12,83.0
2022-01-13,86.0
2022-01-14,68.0
2022-01-15,85.0
2022-01-16,85.0
2022-01-17,80.0
2022-01-18,74.0
2022-01-19,77.0
2022-01-20,76.0
2022-01-21,76.0
2022-01-22,88.0
2022-01-23,91.0
2022-01-24,100.0
2022-01-25,74.0
2022-01-26,76.0
2022-01-27,78.0
2022-01-28,81.0
2022-01-29,92.0
2022-01-30,92.0
2022-01-31,84.0
2022-02-01,85.0
2022-02-02,83.0
2022-02-03,84.0
2022-02-04,86.0
2022-02-05,90.0
2022-02-06,93.0
2022-02-07,91.0
2022-02-08,85.0
2022-02-09,83.0
2022-02-10,66.0
2022-02-11,77.0
2022-02-12,79.0
2022-02-13,77.0
2022-02-14,67.0
2022-02-15,75.0
2022-02-16,75.0
2022-02-17,75.0
2022-02-18,77.0
2022-02-19,79.0
2022-02-20,87.0
2022-02-21,85.0
2022-02-22,81.0
2022-02-23,77.0
2022-02-24,74.0
2022-02-25,76.0
2022-02-26,82.0
2022-02-27,87.0
2022-02-28,79.0
2022-03-01,77.0
2022-03-02,74.0
2022-03-03,75.0
2022-03-04,73.0
2022-03-05,79.0
2022-03-06,86.0
2022-03-07,79.0
2022-03-08,80.0
2022-03-09,79.0
2022-03-10,78.0
2022-03-11,77.0
2022-03-12,82.0
2022-03-13,81.0
2022-03-14,79.0
2022-03-15,78.0
2022-03-16,79.0
2022-03-17,73.0
2022-03-18,72.0
2022-03-19,77.0
2022-03-20,85.0
2022-03-21,77.0
2022-03-22,78.0
2022-03-23,74.0
2022-03-24,75.0
2022-03-25,71.0
2022-03-26,77.0
2022-03-27,85.0
2022-03-28,71.0
2022-03-29,73.0
2022-03-30,74.0
2022-03-31,71.0
2022-04-01,75.0
2022-04-02,79.0
2022-04-03,85.0
2022-04-04,76.0
2022-04-05,73.0
2022-04-06,74.0
2022-04-07,75.0
2022-04-08,71.0
2022-04-09,79.0
2022-04-10,85.0
2022-04-11,85.0
2022-04-12,78.0
2022-04-13,73.0
2022-04-14,72.0
2022-04-15,69.0
2022-04-16,72.0
2022-04-17,72.0
2022-04-18,75.0
2022-04-19,79.0
2022-04-20,74.0
2022-04-21,77.0
2022-04-22,76.0
2022-04-23,76.0
2022-04-24,80.0
2022-04-25,77.0
2022-04-26,79.0
2022-04-27,77.0
2022-04-28,76.0
2022-04-29,73.0
2022-04-30,78.0
2022-05-01,82.0
2022-05-02,82.0
2022-05-03,77.0
2022-05-04,78.0
2022-05-05,75.0
2022-05-06,67.0
2022-05-07,78.0
2022-05-08,78.0
2022-05-09,69.0
2022-05-10,72.0
2022-05-11,70.0
2022-05-12,69.0
2022-05-13,66.0
2022-05-14,74.0
2022-05-15,72.0
2022-05-16,70.0
2022-05-17,71.0
2022-05-18,70.0
2022-05-19,69.0
2022-05-20,70.0
2022-05-21,73.0
2022-05-22,73.0
2022-05-23,71.0
2022-05-24,76.0
2022-05-25,67.0
2022-05-26,66.0
2022-05-27,67.0
2022-05-28,69.0
2022-05-29,72.0
2022-05-30,74.0
2022-05-31,72.0
2022-06-01,70.0
2022-06-02,69.0
2022-06-03,67.0
2022-06-04,73.0
2022-06-05,74.0
2022-06-06,73.0
2022-06-07,77.0
2022-06-08,76.0
2022-06-09,71.0
2022-06-10,72.0
2022-06-11,72.0
2022-06-12,78.0
2022-06-13,73.0
2022-06-14,74.0
2022-06-15,70.0
2022-06-16,71.0
2022-06-17,67.0
2022-06-18,68.0
2022-06-19,71.0
2022-06-20,69.0
2022-06-21,72.0
2022-06-22,69.0
2022-06-23,70.0
2022-06-24,68.0
2022-06-25,67.0
2022-06-26,73.0
2022-06-27,73.0
2022-06-28,71.0
2022-06-29,72.0
2022-06-30,67.0
2022-07-01,67.0
2022-07-02,68.0
2022-07-03,70.0
2022-07-04,71.0
2022-07-05,72.0
2022-07-06,71.0
2022-07-07,75.0
2022-07-08,73.0
2022-07-09,74.0
2022-07-10,79.0
2022-07-11,75.0
2022-07-12,75.0
2022-07-13,74.0
2022-07-14,76.0
2022-07-15,71.0
2022-07-16,73.0
2022-07-17,80.0
2022-07-18,77.0
2022-07-19,77.0
2022-07-20,73.0
2022-07-21,75.0
2022-07-22,71.0
2022-07-23,72.0
2022-07-24,77.0
2022-07-25,77.0
2022-07-26,79.0
2022-07-27,77.0
2022-07-28,75.0
2022-07-29,74.0
2022-07-30,72.0
2022-07-31,85.0
2022-08-01,79.0
2022-08-02,76.0
2022-08-03,78.0
2022-08-04,76.0
2022-08-05,75.0
2022-08-06,73.0
2022-08-07,84.0
2022-08-08,81.0
2022-08-09,79.0
2022-08-10,77.0
2022-08-11,76.0
2022-08-12,74.0
2022-08-13,73.0
2022-08-14,79.0
2022-08-15,78.0
2022-08-16,80.0
2022-08-17,74.0
2022-08-18,72.0
2022-08-19,73.0
2022-08-20,76.0
2022-08-21,83.0
2022-08-22,77.0
2022-08-23,81.0
2022-08-24,73.0
2022-08-25,76.0
2022-08-26,71.0
2022-08-27,80.0
2022-08-28,83.0
2022-08-29,68.5
2022-08-30,70.5
2022-08-31,68.5
2022-09-01,68.5
2022-09-02,65.0
2022-09-03,66.5
2022-09-04,75.0
2022-09-05,79.5
2022-09-06,72.5
2022-09-07,68.5
2022-09-08,66.0
2022-09-09,62.0
2022-09-10,70.0
2022-09-11,75.5
2022-09-12,74.0
2022-09-13,66.5
2022-09-14,69.5
2022-09-15,69.5
2022-09-16,64.0
2022-09-17,66.0
2022-09-18,72.0
2022-09-19,71.0
2022-09-20,69.5
2022-09-21,68.5
2022-09-22,68.0
2022-09-23,65.5
2022-09-24,69.5
2022-09-25,74.0
2022-09-26,73.0
2022-09-27,73.0
2022-09-28,61.0
2022-09-29,60.0
2022-09-30,57.0
2022-10-01,63.0
2022-10-02,68.0
2022-10-03,64.0
2022-10-04,65.0
2022-10-05,62.0
2022-10-06,62.0
2022-10-07,61.0
2022-10-08,63.0
2022-10-09,67.0
2022-10-10,66.0
2022-10-11,64.0
2022-10-12,60.0
2022-10-13,63.0
2022-10-14,66.0
2022-10-15,63.0
2022-10-16,66.0
2022-10-17,64.0
2022-10-18,64.0
2022-10-19,63.0
2022-10-20,60.0
2022-10-21,59.0
2022-10-22,62.0
2022-10-23,66.0
2022-10-24,61.0
2022-10-25,62.0
2022-10-26,60.0
2022-10-27,59.0
2022-10-28,55.0
2022-10-29,58.0
2022-10-30,63.0
2022-10-31,59.0
2022-11-01,60.0
2022-11-02,65.0
2022-11-03,65.0
2022-11-04,64.0
2022-11-05,71.0
2022-11-06,72.0
2022-11-07,68.0
2022-11-08,66.0
2022-11-09,61.0
2022-11-10,64.0
2022-11-11,72.0
