Time,quizizz
2022-01-01,1.0
2022-01-02,2.0
2022-01-03,9.0
2022-01-04,20.0
2022-01-05,25.0
2022-01-06,23.0
2022-01-07,29.0
2022-01-08,3.0
2022-01-09,2.0
2022-01-10,25.0
2022-01-11,33.0
2022-01-12,28.0
2022-01-13,34.0
2022-01-14,27.0
2022-01-15,4.0
2022-01-16,3.0
2022-01-17,4.0
2022-01-18,27.0
2022-01-19,32.0
2022-01-20,35.0
2022-01-21,33.0
2022-01-22,4.0
2022-01-23,4.0
2022-01-24,28.0
2022-01-25,28.0
2022-01-26,29.0
2022-01-27,36.0
2022-01-28,37.0
2022-01-29,4.0
2022-01-30,3.0
2022-01-31,32.0
2022-02-01,33.0
2022-02-02,31.0
2022-02-03,32.0
2022-02-04,26.0
2022-02-05,4.0
2022-02-06,4.0
2022-02-07,30.0
2022-02-08,37.0
2022-02-09,35.0
2022-02-10,35.0
2022-02-11,38.0
2022-02-12,4.0
2022-02-13,4.0
2022-02-14,27.0
2022-02-15,34.0
2022-02-16,36.0
2022-02-17,36.0
2022-02-18,27.0
2022-02-19,4.0
2022-02-20,3.0
2022-02-21,9.0
2022-02-22,28.0
2022-02-23,29.0
2022-02-24,31.0
2022-02-25,32.0
2022-02-26,6.0
2022-02-27,4.0
2022-02-28,30.0
2022-03-01,34.0
2022-03-02,34.0
2022-03-03,33.0
2022-03-04,33.0
2022-03-05,4.0
2022-03-06,3.0
2022-03-07,28.0
2022-03-08,29.0
2022-03-09,30.0
2022-03-10,33.0
2022-03-11,21.0
2022-03-12,4.0
2022-03-13,3.0
2022-03-14,17.0
2022-03-15,19.0
2022-03-16,19.0
2022-03-17,19.0
2022-03-18,16.0
2022-03-19,4.0
2022-03-20,3.0
2022-03-21,24.0
2022-03-22,28.0
2022-03-23,29.0
2022-03-24,33.0
2022-03-25,86.0
2022-03-26,5.0
2022-03-27,5.0
2022-03-28,81.0
2022-03-29,89.0
2022-03-30,31.0
2022-03-31,90.0
2022-04-01,88.0
2022-04-02,5.0
2022-04-03,5.0
2022-04-04,71.0
2022-04-05,68.0
2022-04-06,79.0
2022-04-07,78.0
2022-04-08,87.0
2022-04-09,5.0
2022-04-10,6.0
2022-04-11,82.0
2022-04-12,81.0
2022-04-13,84.0
2022-04-14,79.0
2022-04-15,28.0
2022-04-16,3.0
2022-04-17,4.0
2022-04-18,57.0
2022-04-19,70.0
2022-04-20,78.0
2022-04-21,82.0
2022-04-22,79.0
2022-04-23,6.0
2022-04-24,5.0
2022-04-25,100.0
2022-04-26,86.0
2022-04-27,82.0
2022-04-28,94.0
2022-04-29,84.0
2022-04-30,7.0
2022-05-01,6.0
2022-05-02,85.0
2022-05-03,78.0
2022-05-04,86.0
2022-05-05,85.0
2022-05-06,86.0
2022-05-07,6.0
2022-05-08,6.0
2022-05-09,88.0
2022-05-10,69.0
2022-05-11,71.0
2022-05-12,82.0
2022-05-13,79.0
2022-05-14,4.0
2022-05-15,5.0
2022-05-16,75.0
2022-05-17,72.0
2022-05-18,71.0
2022-05-19,71.0
2022-05-20,59.0
2022-05-21,3.0
2022-05-22,5.0
2022-05-23,58.0
2022-05-24,51.0
2022-05-25,45.0
2022-05-26,38.0
2022-05-27,25.0
2022-05-28,3.0
2022-05-29,3.0
2022-05-30,3.0
2022-05-31,27.0
2022-06-01,24.0
2022-06-02,23.0
2022-06-03,17.0
2022-06-04,2.0
2022-06-05,4.0
2022-06-06,21.0
2022-06-07,21.0
2022-06-08,21.0
2022-06-09,18.0
2022-06-10,14.0
2022-06-11,2.0
2022-06-12,2.0
2022-06-13,16.0
2022-06-14,19.0
2022-06-15,16.0
2022-06-16,15.0
2022-06-17,8.0
2022-06-18,2.0
