Time,tiempo
2022-01-01,57.0
2022-01-02,67.0
2022-01-03,87.0
2022-01-04,71.0
2022-01-05,72.0
2022-01-06,63.0
2022-01-07,80.0
2022-01-08,64.0
2022-01-09,63.0
2022-01-10,55.0
2022-01-11,53.0
2022-01-12,55.0
2022-01-13,65.0
2022-01-14,50.0
2022-01-15,71.0
2022-01-16,79.0
2022-01-17,69.0
2022-01-18,53.0
2022-01-19,65.0
2022-01-20,89.0
2022-01-21,77.0
2022-01-22,66.0
2022-01-23,57.0
2022-01-24,74.0
2022-01-25,52.0
2022-01-26,56.0
2022-01-27,61.0
2022-01-28,86.0
2022-01-29,82.0
2022-01-30,63.0
2022-01-31,70.0
2022-02-01,70.0
2022-02-02,84.0
2022-02-03,100.0
2022-02-04,88.0
2022-02-05,65.0
2022-02-06,57.0
2022-02-07,67.0
2022-02-08,48.0
2022-02-09,49.0
2022-02-10,44.0
2022-02-11,52.0
2022-02-12,64.0
2022-02-13,64.0
2022-02-14,49.0
2022-02-15,55.0
2022-02-16,58.0
2022-02-17,71.0
2022-02-18,62.0
2022-02-19,54.0
2022-02-20,51.0
2022-02-21,67.0
2022-02-22,83.0
2022-02-23,85.0
2022-02-24,78.0
2022-02-25,71.0
2022-02-26,58.0
2022-02-27,51.0
2022-02-28,50.0
2022-03-01,46.0
2022-03-02,47.0
2022-03-03,50.0
2022-03-04,54.0
2022-03-05,54.0
2022-03-06,61.0
2022-03-07,74.0
2022-03-08,74.0
2022-03-09,74.0
2022-03-10,62.0
2022-03-11,79.0
2022-03-12,77.0
2022-03-13,57.0
2022-03-14,56.0
2022-03-15,61.0
2022-03-16,64.0
2022-03-17,64.0
2022-03-18,63.0
2022-03-19,63.0
2022-03-20,52.0
2022-03-21,66.0
2022-03-22,63.0
2022-03-23,66.0
2022-03-24,62.0
2022-03-25,45.0
2022-03-26,50.0
2022-03-27,45.0
2022-03-28,60.0
2022-03-29,53.0
2022-03-30,66.0
2022-03-31,62.0
2022-04-01,50.0
2022-04-02,53.0
2022-04-03,53.0
2022-04-04,56.0
2022-04-05,64.0
2022-04-06,62.0
2022-04-07,63.0
2022-04-08,53.0
2022-04-09,54.0
2022-04-10,49.0
2022-04-11,67.0
2022-04-12,71.0
2022-04-13,68.0
2022-04-14,63.0
2022-04-15,55.0
2022-04-16,66.0
2022-04-17,59.0
2022-04-18,62.0
2022-04-19,53.0
2022-04-20,52.0
2022-04-21,52.0
2022-04-22,51.0
2022-04-23,45.0
2022-04-24,48.0
2022-04-25,61.0
2022-04-26,57.0
2022-04-27,40.0
2022-04-28,44.0
2022-04-29,44.0
2022-04-30,51.0
2022-05-01,53.0
2022-05-02,61.0
2022-05-03,52.0
2022-05-04,61.0
2022-05-05,58.0
2022-05-06,71.0
2022-05-07,54.0
2022-05-08,49.0
2022-05-09,43.0
2022-05-10,39.0
2022-05-11,35.0
2022-05-12,49.0
2022-05-13,56.0
2022-05-14,60.0
2022-05-15,53.0
2022-05-16,56.0
