Time,hurricane tracker
2023-12-22,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,0
2023-12-31,0
2024-01-01,0
2024-01-02,0
2024-01-03,0
2024-01-04,0
2024-01-05,0
2024-01-06,0
2024-01-07,0
2024-01-08,0
2024-01-09,1
2024-01-10,0
2024-01-11,0
2024-01-12,0
2024-01-13,0
2024-01-14,0
2024-01-15,0
2024-01-16,0
2024-01-17,0
2024-01-18,0
2024-01-19,0
2024-01-20,0
2024-01-21,0
2024-01-22,0
2024-01-23,0
2024-01-24,0
2024-01-25,0
2024-01-26,0
2024-01-27,0
2024-01-28,0
2024-01-29,0
2024-01-30,0
2024-01-31,0
2024-02-01,0
2024-02-02,0
2024-02-03,0
2024-02-04,0
2024-02-05,0
2024-02-06,0
2024-02-07,0
2024-02-08,0
2024-02-09,0
2024-02-10,0
2024-02-11,0
2024-02-12,0
2024-02-13,0
2024-02-14,0
2024-02-15,0
2024-02-16,0
2024-02-17,0
2024-02-18,0
2024-02-19,0
2024-02-20,0
2024-02-21,0
2024-02-22,0
2024-02-23,0
2024-02-24,0
2024-02-25,0
2024-02-26,0
2024-02-27,0
2024-02-28,0
2024-02-29,0
2024-03-01,0
2024-03-02,0
2024-03-03,0
2024-03-04,0
2024-03-05,0
2024-03-06,0
2024-03-07,0
2024-03-08,0
2024-03-09,0
2024-03-10,0
2024-03-11,0
2024-03-12,0
2024-03-13,0
2024-03-14,0
2024-03-15,0
2024-03-16,0
2024-03-17,0
2024-03-18,0
2024-03-19,0
2024-03-20,0
2024-03-21,0
2024-03-22,0
2024-03-23,0
2024-03-24,0
2024-03-25,0
2024-03-26,0
2024-03-27,0
2024-03-28,0
2024-03-29,0
2024-03-30,0
2024-03-31,0
2024-04-01,0
2024-04-02,0
2024-04-03,0
2024-04-04,0
2024-04-05,0
2024-04-06,0
2024-04-07,0
2024-04-08,0
2024-04-09,0
2024-04-10,0
2024-04-11,0
2024-04-12,0
2024-04-13,0
2024-04-14,0
2024-04-15,0
2024-04-16,0
2024-04-17,0
2024-04-18,0
2024-04-19,0
2024-04-20,0
2024-04-21,0
2024-04-22,0
2024-04-23,0
2024-04-24,0
2024-04-25,0
2024-04-26,0
2024-04-27,0
2024-04-28,0
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,0
2024-05-15,0
2024-05-16,0
2024-05-17,0
2024-05-18,0
2024-05-19,0
2024-05-20,0
2024-05-21,0
2024-05-22,0
2024-05-23,0
2024-05-24,0
2024-05-25,0
2024-05-26,0
2024-05-27,0
2024-05-28,0
2024-05-29,0
2024-05-30,0
2024-05-31,0
2024-06-01,1
2024-06-02,1
2024-06-03,1
2024-06-04,0
2024-06-05,1
2024-06-06,1
2024-06-07,1
2024-06-08,1
2024-06-09,1
2024-06-10,1
2024-06-11,1
2024-06-12,1
2024-06-13,2
2024-06-14,1
2024-06-15,1
2024-06-16,1
2024-06-17,3
2024-06-18,3
2024-06-19,4
2024-06-20,3
2024-06-21,2
2024-06-22,1
2024-06-23,1
2024-06-24,1
2024-06-25,1
2024-06-26,1
2024-06-27,1
2024-06-28,3
2024-06-29,8
2024-06-30,21
2024-07-01,28
2024-07-02,59
2024-07-03,81
2024-07-04,55
2024-07-05,59
2024-07-06,76
2024-07-07,82
2024-07-08,100
2024-07-09,28
2024-07-10,18
2024-07-11,12
2024-07-12,7
2024-07-13,4
2024-07-14,3
2024-07-15,3
2024-07-16,2
2024-07-17,2
2024-07-18,2
2024-07-19,1
2024-07-20,2
2024-07-21,2
2024-07-22,2
2024-07-23,1
2024-07-24,2
2024-07-25,2
2024-07-26,2
2024-07-27,2
2024-07-28,4
2024-07-29,6
2024-07-30,7
2024-07-31,7
2024-08-01,12
2024-08-02,20
2024-08-03,21
2024-08-04,30
2024-08-05,34
2024-08-06,18
2024-08-07,13
2024-08-08,11
2024-08-09,7
2024-08-10,5
2024-08-11,7
2024-08-12,6
2024-08-13,5
2024-08-14,4
2024-08-15,3
2024-08-16,3
2024-08-17,3
2024-08-18,3
2024-08-19,3
2024-08-20,2
2024-08-21,2
2024-08-22,2
2024-08-23,2
2024-08-24,3
2024-08-25,4
2024-08-26,4
2024-08-27,3
2024-08-28,3
2024-08-29,3
2024-08-30,3
2024-08-31,3
2024-09-01,4
2024-09-02,3
2024-09-03,3
2024-09-04,3
2024-09-05,3
2024-09-06,3
2024-09-07,3
2024-09-08,7
2024-09-09,23
2024-09-10,27
2024-09-11,25
2024-09-12,13
2024-09-13,4
2024-09-14,3
2024-09-15,3
2024-09-16,4
