Time,google_finance
2022-01-01,19.0
2022-01-02,16.0
2022-01-03,60.0
2022-01-04,88.0
2022-01-05,78.0
2022-01-06,62.0
2022-01-07,71.0
2022-01-08,24.0
2022-01-09,17.0
2022-01-10,52.0
2022-01-11,60.0
2022-01-12,63.0
2022-01-13,65.0
2022-01-14,56.0
2022-01-15,22.0
2022-01-16,16.0
2022-01-17,29.0
2022-01-18,62.0
2022-01-19,66.0
2022-01-20,66.0
2022-01-21,75.0
2022-01-22,27.0
2022-01-23,16.0
2022-01-24,100.0
2022-01-25,76.0
2022-01-26,77.0
2022-01-27,76.0
2022-01-28,83.0
2022-01-29,32.0
2022-01-30,21.0
2022-01-31,77.0
2022-02-01,82.0
2022-02-02,82.0
2022-02-03,81.0
2022-02-04,85.0
2022-02-05,29.0
2022-02-06,21.0
2022-02-07,67.0
2022-02-08,60.0
2022-02-09,60.0
2022-02-10,70.0
2022-02-11,78.0
2022-02-12,28.0
2022-02-13,19.0
2022-02-14,64.0
2022-02-15,75.0
2022-02-16,71.0
2022-02-17,71.0
2022-02-18,71.0
2022-02-19,25.0
2022-02-20,18.0
2022-02-21,37.0
2022-02-22,73.0
2022-02-23,75.0
2022-02-24,93.0
2022-02-25,82.0
2022-02-26,29.0
2022-02-27,20.0
2022-02-28,75.0
2022-03-01,76.0
2022-03-02,74.0
2022-03-03,72.0
2022-03-04,71.0
2022-03-05,28.0
2022-03-06,20.0
2022-03-07,76.0
2022-03-08,82.0
2022-03-09,76.0
2022-03-10,78.0
2022-03-11,75.0
2022-03-12,28.0
2022-03-13,18.0
2022-03-14,68.0
2022-03-15,69.0
2022-03-16,77.0
2022-03-17,79.0
2022-03-18,78.0
2022-03-19,26.0
2022-03-20,18.0
2022-03-21,68.0
2022-03-22,72.0
2022-03-23,71.0
2022-03-24,71.0
2022-03-25,70.0
2022-03-26,26.0
2022-03-27,20.0
2022-03-28,67.0
2022-03-29,72.0
2022-03-30,71.0
2022-03-31,69.0
2022-04-01,66.0
2022-04-02,27.0
2022-04-03,20.0
2022-04-04,65.0
2022-04-05,68.0
2022-04-06,66.0
2022-04-07,71.0
2022-04-08,65.0
2022-04-09,23.0
2022-04-10,18.0
2022-04-11,70.0
2022-04-12,72.0
2022-04-13,71.0
2022-04-14,70.0
2022-04-15,48.0
2022-04-16,22.0
2022-04-17,17.0
2022-04-18,61.0
2022-04-19,65.0
2022-04-20,69.0
2022-04-21,69.0
2022-04-22,67.0
2022-04-23,29.0
2022-04-24,18.0
2022-04-25,79.0
2022-04-26,77.0
2022-04-27,77.0
2022-04-28,77.0
2022-04-29,71.0
2022-04-30,27.0
2022-05-01,20.0
2022-05-02,67.0
2022-05-03,68.0
2022-05-04,76.0
2022-05-05,85.0
2022-05-06,88.0
2022-05-07,27.0
2022-05-08,19.0
2022-05-09,77.0
2022-05-10,84.0
2022-05-11,77.0
2022-05-12,96.0
2022-05-13,83.0
2022-05-14,32.0
2022-05-15,22.0
2022-05-16,76.0
2022-05-17,83.0
2022-05-18,87.0
2022-05-19,97.0
2022-05-20,86.0
2022-05-21,30.0
2022-05-22,22.0
2022-05-23,76.0
2022-05-24,87.0
2022-05-25,85.0
2022-05-26,87.0
2022-05-27,82.0
2022-05-28,29.0
2022-05-29,20.0
2022-05-30,25.0
2022-05-31,78.0
2022-06-01,78.0
2022-06-02,76.0
2022-06-03,76.0
2022-06-04,27.0
2022-06-05,22.0
2022-06-06,77.0
2022-06-07,76.0
2022-06-08,77.0
2022-06-09,77.0
2022-06-10,81.0
2022-06-11,28.0
2022-06-12,20.0
2022-06-13,92.0
2022-06-14,89.0
2022-06-15,91.0
2022-06-16,94.0
2022-06-17,87.0
2022-06-18,30.0
2022-06-19,22.0
2022-06-20,51.0
2022-06-21,83.0
2022-06-22,86.0
2022-06-23,81.0
2022-06-24,80.0
2022-06-25,29.0
2022-06-26,20.0
2022-06-27,77.0
2022-06-28,78.0
2022-06-29,79.0
2022-06-30,77.0
2022-07-01,75.0
2022-07-02,27.0
2022-07-03,19.0
2022-07-04,24.0
2022-07-05,76.0
2022-07-06,74.0
2022-07-07,76.0
2022-07-08,76.0
2022-07-09,26.0
2022-07-10,18.0
2022-07-11,69.0
2022-07-12,73.0
2022-07-13,75.0
2022-07-14,77.0
2022-07-15,74.0
2022-07-16,24.0
2022-07-17,21.0
2022-07-18,74.0
2022-07-19,81.0
2022-07-20,88.0
2022-07-21,79.0
2022-07-22,81.0
2022-07-23,27.0
2022-07-24,19.0
2022-07-25,73.0
2022-07-26,80.0
2022-07-27,84.0
2022-07-28,86.0
2022-07-29,87.0
2022-07-30,28.0
2022-07-31,21.0
2022-08-01,75.0
2022-08-02,82.0
2022-08-03,85.0
2022-08-04,94.0
2022-08-05,82.0
2022-08-06,28.0
2022-08-07,22.0
2022-08-08,79.0
2022-08-09,81.0
2022-08-10,83.0
2022-08-11,83.0
2022-08-12,81.0
2022-08-13,27.0
2022-08-14,21.0
2022-08-15,86.0
2022-08-16,86.0
2022-08-17,83.0
2022-08-18,80.0
2022-08-19,76.0
2022-08-20,26.0
2022-08-21,19.0
2022-08-22,70.0
2022-08-23,78.0
2022-08-24,79.0
