Time,giants
2022-01-01,6.0
2022-01-02,22.0
2022-01-03,9.0
2022-01-04,7.0
2022-01-05,6.0
2022-01-06,4.0
2022-01-07,5.0
2022-01-08,6.0
2022-01-09,22.0
2022-01-10,15.0
2022-01-11,9.0
2022-01-12,10.0
2022-01-13,8.0
2022-01-14,5.0
2022-01-15,6.0
2022-01-16,8.0
2022-01-17,7.0
2022-01-18,6.0
2022-01-19,6.0
2022-01-20,6.0
2022-01-21,8.0
2022-01-22,8.0
2022-01-23,8.0
2022-01-24,8.0
2022-01-25,6.0
2022-01-26,7.0
2022-01-27,6.0
2022-01-28,7.0
2022-01-29,9.0
2022-01-30,7.0
2022-01-31,9.0
2022-02-01,7.0
2022-02-02,8.0
2022-02-03,7.0
2022-02-04,6.0
2022-02-05,6.0
2022-02-06,6.0
2022-02-07,6.0
2022-02-08,6.0
2022-02-09,5.0
2022-02-10,4.0
2022-02-11,5.0
2022-02-12,5.0
2022-02-13,7.0
2022-02-14,8.0
2022-02-15,5.0
2022-02-16,5.0
2022-02-17,4.0
2022-02-18,4.0
2022-02-19,5.0
2022-02-20,4.0
2022-02-21,4.0
2022-02-22,4.0
2022-02-23,4.0
2022-02-24,4.0
2022-02-25,4.0
2022-02-26,4.0
2022-02-27,5.0
2022-02-28,4.0
2022-03-01,5.0
2022-03-02,5.0
2022-03-03,5.0
2022-03-04,5.0
2022-03-05,6.0
2022-03-06,6.0
2022-03-07,5.0
2022-03-08,6.0
2022-03-09,6.0
2022-03-10,7.0
2022-03-11,8.0
2022-03-12,8.0
2022-03-13,8.0
2022-03-14,9.0
2022-03-15,9.0
2022-03-16,9.0
2022-03-17,9.0
2022-03-18,8.0
2022-03-19,10.0
2022-03-20,9.0
2022-03-21,8.0
2022-03-22,8.0
2022-03-23,7.0
2022-03-24,7.0
2022-03-25,7.0
2022-03-26,7.0
2022-03-27,7.0
2022-03-28,6.0
2022-03-29,7.0
2022-03-30,6.0
2022-03-31,6.0
