Time,macys
2022-01-01,99.0
2022-01-02,100.0
2022-01-03,82.0
2022-01-04,82.0
2022-01-05,77.0
2022-01-06,63.0
2022-01-07,77.0
2022-01-08,94.0
2022-01-09,94.0
2022-01-10,71.0
2022-01-11,71.0
2022-01-12,65.0
2022-01-13,58.0
2022-01-14,53.0
2022-01-15,78.0
2022-01-16,73.0
2022-01-17,66.0
2022-01-18,56.0
2022-01-19,64.0
2022-01-20,64.0
2022-01-21,63.0
2022-01-22,73.0
2022-01-23,73.0
2022-01-24,75.0
2022-01-25,52.0
2022-01-26,57.0
2022-01-27,57.0
2022-01-28,64.0
2022-01-29,79.0
2022-01-30,75.0
2022-01-31,65.0
2022-02-01,67.0
2022-02-02,64.0
2022-02-03,66.0
2022-02-04,75.0
2022-02-05,88.0
2022-02-06,94.0
2022-02-07,67.0
2022-02-08,64.0
2022-02-09,69.0
2022-02-10,55.0
2022-02-11,72.0
2022-02-12,84.0
2022-02-13,77.0
2022-02-14,61.0
2022-02-15,60.0
2022-02-16,61.0
2022-02-17,61.0
2022-02-18,63.0
2022-02-19,81.0
2022-02-20,84.0
2022-02-21,78.0
2022-02-22,63.0
2022-02-23,59.0
2022-02-24,54.0
2022-02-25,61.0
2022-02-26,67.0
2022-02-27,73.0
2022-02-28,58.0
2022-03-01,57.0
2022-03-02,57.0
2022-03-03,61.0
2022-03-04,61.0
2022-03-05,72.0
2022-03-06,76.0
2022-03-07,60.0
2022-03-08,55.0
2022-03-09,56.0
2022-03-10,57.0
2022-03-11,63.0
2022-03-12,77.0
2022-03-13,81.0
2022-03-14,62.0
2022-03-15,60.0
2022-03-16,59.0
2022-03-17,57.0
2022-03-18,58.0
2022-03-19,73.0
2022-03-20,80.0
2022-03-21,61.0
2022-03-22,60.0
2022-03-23,61.0
2022-03-24,58.0
2022-03-25,57.0
2022-03-26,74.0
2022-03-27,80.0
2022-03-28,54.0
2022-03-29,54.0
2022-03-30,61.0
2022-03-31,57.0
2022-04-01,63.0
2022-04-02,77.0
2022-04-03,83.0
2022-04-04,62.0
2022-04-05,57.0
2022-04-06,59.0
2022-04-07,64.0
2022-04-08,64.0
2022-04-09,80.0
2022-04-10,80.0
2022-04-11,65.0
2022-04-12,59.0
2022-04-13,56.0
2022-04-14,61.0
2022-04-15,64.0
2022-04-16,72.0
