Time,paypal
2022-01-01,56.0
2022-01-02,62.0
2022-01-03,80.0
2022-01-04,91.0
2022-01-05,83.0
2022-01-06,63.0
2022-01-07,75.0
2022-01-08,70.0
2022-01-09,62.0
2022-01-10,71.0
2022-01-11,74.0
2022-01-12,71.0
2022-01-13,84.0
2022-01-14,67.0
2022-01-15,65.0
2022-01-16,51.0
2022-01-17,61.0
2022-01-18,66.0
2022-01-19,71.0
2022-01-20,68.0
2022-01-21,70.0
2022-01-22,61.0
2022-01-23,56.0
2022-01-24,76.0
2022-01-25,65.0
2022-01-26,62.0
2022-01-27,67.0
2022-01-28,77.0
2022-01-29,70.0
2022-01-30,60.0
2022-01-31,74.0
2022-02-01,89.0
2022-02-02,100.0
2022-02-03,87.0
2022-02-04,82.0
2022-02-05,67.0
2022-02-06,61.0
2022-02-07,75.0
2022-02-08,75.0
2022-02-09,66.0
2022-02-10,62.0
2022-02-11,76.0
2022-02-12,63.0
2022-02-13,58.0
2022-02-14,67.0
2022-02-15,75.0
2022-02-16,78.0
2022-02-17,71.0
2022-02-18,75.0
2022-02-19,62.0
2022-02-20,56.0
2022-02-21,66.0
2022-02-22,75.0
2022-02-23,73.0
2022-02-24,72.0
2022-02-25,74.0
2022-02-26,66.0
2022-02-27,60.0
2022-02-28,75.0
2022-03-01,80.0
2022-03-02,74.0
2022-03-03,72.0
2022-03-04,77.0
2022-03-05,66.0
2022-03-06,58.0
2022-03-07,72.0
2022-03-08,80.0
2022-03-09,76.0
2022-03-10,74.0
2022-03-11,72.0
2022-03-12,67.0
2022-03-13,56.0
2022-03-14,75.0
2022-03-15,73.0
2022-03-16,71.0
2022-03-17,71.0
2022-03-18,73.0
2022-03-19,63.0
2022-03-20,58.0
2022-03-21,70.0
2022-03-22,75.0
2022-03-23,71.0
2022-03-24,70.0
2022-03-25,69.0
2022-03-26,60.0
2022-03-27,60.0
2022-03-28,65.0
2022-03-29,67.0
2022-03-30,72.0
2022-03-31,67.0
2022-04-01,74.0
2022-04-02,68.0
2022-04-03,61.0
2022-04-04,68.0
2022-04-05,74.0
2022-04-06,71.0
2022-04-07,69.0
2022-04-08,71.0
2022-04-09,62.0
2022-04-10,57.0
2022-04-11,67.0
2022-04-12,69.0
2022-04-13,70.0
2022-04-14,73.0
2022-04-15,70.0
2022-04-16,60.0
2022-04-17,55.0
2022-04-18,70.0
2022-04-19,66.0
2022-04-20,76.0
2022-04-21,66.0
2022-04-22,71.0
2022-04-23,63.0
2022-04-24,56.0
2022-04-25,69.0
2022-04-26,74.0
2022-04-27,73.0
2022-04-28,74.0
2022-04-29,71.0
2022-04-30,64.0
2022-05-01,61.0
2022-05-02,68.0
2022-05-03,68.0
2022-05-04,69.0
2022-05-05,68.0
2022-05-06,71.0
2022-05-07,61.0
2022-05-08,54.0
2022-05-09,66.0
2022-05-10,67.0
2022-05-11,67.0
2022-05-12,70.0
2022-05-13,74.0
2022-05-14,65.0
2022-05-15,58.0
2022-05-16,68.0
2022-05-17,70.0
2022-05-18,70.0
2022-05-19,71.0
2022-05-20,75.0
2022-05-21,60.0
2022-05-22,53.0
2022-05-23,67.0
2022-05-24,64.0
2022-05-25,67.0
2022-05-26,65.0
2022-05-27,70.0
2022-05-28,58.0
2022-05-29,55.0
2022-05-30,58.0
2022-05-31,73.0
2022-06-01,72.0
2022-06-02,71.0
2022-06-03,72.0
2022-06-04,63.0
2022-06-05,56.0
2022-06-06,67.0
2022-06-07,69.0
2022-06-08,70.0
2022-06-09,68.0
2022-06-10,70.0
2022-06-11,58.0
2022-06-12,57.0
2022-06-13,68.0
2022-06-14,67.0
2022-06-15,70.0
2022-06-16,68.0
2022-06-17,68.0
2022-06-18,60.0
2022-06-19,52.0
2022-06-20,63.0
2022-06-21,67.0
2022-06-22,68.0
2022-06-23,70.0
2022-06-24,69.0
2022-06-25,59.0
2022-06-26,54.0
2022-06-27,65.0
2022-06-28,70.0
2022-06-29,68.0
2022-06-30,72.0
2022-07-01,81.0
2022-07-02,64.0
2022-07-03,56.0
2022-07-04,56.0
2022-07-05,70.0
2022-07-06,70.0
2022-07-07,73.0
2022-07-08,71.0
2022-07-09,60.0
2022-07-10,54.0
2022-07-11,70.0
2022-07-12,74.0
2022-07-13,74.0
2022-07-14,73.0
2022-07-15,76.0
2022-07-16,60.0
2022-07-17,54.0
2022-07-18,71.0
2022-07-19,69.0
2022-07-20,68.0
2022-07-21,68.0
2022-07-22,73.0
2022-07-23,60.0
2022-07-24,53.0
2022-07-25,71.0
2022-07-26,72.0
2022-07-27,69.0
2022-07-28,71.0
2022-07-29,75.0
2022-07-30,58.0
2022-07-31,58.0
2022-08-01,77.0
2022-08-02,81.0
2022-08-03,77.0
2022-08-04,73.0
2022-08-05,72.0
2022-08-06,62.0
2022-08-07,57.0
2022-08-08,69.0
2022-08-09,70.0
2022-08-10,68.0
2022-08-11,67.0
2022-08-12,68.0
2022-08-13,59.0
2022-08-14,54.0
2022-08-15,72.0
2022-08-16,70.0
2022-08-17,69.0
2022-08-18,67.0
2022-08-19,68.0
2022-08-20,61.0
2022-08-21,56.0
2022-08-22,61.0
2022-08-23,70.0
2022-08-24,65.0
2022-08-25,66.0
2022-08-26,69.0
2022-08-27,58.0
2022-08-28,53.0
2022-08-29,68.16822995461422
2022-08-30,65.11512859304085
2022-08-31,69.18593040847202
2022-09-01,71.22133131618759
2022-09-02,72.23903177004539
2022-09-03,57.99122541603631
2022-09-04,52.40272314674735
2022-09-05,59.0089258698941
2022-09-06,69.18593040847202
2022-09-07,69.18593040847202
2022-09-08,64.59742813918305
2022-09-09,67.15052950075642
2022-09-10,56.973524962178516
2022-09-11,53.92042360060514
2022-09-12,63.57972768532527
2022-09-13,66.63282904689864
2022-09-14,68.66822995461422
2022-09-15,69.18593040847202
2022-09-16,66.13282904689864
2022-09-17,62.56202723146747
2022-09-18,48.83192133131618
2022-09-19,64.09742813918305
2022-09-20,68.16822995461422
2022-09-21,67.65052950075642
2022-09-22,64.59742813918305
2022-09-23,66.13282904689864
2022-09-24,52.90272314674735
2022-09-25,51.885022692889564
2022-09-26,62.06202723146747
2022-09-27,67.65052950075642
2022-09-28,63.15945537065053
2022-09-29,64.1948562783661
2022-09-30,73.51346444780634
2022-10-01,62.12405446293494
2022-10-02,55.91164901664145
2022-10-03,64.1948562783661
2022-10-04,66.26565809379727
2022-10-05,68.33645990922844
2022-10-06,66.26565809379727
2022-10-07,70.4072617246596
2022-10-08,75.58426626323751
2022-10-09,97.32768532526474
2022-10-10,103.54009077155824
2022-10-11,97.32768532526474
2022-10-12,88.0090771558245
2022-10-13,82.83207261724658
2022-10-14,82.83207261724658
2022-10-15,67.30105900151285
2022-10-16,53.84084720121028
2022-10-17,70.4072617246596
2022-10-18,68.33645990922844
2022-10-19,67.30105900151285
2022-10-20,65.23025718608169
2022-10-21,69.37186081694402
2022-10-22,56.94704992435703
2022-10-23,50.73464447806354
2022-10-24,59.01785173978819
2022-10-25,62.12405446293494
2022-10-26,68.33645990922844
2022-10-27,74.54886535552193
2022-10-28,70.4072617246596
2022-10-29,59.01785173978819
2022-10-30,46.59304084720121
2022-10-31,63.15945537065053
2022-11-01,66.26565809379727
2022-11-02,66.26565809379727
2022-11-03,66.26565809379727
2022-11-04,66.26565809379727
2022-11-05,55.91164901664145
2022-11-06,49.69924357034795
2022-11-07,59.01785173978819
2022-11-08,59.01785173978819
2022-11-09,56.94704992435703
2022-11-10,63.15945537065053
2022-11-11,63.15945537065053
2022-11-12,56.94704992435703
2022-11-13,50.73464447806354
2022-11-14,65.23025718608169
2022-11-15,66.26565809379727
2022-11-16,66.26565809379727
2022-11-17,64.1948562783661
2022-11-18,67.30105900151285
2022-11-19,60.053252647503776
2022-11-20,49.69924357034795
2022-11-21,61.08865355521936
2022-11-22,68.33645990922844
2022-11-23,66.26565809379727
2022-11-24,49.69924357034795
2022-11-25,67.30105900151285
2022-11-26,59.01785173978819
2022-11-27,59.01785173978819
2022-11-28,68.33645990922844
2022-11-29,68.33645990922844
2022-11-30,71.44266263237519
2022-12-01,75.58426626323751
2022-12-02,70.4072617246596
2022-12-03,64.1948562783661
2022-12-04,55.91164901664145
2022-12-05,66.26565809379727
2022-12-06,70.4072617246596
2022-12-07,66.26565809379727
2022-12-08,68.33645990922844
2022-12-09,68.33645990922844
2022-12-10,57.982450832072615
2022-12-11,52.8054462934947
2022-12-12,66.26565809379727
2022-12-13,67.30105900151285
2022-12-14,72.47806354009076
2022-12-15,69.37186081694402
2022-12-16,73.51346444780634
2022-12-17,63.15945537065053
2022-12-18,54.876248108925864
2022-12-19,69.37186081694402
2022-12-20,68.33645990922844
2022-12-21,66.26565809379727
2022-12-22,68.33645990922844
2022-12-23,63.15945537065053
2022-12-24,50.73464447806354
2022-12-25,41.41603630862329
2022-12-26,55.91164901664145
2022-12-27,63.15945537065053
2022-12-28,64.1948562783661
2022-12-29,64.1948562783661
2022-12-30,64.1948562783661
2022-12-31,54.876248108925864
2023-01-01,47.628441754916786
2023-01-02,59.01785173978819
2023-01-03,61.08865355521936
2023-01-04,64.1948562783661
2023-01-05,64.1948562783661
2023-01-06,63.15945537065053
2023-01-07,55.91164901664145
2023-01-08,50.73464447806354
2023-01-09,61.08865355521936
2023-01-10,62.12405446293494
2023-01-11,64.1948562783661
