Time,easter
2023-04-26,61
2023-04-27,57
2023-04-28,58
2023-04-29,60
2023-04-30,66
2023-05-01,59
2023-05-02,56
2023-05-03,54
2023-05-04,55
2023-05-05,53
2023-05-06,56
2023-05-07,58
2023-05-08,54
2023-05-09,51
2023-05-10,50
2023-05-11,48
2023-05-12,47
2023-05-13,49
2023-05-14,57
2023-05-15,50
2023-05-16,48
2023-05-17,48
2023-05-18,46
2023-05-19,43
2023-05-20,45
2023-05-21,49
2023-05-22,47
2023-05-23,44
2023-05-24,43
2023-05-25,42
2023-05-26,42
2023-05-27,50
2023-05-28,52
2023-05-29,50
2023-05-30,44
2023-05-31,40
2023-06-01,40
2023-06-02,40
2023-06-03,45
2023-06-04,48
2023-06-05,40
2023-06-06,39
2023-06-07,38
2023-06-08,38
2023-06-09,40
2023-06-10,38
2023-06-11,41
2023-06-12,41
2023-06-13,37
2023-06-14,40
2023-06-15,37
2023-06-16,38
2023-06-17,39
2023-06-18,43
2023-06-19,44
2023-06-20,41
2023-06-21,41
2023-06-22,35
2023-06-23,91
2023-06-24,84
2023-06-25,65
2023-06-26,52
2023-06-27,48
2023-06-28,51
2023-06-29,47
2023-06-30,40
2023-07-01,43
2023-07-02,45
2023-07-03,42
2023-07-04,42
2023-07-05,42
2023-07-06,40
2023-07-07,38
2023-07-08,47
2023-07-09,43
2023-07-10,40
2023-07-11,40
2023-07-12,35
2023-07-13,36
2023-07-14,34
2023-07-15,41
2023-07-16,40
2023-07-17,36
2023-07-18,35
2023-07-19,37
2023-07-20,34
2023-07-21,34
2023-07-22,41
2023-07-23,42
2023-07-24,40
2023-07-25,39
2023-07-26,38
2023-07-27,39
2023-07-28,35
2023-07-29,41
2023-07-30,43
2023-07-31,40
2023-08-01,38
2023-08-02,38
2023-08-03,40
2023-08-04,39
2023-08-05,41
2023-08-06,44
2023-08-07,38
2023-08-08,38
2023-08-09,36
2023-08-10,36
2023-08-11,35
2023-08-12,37
2023-08-13,38
2023-08-14,38
2023-08-15,36
2023-08-16,36
2023-08-17,34
2023-08-18,37
2023-08-19,45
2023-08-20,51
2023-08-21,39
2023-08-22,39
2023-08-23,41
2023-08-24,39
2023-08-25,43
2023-08-26,41
2023-08-27,41
2023-08-28,39
2023-08-29,41
2023-08-30,39
2023-08-31,38
2023-09-01,37
2023-09-02,38
2023-09-03,41
2023-09-04,43
2023-09-05,36
2023-09-06,40
2023-09-07,38
2023-09-08,36
2023-09-09,37
2023-09-10,38
2023-09-11,39
2023-09-12,38
2023-09-13,40
2023-09-14,36
2023-09-15,37
2023-09-16,39
2023-09-17,38
2023-09-18,40
2023-09-19,40
2023-09-20,41
2023-09-21,40
2023-09-22,40
2023-09-23,40
2023-09-24,42
2023-09-25,43
2023-09-26,42
2023-09-27,53
2023-09-28,41
2023-09-29,41
2023-09-30,40
2023-10-01,40
2023-10-02,41
2023-10-03,40
2023-10-04,44
2023-10-05,41
2023-10-06,38
2023-10-07,39
2023-10-08,38
2023-10-09,41
2023-10-10,43
2023-10-11,39
2023-10-12,37
2023-10-13,37
2023-10-14,38
2023-10-15,43
2023-10-16,43
2023-10-17,45
2023-10-18,48
2023-10-19,49
2023-10-20,45
2023-10-21,43
2023-10-22,41
2023-10-23,45
2023-10-24,45
2023-10-25,45
2023-10-26,46
2023-10-27,43
2023-10-28,39
2023-10-29,42
2023-10-30,48
2023-10-31,48
2023-11-01,50
2023-11-02,44
2023-11-03,44
2023-11-04,41
2023-11-05,44
2023-11-06,47
2023-11-07,46
2023-11-08,44
2023-11-09,42
2023-11-10,45
2023-11-11,45
2023-11-12,48
2023-11-13,47
2023-11-14,45
2023-11-15,48
2023-11-16,49
2023-11-17,45
2023-11-18,44
2023-11-19,47
2023-11-20,48
2023-11-21,47
2023-11-22,46
2023-11-23,52
2023-11-24,49
2023-11-25,51
2023-11-26,57
2023-11-27,57
2023-11-28,53
2023-11-29,54
2023-11-30,52
2023-12-01,49
2023-12-02,51
2023-12-03,49
2023-12-04,52
2023-12-05,54
2023-12-06,52
2023-12-07,52
2023-12-08,50
2023-12-09,49
2023-12-10,55
2023-12-11,59
2023-12-12,55
2023-12-13,55
2023-12-14,56
2023-12-15,52
2023-12-16,53
2023-12-17,59
2023-12-18,58
2023-12-19,58
2023-12-20,58
2023-12-21,55
2023-12-22,53
2023-12-23,59
2023-12-24,64
2023-12-25,82
2023-12-26,80
2023-12-27,76
2023-12-28,76
2023-12-29,76
2023-12-30,79
2023-12-31,75
2024-01-01,100
2024-01-02,99
2024-01-03,90
2024-01-04,95
2024-01-05,85
2024-01-06,87
2024-01-07,92
2024-01-08,93
2024-01-09,78
2024-01-10,88
2024-01-11,86
2024-01-12,79
2024-01-13,85
2024-01-14,85
2024-01-15,89
2024-01-16,86
2024-01-17,92
2024-01-18,81
2024-01-19,87
2024-01-20,87
