Time,fidelity login
2022-01-01,39
2022-01-02,30
2022-01-03,78
2022-01-04,100
2022-01-05,82
2022-01-06,61
2022-01-07,66
2022-01-08,34
2022-01-09,24
2022-01-10,56
2022-01-11,67
2022-01-12,65
2022-01-13,74
2022-01-14,53
2022-01-15,33
2022-01-16,21
2022-01-17,30
2022-01-18,56
2022-01-19,63
2022-01-20,61
2022-01-21,66
2022-01-22,35
2022-01-23,24
2022-01-24,81
2022-01-25,70
2022-01-26,63
2022-01-27,64
2022-01-28,69
2022-01-29,43
2022-01-30,30
2022-01-31,70
2022-02-01,86
2022-02-02,81
2022-02-03,75
2022-02-04,78
2022-02-05,44
2022-02-06,29
2022-02-07,64
2022-02-08,69
2022-02-09,72
2022-02-10,63
2022-02-11,64
2022-02-12,39
2022-02-13,26
2022-02-14,53
2022-02-15,75
2022-02-16,72
2022-02-17,59
2022-02-18,60
2022-02-19,35
2022-02-20,25
2022-02-21,41
2022-02-22,63
2022-02-23,69
2022-02-24,73
2022-02-25,74
2022-02-26,46
2022-02-27,33
2022-02-28,67
2022-03-01,74
2022-03-02,71
2022-03-03,66
2022-03-04,67
2022-03-05,39
2022-03-06,30
2022-03-07,66
2022-03-08,69
2022-03-09,70
2022-03-10,66
2022-03-11,57
2022-03-12,36
2022-03-13,25
2022-03-14,55
2022-03-15,69
2022-03-16,72
2022-03-17,68
2022-03-18,67
2022-03-19,42
2022-03-20,29
2022-03-21,56
2022-03-22,76
2022-03-23,63
2022-03-24,67
2022-03-25,62
2022-03-26,40
2022-03-27,31
2022-03-28,58
2022-03-29,69
2022-03-30,66
2022-03-31,57
2022-04-01,63
2022-04-02,46
2022-04-03,33
2022-04-04,72
2022-04-05,62
2022-04-06,59
2022-04-07,57
2022-04-08,57
2022-04-09,38
2022-04-10,27
2022-04-11,58
2022-04-12,62
2022-04-13,60
2022-04-14,57
2022-04-15,45
2022-04-16,30
2022-04-17,26
2022-04-18,60
2022-04-19,57
2022-04-20,55
2022-04-21,48
2022-04-22,48
2022-04-23,29
2022-04-24,18
2022-04-25,48
2022-04-26,53
2022-04-27,51
2022-04-28,51
2022-04-29,50
2022-04-30,31
2022-05-01,22
2022-05-02,51
2022-05-03,51
2022-05-04,52
2022-05-05,55
2022-05-06,49
2022-05-07,26
2022-05-08,17
2022-05-09,46
2022-05-10,50
2022-05-11,46
2022-05-12,50
2022-05-13,56
2022-05-14,29
2022-05-15,20
2022-05-16,46
2022-05-17,56
2022-05-18,55
2022-05-19,55
2022-05-20,52
2022-05-21,28
2022-05-22,17
2022-05-23,51
2022-05-24,54
2022-05-25,49
2022-05-26,55
2022-05-27,60
2022-05-28,35
2022-05-29,20
2022-05-30,22
2022-05-31,52
2022-06-01,58
2022-06-02,59
2022-06-03,55
2022-06-04,28
2022-06-05,21
2022-06-06,53
2022-06-07,59
2022-06-08,56
2022-06-09,49
2022-06-10,50
2022-06-11,27
2022-06-12,20
2022-06-13,54
2022-06-14,61
2022-06-15,60
2022-06-16,57
2022-06-17,52
2022-06-18,28
2022-06-19,18
2022-06-20,34
2022-06-21,57
2022-06-22,59
2022-06-23,57
2022-06-24,61
2022-06-25,35
2022-06-26,22
2022-06-27,49
2022-06-28,50
2022-06-29,51
2022-06-30,49
2022-07-01,52
2022-07-02,30
2022-07-03,19
2022-07-04,19
2022-07-05,54
2022-07-06,56
2022-07-07,59
2022-07-08,57
2022-07-09,30
2022-07-10,22
2022-07-11,46
2022-07-12,47
2022-07-13,50
2022-07-14,45
2022-07-15,51
2022-07-16,29
2022-07-17,20
2022-07-18,54
2022-07-19,59
2022-07-20,67
2022-07-21,62
2022-07-22,58
2022-07-23,28
2022-07-24,19
2022-07-25,50
2022-07-26,55
2022-07-27,59
2022-07-28,69
2022-07-29,72
2022-07-30,41
2022-07-31,26
2022-08-01,61
2022-08-02,61
2022-08-03,70
2022-08-04,66
2022-08-05,59
2022-08-06,32
2022-08-07,22
2022-08-08,56
2022-08-09,57
2022-08-10,69
2022-08-11,69
2022-08-12,65
2022-08-13,40
2022-08-14,25
2022-08-15,63
2022-08-16,72
2022-08-17,62
2022-08-18,60
2022-08-19,54
2022-08-20,28
2022-08-21,20
2022-08-22,51
2022-08-23,51
2022-08-24,53
2022-08-25,55
2022-08-26,54
2022-08-27,28
2022-08-28,20
2022-08-29,45
2022-08-30,49
2022-08-31,47
2022-09-01,49
2022-09-02,48
2022-09-03,26
2022-09-04,19
2022-09-05,21
2022-09-06,45
2022-09-07,52
2022-09-08,51
2022-09-09,53
2022-09-10,32
2022-09-11,19
2022-09-12,55
2022-09-13,56
2022-09-14,54
2022-09-15,51
2022-09-16,46
2022-09-17,25
2022-09-18,18
2022-09-19,47
2022-09-20,49
2022-09-21,50
2022-09-22,46
2022-09-23,51
2022-09-24,28
2022-09-25,20
2022-09-26,46
2022-09-27,46
