Time,spy
2022-01-01,41.0
2022-01-02,38.0
2022-01-03,51.0
2022-01-04,56.0
2022-01-05,53.0
2022-01-06,43.0
2022-01-07,46.0
2022-01-08,42.0
2022-01-09,37.0
2022-01-10,45.0
2022-01-11,50.0
2022-01-12,46.0
2022-01-13,57.0
2022-01-14,44.0
2022-01-15,39.0
2022-01-16,36.0
2022-01-17,33.0
2022-01-18,48.0
2022-01-19,58.0
2022-01-20,46.0
2022-01-21,57.0
2022-01-22,47.0
2022-01-23,41.0
2022-01-24,93.0
2022-01-25,57.0
2022-01-26,56.0
2022-01-27,54.0
2022-01-28,56.0
2022-01-29,42.0
2022-01-30,38.0
2022-01-31,53.0
2022-02-01,48.0
2022-02-02,49.0
2022-02-03,54.0
2022-02-04,50.0
2022-02-05,38.0
2022-02-06,41.0
2022-02-07,49.0
2022-02-08,45.0
2022-02-09,43.0
2022-02-10,45.0
2022-02-11,53.0
2022-02-12,40.0
2022-02-13,38.0
2022-02-14,53.0
2022-02-15,50.0
2022-02-16,49.0
2022-02-17,50.0
2022-02-18,54.0
2022-02-19,41.0
2022-02-20,41.0
2022-02-21,41.0
2022-02-22,63.0
2022-02-23,55.0
2022-02-24,84.0
2022-02-25,56.0
2022-02-26,44.0
2022-02-27,44.0
2022-02-28,60.0
2022-03-01,52.0
2022-03-02,53.0
2022-03-03,51.0
2022-03-04,53.0
2022-03-05,39.0
2022-03-06,47.0
2022-03-07,59.0
2022-03-08,53.0
2022-03-09,53.0
2022-03-10,52.0
2022-03-11,50.0
2022-03-12,40.0
2022-03-13,39.0
2022-03-14,54.0
2022-03-15,54.0
2022-03-16,56.0
2022-03-17,53.0
2022-03-18,55.0
2022-03-19,42.0
2022-03-20,40.0
2022-03-21,50.0
2022-03-22,47.0
2022-03-23,45.0
2022-03-24,47.0
2022-03-25,46.0
2022-03-26,38.0
2022-03-27,38.0
2022-03-28,48.0
2022-03-29,47.0
2022-03-30,52.0
2022-03-31,46.0
2022-04-01,49.0
2022-04-02,39.0
2022-04-03,49.0
2022-04-04,48.0
2022-04-05,42.0
2022-04-06,52.0
2022-04-07,48.0
2022-04-08,48.0
2022-04-09,57.0
2022-04-10,72.0
2022-04-11,73.0
2022-04-12,68.0
2022-04-13,62.0
2022-04-14,61.0
2022-04-15,50.0
2022-04-16,66.0
2022-04-17,78.0
2022-04-18,89.0
2022-04-19,75.0
2022-04-20,73.0
2022-04-21,65.0
2022-04-22,68.0
2022-04-23,67.0
2022-04-24,71.0
2022-04-25,77.0
2022-04-26,74.0
2022-04-27,71.0
2022-04-28,63.0
2022-04-29,63.0
2022-04-30,67.0
2022-05-01,60.0
2022-05-02,83.0
2022-05-03,69.0
2022-05-04,70.0
2022-05-05,78.0
2022-05-06,72.0
2022-05-07,66.0
2022-05-08,67.0
2022-05-09,98.0
2022-05-10,80.0
2022-05-11,86.0
2022-05-12,82.0
2022-05-13,76.0
2022-05-14,62.0
2022-05-15,68.0
2022-05-16,79.0
2022-05-17,72.0
2022-05-18,79.0
2022-05-19,81.0
2022-05-20,78.0
2022-05-21,60.0
2022-05-22,69.0
2022-05-23,79.0
2022-05-24,70.0
2022-05-25,66.0
2022-05-26,64.0
2022-05-27,69.0
2022-05-28,65.0
2022-05-29,67.0
2022-05-30,61.0
2022-05-31,71.0
2022-06-01,67.0
2022-06-02,60.0
2022-06-03,63.0
2022-06-04,58.0
2022-06-05,65.0
2022-06-06,70.0
2022-06-07,66.0
2022-06-08,62.0
2022-06-09,62.0
2022-06-10,70.0
2022-06-11,59.0
2022-06-12,61.0
2022-06-13,100.0
2022-06-14,83.0
2022-06-15,77.0
2022-06-16,86.0
2022-06-17,72.0
2022-06-18,65.0
2022-06-19,62.0
2022-06-20,57.0
2022-06-21,75.0
