Time,tampa_bay_lightning
2022-01-01,8.0
2022-01-02,7.0
2022-01-03,3.0
2022-01-04,4.0
2022-01-05,7.0
2022-01-06,4.0
2022-01-07,8.0
2022-01-08,6.0
2022-01-09,9.0
2022-01-10,3.0
2022-01-11,5.0
2022-01-12,6.0
2022-01-13,6.0
2022-01-14,6.0
2022-01-15,5.0
2022-01-16,7.0
2022-01-17,3.0
2022-01-18,4.0
2022-01-19,6.0
2022-01-20,3.0
2022-01-21,4.0
2022-01-22,8.0
2022-01-23,6.0
2022-01-24,4.0
2022-01-25,3.0
2022-01-26,3.0
2022-01-27,4.0
2022-01-28,7.0
2022-01-29,6.0
2022-01-30,8.0
2022-01-31,3.0
2022-02-01,4.0
2022-02-02,6.0
2022-02-03,3.0
2022-02-04,3.0
2022-02-05,3.0
2022-02-06,2.0
2022-02-07,2.0
2022-02-08,3.0
2022-02-09,2.0
2022-02-10,2.0
2022-02-11,6.0
2022-02-12,6.0
2022-02-13,2.0
2022-02-14,2.0
2022-02-15,3.0
2022-02-16,5.0
2022-02-17,3.0
2022-02-18,3.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,2.0
2022-02-22,3.0
2022-02-23,4.0
2022-02-24,7.0
2022-02-25,3.0
2022-02-26,5.0
2022-02-27,11.0
2022-02-28,4.0
2022-03-01,4.0
2022-03-02,7.0
2022-03-03,4.0
2022-03-04,8.0
2022-03-05,7.0
2022-03-06,3.0
2022-03-07,6.0
2022-03-08,3.0
2022-03-09,4.0
2022-03-10,3.0
2022-03-11,5.0
2022-03-12,3.0
2022-03-13,5.0
2022-03-14,5.0
2022-03-15,3.0
2022-03-16,3.0
2022-03-17,6.0
2022-03-18,4.0
2022-03-19,6.0
2022-03-20,9.0
2022-03-21,4.0
2022-03-22,4.0
2022-03-23,5.0
2022-03-24,4.0
2022-03-25,4.0
2022-03-26,7.0
2022-03-27,8.0
2022-03-28,3.0
2022-03-29,6.0
2022-03-30,8.0
2022-03-31,3.0
2022-04-01,5.0
2022-04-02,10.0
2022-04-03,8.0
2022-04-04,4.0
2022-04-05,6.0
2022-04-06,5.0
2022-04-07,6.0
2022-04-08,5.0
2022-04-09,7.0
2022-04-10,7.0
2022-04-11,5.0
2022-04-12,4.0
2022-04-13,6.0
2022-04-14,5.0
2022-04-15,8.0
2022-04-16,6.0
2022-04-17,9.0
2022-04-18,3.0
2022-04-19,4.0
2022-04-20,7.0
2022-04-21,5.0
2022-04-22,8.0
2022-04-23,7.0
2022-04-24,12.0
2022-04-25,10.0
2022-04-26,7.0
2022-04-27,8.0
2022-04-28,5.0
2022-04-29,8.0
2022-04-30,11.0
2022-05-01,5.0
2022-05-02,9.0
2022-05-03,14.0
2022-05-04,7.0
2022-05-05,15.0
2022-05-06,11.0
2022-05-07,21.0
2022-05-08,15.0
2022-05-09,17.0
2022-05-10,13.0
2022-05-11,21.0
2022-05-12,14.0
2022-05-13,42.0
2022-05-14,29.0
2022-05-15,62.0
2022-05-16,16.0
2022-05-17,17.0
2022-05-18,28.0
2022-05-19,15.0
2022-05-20,31.0
2022-05-21,17.0
2022-05-22,48.0
2022-05-23,21.0
2022-05-24,45.0
2022-05-25,13.0
2022-05-26,10.0
2022-05-27,8.0
2022-05-28,9.0
2022-05-29,10.0
2022-05-30,8.0
2022-05-31,19.0
2022-06-01,18.0
2022-06-02,44.0
2022-06-03,16.0
2022-06-04,44.0
2022-06-05,48.0
2022-06-06,19.0
2022-06-07,22.0
2022-06-08,52.0
2022-06-09,21.0
2022-06-10,61.0
2022-06-11,33.0
2022-06-12,100.0
2022-06-13,20.0
2022-06-14,15.0
2022-06-15,23.0
2022-06-16,68.0
2022-06-17,17.0
2022-06-18,27.0
2022-06-19,71.0
2022-06-20,22.0
2022-06-21,76.0
2022-06-22,25.0
2022-06-23,95.0
