Time,usps tracking
2022-01-01,35.0
2022-01-02,38.0
2022-01-03,74.0
2022-01-04,96.0
2022-01-05,95.0
2022-01-06,78.0
2022-01-07,92.0
2022-01-08,77.0
2022-01-09,50.0
2022-01-10,83.0
2022-01-11,92.0
2022-01-12,88.0
2022-01-13,100.0
2022-01-14,74.0
2022-01-15,70.0
2022-01-16,38.0
2022-01-17,54.0
2022-01-18,79.0
2022-01-19,76.0
2022-01-20,77.0
2022-01-21,82.0
2022-01-22,65.0
2022-01-23,43.0
2022-01-24,91.0
2022-01-25,71.0
2022-01-26,71.0
2022-01-27,80.0
2022-01-28,93.0
2022-01-29,72.0
2022-01-30,42.0
2022-01-31,80.0
2022-02-01,82.0
2022-02-02,79.0
2022-02-03,75.0
2022-02-04,83.0
2022-02-05,77.0
2022-02-06,51.0
2022-02-07,89.0
2022-02-08,89.0
2022-02-09,85.0
2022-02-10,78.0
2022-02-11,92.0
2022-02-12,76.0
2022-02-13,43.0
2022-02-14,73.0
2022-02-15,77.0
2022-02-16,75.0
2022-02-17,73.0
2022-02-18,68.0
2022-02-19,56.0
2022-02-20,36.0
2022-02-21,52.0
2022-02-22,75.0
2022-02-23,75.0
2022-02-24,70.0
2022-02-25,73.0
2022-02-26,63.0
2022-02-27,41.0
2022-02-28,74.0
2022-03-01,72.0
2022-03-02,73.0
2022-03-03,72.0
2022-03-04,70.0
2022-03-05,53.0
2022-03-06,36.0
2022-03-07,67.0
2022-03-08,70.0
2022-03-09,71.0
2022-03-10,72.0
2022-03-11,73.0
2022-03-12,60.0
2022-03-13,36.0
2022-03-14,70.0
2022-03-15,70.0
2022-03-16,76.0
2022-03-17,75.0
2022-03-18,74.0
2022-03-19,57.0
2022-03-20,35.0
2022-03-21,70.0
2022-03-22,71.0
2022-03-23,72.0
2022-03-24,75.0
2022-03-25,68.0
2022-03-26,58.0
2022-03-27,37.0
2022-03-28,63.0
2022-03-29,64.0
2022-03-30,68.0
2022-03-31,67.0
2022-04-01,67.0
2022-04-02,58.0
2022-04-03,38.0
2022-04-04,62.0
2022-04-05,64.0
2022-04-06,71.0
2022-04-07,71.0
2022-04-08,71.0
2022-04-09,60.0
2022-04-10,39.0
2022-04-11,75.0
2022-04-12,75.0
2022-04-13,80.0
2022-04-14,74.0
2022-04-15,73.0
2022-04-16,59.0
2022-04-17,37.0
2022-04-18,69.0
2022-04-19,68.0
2022-04-20,66.0
2022-04-21,69.0
2022-04-22,68.0
2022-04-23,56.0
2022-04-24,36.0
2022-04-25,74.0
2022-04-26,64.0
2022-04-27,68.0
2022-04-28,64.0
2022-04-29,58.0
2022-04-30,51.0
2022-05-01,37.0
2022-05-02,63.0
2022-05-03,62.0
2022-05-04,71.0
2022-05-05,73.0
2022-05-06,76.0
2022-05-07,59.0
2022-05-08,39.0
2022-05-09,68.0
2022-05-10,68.0
2022-05-11,67.0
2022-05-12,73.0
2022-05-13,69.0
2022-05-14,60.0
2022-05-15,36.0
2022-05-16,67.0
2022-05-17,67.0
2022-05-18,72.0
2022-05-19,71.0
2022-05-20,70.0
2022-05-21,60.0
2022-05-22,38.0
2022-05-23,70.0
2022-05-24,70.0
2022-05-25,72.0
2022-05-26,74.0
2022-05-27,71.0
2022-05-28,57.0
2022-05-29,34.0
2022-05-30,35.0
2022-05-31,70.0
2022-06-01,70.0
2022-06-02,75.0
2022-06-03,77.0
2022-06-04,64.0
2022-06-05,38.0
2022-06-06,70.0
2022-06-07,73.0
2022-06-08,77.0
2022-06-09,77.0
2022-06-10,74.0
2022-06-11,57.0
2022-06-12,37.0
2022-06-13,71.0
2022-06-14,74.0
2022-06-15,77.0
2022-06-16,80.0
2022-06-17,76.0
2022-06-18,62.0
2022-06-19,38.0
2022-06-20,61.0
2022-06-21,82.0
2022-06-22,77.0
2022-06-23,81.0
2022-06-24,78.0
2022-06-25,58.0
2022-06-26,39.0
2022-06-27,71.0
2022-06-28,72.0
2022-06-29,74.0
2022-06-30,75.0
2022-07-01,67.0
2022-07-02,55.0
2022-07-03,32.0
2022-07-04,31.0
2022-07-05,70.0
2022-07-06,66.0
2022-07-07,74.0
2022-07-08,78.0
2022-07-09,61.0
2022-07-10,38.0
2022-07-11,73.0
2022-07-12,71.0
2022-07-13,77.0
2022-07-14,80.0
2022-07-15,77.0
2022-07-16,61.0
2022-07-17,41.0
2022-07-18,74.0
2022-07-19,74.0
2022-07-20,83.0
2022-07-21,78.0
2022-07-22,73.0
2022-07-23,57.0
2022-07-24,34.0
2022-07-25,71.0
2022-07-26,69.0
2022-07-27,73.0
2022-07-28,75.0
2022-07-29,74.0
2022-07-30,55.0
2022-07-31,34.0
2022-08-01,66.0
2022-08-02,64.0
2022-08-03,70.0
2022-08-04,73.0
2022-08-05,69.0
2022-08-06,56.0
2022-08-07,35.0
2022-08-08,68.0
