Time,wingstop
2022-01-01,49.0
2022-01-02,45.0
2022-01-03,32.0
2022-01-04,30.0
2022-01-05,29.0
2022-01-06,26.0
2022-01-07,33.0
2022-01-08,47.0
2022-01-09,48.0
2022-01-10,33.0
2022-01-11,29.0
2022-01-12,27.0
2022-01-13,30.0
2022-01-14,29.0
2022-01-15,46.0
2022-01-16,48.0
2022-01-17,29.0
2022-01-18,25.0
2022-01-19,23.0
2022-01-20,24.0
2022-01-21,29.0
2022-01-22,45.0
2022-01-23,39.0
2022-01-24,26.0
2022-01-25,22.0
2022-01-26,23.0
2022-01-27,23.0
2022-01-28,32.0
2022-01-29,41.0
2022-01-30,48.0
2022-01-31,29.0
2022-02-01,25.0
2022-02-02,25.0
2022-02-03,26.0
2022-02-04,32.0
2022-02-05,43.0
2022-02-06,44.0
2022-02-07,28.0
2022-02-08,25.0
2022-02-09,28.0
2022-02-10,23.0
2022-02-11,37.0
2022-02-12,48.0
2022-02-13,100.0
2022-02-14,32.0
2022-02-15,28.0
2022-02-16,24.0
2022-02-17,27.0
2022-02-18,30.0
2022-02-19,38.0
2022-02-20,40.0
2022-02-21,31.0
2022-02-22,25.0
2022-02-23,25.0
2022-02-24,26.0
2022-02-25,32.0
2022-02-26,36.0
2022-02-27,38.0
2022-02-28,28.0
2022-03-01,26.0
2022-03-02,26.0
2022-03-03,26.0
2022-03-04,31.0
2022-03-05,37.0
2022-03-06,36.0
2022-03-07,26.0
2022-03-08,24.0
2022-03-09,24.0
2022-03-10,27.0
2022-03-11,30.0
2022-03-12,34.0
2022-03-13,40.0
2022-03-14,27.0
2022-03-15,26.0
2022-03-16,25.0
2022-03-17,28.0
2022-03-18,31.0
2022-03-19,34.0
2022-03-20,40.0
2022-03-21,28.0
2022-03-22,25.0
2022-03-23,24.0
2022-03-24,26.0
2022-03-25,26.0
2022-03-26,35.0
2022-03-27,36.0
2022-03-28,24.0
2022-03-29,22.0
2022-03-30,25.0
2022-03-31,26.0
2022-04-01,27.0
2022-04-02,37.0
2022-04-03,34.0
2022-04-04,23.0
2022-04-05,23.0
2022-04-06,22.0
2022-04-07,23.0
2022-04-08,26.0
2022-04-09,36.0
2022-04-10,35.0
2022-04-11,26.0
2022-04-12,26.0
2022-04-13,25.0
2022-04-14,26.0
2022-04-15,33.0
2022-04-16,36.0
2022-04-17,37.0
2022-04-18,29.0
2022-04-19,28.0
2022-04-20,31.0
2022-04-21,28.0
2022-04-22,29.0
2022-04-23,40.0
2022-04-24,39.0
2022-04-25,35.0
2022-04-26,34.0
2022-04-27,24.0
2022-04-28,28.0
2022-04-29,29.0
2022-04-30,37.0
2022-05-01,41.0
2022-05-02,26.0
2022-05-03,23.0
2022-05-04,25.0
2022-05-05,25.0
2022-05-06,27.0
2022-05-07,38.0
2022-05-08,37.0
2022-05-09,26.0
2022-05-10,23.0
2022-05-11,22.0
2022-05-12,26.0
2022-05-13,32.0
2022-05-14,41.0
2022-05-15,41.0
2022-05-16,28.0
2022-05-17,25.0
2022-05-18,25.0
2022-05-19,29.0
2022-05-20,34.0
2022-05-21,44.0
2022-05-22,39.0
2022-05-23,28.0
2022-05-24,26.0
2022-05-25,25.0
2022-05-26,28.0
2022-05-27,34.0
2022-05-28,39.0
2022-05-29,42.0
2022-05-30,38.0
2022-05-31,27.0
2022-06-01,24.0
2022-06-02,28.0
2022-06-03,34.0
2022-06-04,40.0
2022-06-05,40.0
2022-06-06,30.0
2022-06-07,27.0
2022-06-08,27.0
2022-06-09,28.0
2022-06-10,34.0
2022-06-11,41.0
2022-06-12,41.0
2022-06-13,29.0
2022-06-14,29.0
2022-06-15,27.0
2022-06-16,29.0
2022-06-17,32.0
2022-06-18,39.0
2022-06-19,39.0
2022-06-20,29.0
2022-06-21,26.0
2022-06-22,26.0
2022-06-23,29.0
2022-06-24,35.0
2022-06-25,38.0
2022-06-26,38.0
2022-06-27,28.0
2022-06-28,27.0
2022-06-29,29.0
2022-06-30,30.0
2022-07-01,35.0
2022-07-02,39.0
2022-07-03,42.0
2022-07-04,44.0
2022-07-05,34.0
2022-07-06,28.0
2022-07-07,29.0
