Time,yellowstone national park
2022-01-01,5
2022-01-02,5
2022-01-03,5
2022-01-04,4
2022-01-05,4
2022-01-06,3
2022-01-07,4
2022-01-08,4
2022-01-09,5
2022-01-10,4
2022-01-11,4
2022-01-12,4
2022-01-13,4
2022-01-14,3
2022-01-15,4
2022-01-16,4
2022-01-17,4
2022-01-18,3
2022-01-19,3
2022-01-20,3
2022-01-21,3
2022-01-22,4
2022-01-23,5
2022-01-24,4
2022-01-25,3
2022-01-26,3
2022-01-27,4
2022-01-28,4
2022-01-29,4
2022-01-30,4
2022-01-31,4
2022-02-01,3
2022-02-02,3
2022-02-03,3
2022-02-04,3
2022-02-05,4
2022-02-06,4
2022-02-07,4
2022-02-08,4
2022-02-09,4
2022-02-10,3
2022-02-11,3
2022-02-12,4
2022-02-13,4
2022-02-14,4
2022-02-15,4
2022-02-16,3
2022-02-17,4
2022-02-18,4
2022-02-19,5
2022-02-20,5
2022-02-21,5
2022-02-22,4
2022-02-23,4
2022-02-24,4
2022-02-25,3
2022-02-26,5
2022-02-27,5
2022-02-28,5
2022-03-01,5
2022-03-02,4
2022-03-03,4
2022-03-04,4
2022-03-05,4
2022-03-06,5
2022-03-07,4
2022-03-08,5
2022-03-09,4
2022-03-10,4
2022-03-11,3
2022-03-12,4
2022-03-13,5
2022-03-14,4
2022-03-15,4
2022-03-16,4
2022-03-17,3
2022-03-18,3
2022-03-19,4
2022-03-20,4
2022-03-21,4
2022-03-22,3
2022-03-23,4
2022-03-24,4
2022-03-25,4
2022-03-26,4
2022-03-27,5
2022-03-28,4
2022-03-29,4
2022-03-30,3
2022-03-31,4
2022-04-01,4
2022-04-02,4
2022-04-03,5
2022-04-04,4
2022-04-05,4
2022-04-06,4
2022-04-07,4
2022-04-08,4
2022-04-09,4
2022-04-10,4
2022-04-11,4
2022-04-12,4
2022-04-13,4
2022-04-14,5
2022-04-15,4
2022-04-16,5
2022-04-17,5
2022-04-18,5
2022-04-19,5
2022-04-20,5
2022-04-21,5
2022-04-22,5
2022-04-23,5
2022-04-24,5
2022-04-25,5
2022-04-26,4
2022-04-27,5
2022-04-28,5
2022-04-29,4
2022-04-30,4
2022-05-01,5
2022-05-02,5
2022-05-03,5
2022-05-04,5
2022-05-05,5
2022-05-06,5
2022-05-07,5
2022-05-08,5
2022-05-09,5
2022-05-10,5
2022-05-11,6
2022-05-12,5
2022-05-13,5
2022-05-14,4
2022-05-15,5
2022-05-16,6
2022-05-17,5
2022-05-18,5
2022-05-19,5
2022-05-20,5
2022-05-21,5
2022-05-22,6
2022-05-23,6
2022-05-24,5
2022-05-25,5
2022-05-26,5
2022-05-27,5
2022-05-28,5
2022-05-29,6
2022-05-30,7
2022-05-31,6
2022-06-01,17
2022-06-02,17
2022-06-03,6
2022-06-04,6
2022-06-05,7
2022-06-06,5
2022-06-07,6
2022-06-08,6
2022-06-09,5
2022-06-10,5
2022-06-11,6
2022-06-12,11
2022-06-13,30
2022-06-14,100
2022-06-15,79
2022-06-16,39
2022-06-17,24
2022-06-18,20
2022-06-19,18
2022-06-20,13
2022-06-21,9
2022-06-22,11
2022-06-23,8
2022-06-24,6
2022-06-25,6
2022-06-26,7
2022-06-27,6
2022-06-28,5
2022-06-29,6
2022-06-30,6
2022-07-01,6
2022-07-02,7
2022-07-03,6
2022-07-04,6
2022-07-05,5
2022-07-06,5
2022-07-07,5
2022-07-08,5
2022-07-09,6
2022-07-10,6
2022-07-11,6
2022-07-12,5
2022-07-13,5
2022-07-14,4
2022-07-15,5
2022-07-16,5
2022-07-17,6
2022-07-18,5
2022-07-19,5
2022-07-20,4
2022-07-21,5
2022-07-22,5
2022-07-23,5
2022-07-24,6
2022-07-25,5
2022-07-26,5
2022-07-27,5
2022-07-28,4
2022-07-29,4
2022-07-30,4
2022-07-31,5
2022-08-01,5
2022-08-02,4
2022-08-03,4
2022-08-04,4
2022-08-05,4
2022-08-06,4
2022-08-07,5
2022-08-08,5
2022-08-09,4
2022-08-10,4
2022-08-11,4
2022-08-12,4
2022-08-13,4
2022-08-14,5
2022-08-15,5
2022-08-16,4
2022-08-17,4
2022-08-18,4
2022-08-19,6
2022-08-20,5
2022-08-21,5
2022-08-22,5
2022-08-23,4
2022-08-24,4
2022-08-25,4
2022-08-26,4
2022-08-27,4
2022-08-28,5
2022-08-29,4
2022-08-30,4
2022-08-31,4
2022-09-01,4
2022-09-02,4
2022-09-03,4
2022-09-04,5
2022-09-05,5
2022-09-06,5
2022-09-07,4
2022-09-08,4
2022-09-09,4
2022-09-10,3
2022-09-11,4
2022-09-12,4
2022-09-13,3
2022-09-14,4
2022-09-15,4
2022-09-16,4
2022-09-17,4
2022-09-18,4
2022-09-19,4
2022-09-20,4
2022-09-21,4
2022-09-22,3
2022-09-23,4
2022-09-24,3
2022-09-25,4
2022-09-26,4
2022-09-27,4
