Time,you_people
2022-01-01,62.0
2022-01-02,67.0
2022-01-03,67.0
2022-01-04,74.0
2022-01-05,76.0
2022-01-06,59.0
2022-01-07,68.0
2022-01-08,67.0
2022-01-09,65.0
2022-01-10,65.0
2022-01-11,67.0
2022-01-12,66.0
2022-01-13,83.0
2022-01-14,58.0
2022-01-15,68.0
2022-01-16,64.0
2022-01-17,59.0
2022-01-18,63.0
2022-01-19,65.0
2022-01-20,67.0
2022-01-21,62.0
2022-01-22,71.0
2022-01-23,63.0
2022-01-24,75.0
2022-01-25,65.0
2022-01-26,62.0
2022-01-27,75.0
2022-01-28,72.0
2022-01-29,68.0
2022-01-30,71.0
2022-01-31,73.0
2022-02-01,68.0
2022-02-02,70.0
2022-02-03,72.0
2022-02-04,78.0
2022-02-05,68.0
2022-02-06,74.0
2022-02-07,69.0
2022-02-08,74.0
2022-02-09,69.0
2022-02-10,67.0
2022-02-11,68.0
2022-02-12,68.0
2022-02-13,63.0
2022-02-14,68.0
2022-02-15,78.0
2022-02-16,72.0
2022-02-17,80.0
2022-02-18,72.0
2022-02-19,67.0
2022-02-20,64.0
2022-02-21,76.0
2022-02-22,73.0
2022-02-23,68.0
2022-02-24,75.0
2022-02-25,67.0
2022-02-26,67.0
2022-02-27,77.0
2022-02-28,79.0
2022-03-01,76.0
2022-03-02,76.0
2022-03-03,76.0
2022-03-04,69.0
2022-03-05,62.0
2022-03-06,65.0
2022-03-07,72.0
2022-03-08,68.0
2022-03-09,70.0
2022-03-10,73.0
2022-03-11,65.0
2022-03-12,58.0
2022-03-13,63.0
2022-03-14,67.0
2022-03-15,68.0
2022-03-16,72.0
2022-03-17,70.0
2022-03-18,67.0
2022-03-19,65.0
2022-03-20,63.0
2022-03-21,69.0
2022-03-22,72.0
2022-03-23,68.0
2022-03-24,65.0
2022-03-25,87.0
2022-03-26,67.0
2022-03-27,69.0
2022-03-28,91.0
2022-03-29,92.0
2022-03-30,79.0
2022-03-31,90.0
2022-04-01,89.0
2022-04-02,67.0
2022-04-03,68.0
2022-04-04,96.0
2022-04-05,89.0
2022-04-06,92.0
2022-04-07,91.0
2022-04-08,91.0
2022-04-09,69.0
2022-04-10,70.0
2022-04-11,87.0
2022-04-12,82.0
2022-04-13,82.0
2022-04-14,89.0
2022-04-15,75.0
2022-04-16,68.0
2022-04-17,70.0
2022-04-18,90.0
2022-04-19,93.0
2022-04-20,89.0
2022-04-21,94.0
2022-04-22,84.0
2022-04-23,68.0
2022-04-24,69.0
