Time,tariffs
2022-01-01,9.0
2022-01-02,7.0
2022-01-03,22.0
2022-01-04,30.0
2022-01-05,31.0
2022-01-06,26.0
2022-01-07,26.0
2022-01-08,11.0
2022-01-09,18.0
2022-01-10,25.0
2022-01-11,33.0
2022-01-12,33.0
2022-01-13,50.0
2022-01-14,40.0
2022-01-15,11.0
2022-01-16,0.0
2022-01-17,20.0
2022-01-18,43.0
2022-01-19,42.0
2022-01-20,42.0
2022-01-21,44.0
2022-01-22,14.0
2022-01-23,23.0
2022-01-24,61.0
2022-01-25,47.0
2022-01-26,38.0
2022-01-27,44.0
2022-01-28,41.0
2022-01-29,22.0
2022-01-30,30.0
2022-01-31,43.0
2022-02-01,45.0
2022-02-02,44.0
2022-02-03,44.0
2022-02-04,39.0
2022-02-05,27.0
2022-02-06,25.0
2022-02-07,54.0
2022-02-08,64.0
2022-02-09,53.0
2022-02-10,39.0
2022-02-11,53.0
2022-02-12,21.0
2022-02-13,30.0
2022-02-14,52.0
2022-02-15,57.0
2022-02-16,64.0
2022-02-17,55.0
2022-02-18,41.0
2022-02-19,25.0
2022-02-20,36.0
2022-02-21,53.0
2022-02-22,47.0
2022-02-23,60.0
2022-02-24,56.0
2022-02-25,47.0
2022-02-26,48.0
2022-02-27,44.0
2022-02-28,63.0
2022-03-01,54.0
2022-03-02,54.0
2022-03-03,54.0
2022-03-04,52.0
2022-03-05,25.0
2022-03-06,23.0
2022-03-07,58.0
2022-03-08,52.0
2022-03-09,53.0
2022-03-10,62.0
2022-03-11,59.0
2022-03-12,27.0
2022-03-13,28.0
2022-03-14,47.0
2022-03-15,50.0
2022-03-16,40.0
2022-03-17,46.0
2022-03-18,38.0
2022-03-19,21.0
2022-03-20,20.0
2022-03-21,55.0
2022-03-22,52.0
2022-03-23,54.0
2022-03-24,61.0
2022-03-25,71.0
2022-03-26,20.0
2022-03-27,26.0
2022-03-28,80.0
2022-03-29,85.0
2022-03-30,54.0
2022-03-31,77.0
2022-04-01,63.0
2022-04-02,26.0
2022-04-03,28.0
2022-04-04,75.0
2022-04-05,71.0
2022-04-06,65.0
2022-04-07,70.0
2022-04-08,64.0
2022-04-09,25.0
2022-04-10,32.0
2022-04-11,60.0
2022-04-12,55.0
2022-04-13,56.0
2022-04-14,63.0
2022-04-15,49.0
2022-04-16,29.0
2022-04-17,23.0
2022-04-18,70.0
2022-04-19,71.0
2022-04-20,77.0
2022-04-21,76.0
2022-04-22,69.0
2022-04-23,35.0
2022-04-24,38.0
2022-04-25,59.0
2022-04-26,76.0
2022-04-27,66.0
2022-04-28,100.0
2022-04-29,62.0
2022-04-30,31.0
2022-05-01,37.0
2022-05-02,74.0
2022-05-03,79.0
2022-05-04,76.0
2022-05-05,74.0
2022-05-06,60.0
2022-05-07,36.0
2022-05-08,27.0
2022-05-09,69.0
2022-05-10,76.0
2022-05-11,92.0
2022-05-12,73.0
2022-05-13,49.0
2022-05-14,20.0
2022-05-15,25.0
2022-05-16,50.0
2022-05-17,62.0
2022-05-18,56.0
2022-05-19,58.0
2022-05-20,57.0
2022-05-21,25.0
2022-05-22,27.0
2022-05-23,66.0
