Time,zillow
2022-01-01,73.0
2022-01-02,81.0
2022-01-03,81.0
2022-01-04,96.0
2022-01-05,89.0
2022-01-06,72.0
2022-01-07,84.0
2022-01-08,87.0
2022-01-09,82.0
2022-01-10,81.0
2022-01-11,86.0
2022-01-12,87.0
2022-01-13,91.0
2022-01-14,70.0
2022-01-15,81.0
2022-01-16,78.0
2022-01-17,77.0
2022-01-18,78.0
2022-01-19,78.0
2022-01-20,82.0
2022-01-21,82.0
2022-01-22,92.0
2022-01-23,87.0
2022-01-24,100.0
2022-01-25,76.0
2022-01-26,73.0
2022-01-27,82.0
2022-01-28,85.0
2022-01-29,90.0
2022-01-30,88.0
2022-01-31,84.0
2022-02-01,83.0
2022-02-02,84.0
2022-02-03,85.0
2022-02-04,85.0
2022-02-05,91.0
2022-02-06,97.0
2022-02-07,88.0
2022-02-08,87.0
2022-02-09,83.0
2022-02-10,74.0
2022-02-11,88.0
2022-02-12,88.0
2022-02-13,81.0
2022-02-14,75.0
2022-02-15,89.0
2022-02-16,86.0
2022-02-17,87.0
2022-02-18,83.0
2022-02-19,91.0
2022-02-20,94.0
2022-02-21,94.0
2022-02-22,91.0
2022-02-23,90.0
2022-02-24,76.0
2022-02-25,82.0
2022-02-26,85.0
2022-02-27,87.0
2022-02-28,87.0
2022-03-01,88.0
2022-03-02,87.0
2022-03-03,86.0
2022-03-04,84.0
2022-03-05,87.0
2022-03-06,90.0
2022-03-07,88.0
2022-03-08,88.0
2022-03-09,87.0
2022-03-10,87.0
2022-03-11,82.0
2022-03-12,93.0
2022-03-13,87.0
2022-03-14,83.0
2022-03-15,84.0
2022-03-16,84.0
2022-03-17,88.0
2022-03-18,84.0
2022-03-19,91.0
2022-03-20,92.0
2022-03-21,93.0
2022-03-22,90.0
2022-03-23,92.0
2022-03-24,92.0
2022-03-25,87.0
2022-03-26,94.0
2022-03-27,95.0
2022-03-28,80.0
2022-03-29,85.0
2022-03-30,88.0
2022-03-31,88.0
2022-04-01,91.0
2022-04-02,96.0
2022-04-03,96.0
2022-04-04,89.0
2022-04-05,88.0
2022-04-06,90.0
2022-04-07,90.0
2022-04-08,89.0
2022-04-09,95.0
2022-04-10,94.0
2022-04-11,88.0
2022-04-12,88.0
2022-04-13,88.0
2022-04-14,89.0
2022-04-15,90.0
2022-04-16,90.0
2022-04-17,93.0
2022-04-18,95.0
2022-04-19,95.0
2022-04-20,88.0
2022-04-21,92.0
2022-04-22,91.0
2022-04-23,94.0
2022-04-24,100.0
2022-04-25,93.0
2022-04-26,93.0
2022-04-27,89.0
2022-04-28,92.0
2022-04-29,85.0
2022-04-30,90.0
2022-05-01,96.0
