Time,games
2022-01-01,61.0
2022-01-02,64.0
2022-01-03,43.0
2022-01-04,42.0
2022-01-05,39.0
2022-01-06,32.0
2022-01-07,40.0
2022-01-08,57.0
2022-01-09,64.0
2022-01-10,45.0
2022-01-11,39.0
2022-01-12,37.0
2022-01-13,37.0
2022-01-14,37.0
2022-01-15,70.0
2022-01-16,78.0
2022-01-17,47.0
2022-01-18,39.0
2022-01-19,35.0
2022-01-20,36.0
2022-01-21,40.0
2022-01-22,78.0
2022-01-23,100.0
2022-01-24,61.0
2022-01-25,32.0
2022-01-26,34.0
2022-01-27,36.0
2022-01-28,45.0
2022-01-29,61.0
2022-01-30,94.0
2022-01-31,49.0
2022-02-01,37.0
2022-02-02,37.0
2022-02-03,37.0
2022-02-04,38.0
2022-02-05,42.0
2022-02-06,42.0
2022-02-07,36.0
2022-02-08,35.0
2022-02-09,37.0
2022-02-10,35.0
2022-02-11,43.0
2022-02-12,42.0
2022-02-13,38.0
2022-02-14,35.0
2022-02-15,35.0
2022-02-16,36.0
2022-02-17,37.0
2022-02-18,38.0
2022-02-19,40.0
2022-02-20,38.0
2022-02-21,35.0
2022-02-22,32.0
2022-02-23,33.0
2022-02-24,32.0
2022-02-25,37.0
2022-02-26,39.0
2022-02-27,39.0
2022-02-28,34.0
2022-03-01,31.0
2022-03-02,33.0
2022-03-03,33.0
2022-03-04,35.0
2022-03-05,37.0
2022-03-06,39.0
2022-03-07,32.0
2022-03-08,31.0
2022-03-09,32.0
2022-03-10,36.0
2022-03-11,34.0
2022-03-12,40.0
2022-03-13,40.0
2022-03-14,32.0
2022-03-15,35.0
2022-03-16,36.0
2022-03-17,39.0
2022-03-18,37.0
2022-03-19,41.0
2022-03-20,43.0
2022-03-21,34.0
2022-03-22,33.0
2022-03-23,33.0
2022-03-24,39.0
2022-03-25,58.0
2022-03-26,50.0
2022-03-27,50.0
2022-03-28,45.0
2022-03-29,48.0
2022-03-30,34.0
2022-03-31,52.0
2022-04-01,54.0
2022-04-02,45.0
2022-04-03,41.0
2022-04-04,44.0
2022-04-05,46.0
2022-04-06,51.0
2022-04-07,51.0
2022-04-08,56.0
2022-04-09,40.0
2022-04-10,39.0
2022-04-11,44.0
2022-04-12,47.0
2022-04-13,49.0
2022-04-14,51.0
2022-04-15,40.0
2022-04-16,43.0
2022-04-17,46.0
