Time,donald_trump
2022-01-01,16.0
2022-01-02,16.0
2022-01-03,17.0
2022-01-04,22.0
2022-01-05,20.0
2022-01-06,23.0
2022-01-07,23.0
2022-01-08,19.0
2022-01-09,16.0
2022-01-10,15.0
2022-01-11,16.0
2022-01-12,20.0
2022-01-13,24.0
2022-01-14,16.0
2022-01-15,19.0
2022-01-16,23.0
2022-01-17,16.0
2022-01-18,15.0
2022-01-19,17.0
2022-01-20,19.0
2022-01-21,17.0
2022-01-22,17.0
2022-01-23,16.0
2022-01-24,20.0
2022-01-25,15.0
2022-01-26,15.0
2022-01-27,14.0
2022-01-28,16.0
2022-01-29,17.0
2022-01-30,21.0
2022-01-31,17.0
2022-02-01,19.0
2022-02-02,16.0
2022-02-03,16.0
2022-02-04,16.0
2022-02-05,17.0
2022-02-06,16.0
2022-02-07,15.0
2022-02-08,16.0
2022-02-09,16.0
2022-02-10,14.0
2022-02-11,17.0
2022-02-12,16.0
2022-02-13,15.0
2022-02-14,16.0
2022-02-15,19.0
2022-02-16,17.0
2022-02-17,19.0
2022-02-18,18.0
2022-02-19,18.0
2022-02-20,18.0
2022-02-21,20.0
2022-02-22,21.0
2022-02-23,22.0
2022-02-24,35.0
2022-02-25,34.0
2022-02-26,29.0
2022-02-27,30.0
2022-02-28,25.0
2022-03-01,22.0
2022-03-02,25.0
2022-03-03,22.0
2022-03-04,20.0
2022-03-05,20.0
2022-03-06,21.0
2022-03-07,19.0
2022-03-08,17.0
2022-03-09,19.0
2022-03-10,26.0
2022-03-11,23.0
2022-03-12,23.0
2022-03-13,21.0
2022-03-14,17.0
2022-03-15,17.0
2022-03-16,16.0
2022-03-17,16.0
2022-03-18,15.0
2022-03-19,16.0
2022-03-20,15.0
2022-03-21,13.0
2022-03-22,15.0
2022-03-23,14.0
2022-03-24,17.0
2022-03-25,17.0
2022-03-26,16.0
2022-03-27,22.0
2022-03-28,18.0
2022-03-29,21.0
2022-03-30,19.0
2022-03-31,17.0
2022-04-01,18.0
2022-04-02,16.0
2022-04-03,17.0
2022-04-04,16.0
2022-04-05,17.0
2022-04-06,16.0
2022-04-07,16.0
2022-04-08,17.0
2022-04-09,20.0
2022-04-10,18.0
2022-04-11,15.0
2022-04-12,14.0
2022-04-13,15.0
2022-04-14,17.0
2022-04-15,17.0
2022-04-16,15.0
2022-04-17,17.0
2022-04-18,16.0
2022-04-19,15.0
2022-04-20,15.0
2022-04-21,17.0
2022-04-22,16.0
2022-04-23,15.0
2022-04-24,16.0
2022-04-25,26.0
2022-04-26,29.0
2022-04-27,24.0
2022-04-28,19.0
2022-04-29,20.0
2022-04-30,17.0
2022-05-01,16.0
2022-05-02,16.0
2022-05-03,16.0
2022-05-04,16.0
2022-05-05,15.0
2022-05-06,15.0
2022-05-07,19.0
2022-05-08,17.0
2022-05-09,17.0
2022-05-10,16.0
2022-05-11,18.0
2022-05-12,15.0
2022-05-13,16.0
2022-05-14,15.0
2022-05-15,16.0
2022-05-16,13.0
2022-05-17,15.0
2022-05-18,16.0
2022-05-19,15.0
2022-05-20,14.0
2022-05-21,13.0
2022-05-22,14.0
2022-05-23,14.0
2022-05-24,15.0
2022-05-25,16.0
2022-05-26,13.0
2022-05-27,14.0
2022-05-28,16.0
2022-05-29,16.0
2022-05-30,14.0
2022-05-31,13.0
