Time,tsla_stock
2022-01-01,9.0
2022-01-02,10.0
2022-01-03,82.0
2022-01-04,81.0
2022-01-05,55.0
2022-01-06,42.0
2022-01-07,43.0
2022-01-08,12.0
2022-01-09,5.0
2022-01-10,49.0
2022-01-11,45.0
2022-01-12,39.0
2022-01-13,46.0
2022-01-14,36.0
2022-01-15,8.0
2022-01-16,4.0
2022-01-17,9.0
2022-01-18,39.0
2022-01-19,34.0
2022-01-20,38.0
2022-01-21,51.0
2022-01-22,14.0
2022-01-23,7.0
2022-01-24,100.0
2022-01-25,53.0
2022-01-26,71.0
2022-01-27,87.0
2022-01-28,78.0
2022-01-29,16.0
2022-01-30,8.0
2022-01-31,54.0
2022-02-01,45.0
2022-02-02,50.0
2022-02-03,49.0
2022-02-04,40.0
2022-02-05,9.0
2022-02-06,5.0
2022-02-07,39.0
2022-02-08,42.0
2022-02-09,33.0
2022-02-10,32.0
2022-02-11,39.0
2022-02-12,10.0
2022-02-13,4.0
2022-02-14,41.0
2022-02-15,43.0
2022-02-16,39.0
2022-02-17,38.0
2022-02-18,41.0
2022-02-19,10.0
2022-02-20,5.0
2022-02-21,10.0
2022-02-22,46.0
2022-02-23,49.0
2022-02-24,71.0
2022-02-25,48.0
2022-02-26,9.0
2022-02-27,6.0
2022-02-28,53.0
2022-03-01,42.0
2022-03-02,40.0
2022-03-03,38.0
2022-03-04,39.0
2022-03-05,10.0
2022-03-06,5.0
2022-03-07,46.0
2022-03-08,39.0
2022-03-09,39.0
2022-03-10,37.0
2022-03-11,37.0
2022-03-12,10.0
2022-03-13,5.0
2022-03-14,47.0
2022-03-15,37.0
2022-03-16,44.0
2022-03-17,41.0
2022-03-18,38.0
2022-03-19,9.0
2022-03-20,5.0
2022-03-21,43.0
2022-03-22,50.0
2022-03-23,50.0
2022-03-24,43.0
2022-03-25,38.0
2022-03-26,9.0
2022-03-27,6.0
2022-03-28,66.0
2022-03-29,56.0
2022-03-30,53.0
2022-03-31,41.0
2022-04-01,38.0
2022-04-02,12.0
2022-04-03,8.0
2022-04-04,58.0
2022-04-05,44.0
2022-04-06,43.0
2022-04-07,38.0
2022-04-08,37.0
2022-04-09,9.0
2022-04-10,6.0
2022-04-11,41.0
2022-04-12,38.0
2022-04-13,36.0
2022-04-14,39.0
2022-04-15,16.0
2022-04-16,6.0
2022-04-17,5.0
2022-04-18,38.0
2022-04-19,37.0
2022-04-20,84.0
2022-04-21,89.0
2022-04-22,49.0
2022-04-23,12.0
2022-04-24,7.0
2022-04-25,52.0
2022-04-26,68.0
2022-04-27,67.0
2022-04-28,65.0
2022-04-29,60.0
2022-04-30,14.0
2022-05-01,7.0
2022-05-02,47.0
2022-05-03,41.0
2022-05-04,37.0
2022-05-05,48.0
2022-05-06,45.0
2022-05-07,10.0
2022-05-08,7.0
2022-05-09,58.0
2022-05-10,54.0
2022-05-11,60.0
2022-05-12,63.0
2022-05-13,57.0
2022-05-14,11.0
2022-05-15,7.0
2022-05-16,46.0
2022-05-17,45.0
2022-05-18,54.0
2022-05-19,57.0
2022-05-20,74.0
2022-05-21,18.0
2022-05-22,11.0
2022-05-23,56.0
2022-05-24,63.0
2022-05-25,54.0
2022-05-26,55.0
2022-05-27,49.0
2022-05-28,11.0
2022-05-29,6.0
2022-05-30,10.0
2022-05-31,46.0
2022-06-01,42.0
2022-06-02,43.0
2022-06-03,59.0
2022-06-04,14.0
2022-06-05,7.0
2022-06-06,45.0
2022-06-07,42.0
2022-06-08,38.0
2022-06-09,43.0
2022-06-10,55.0
2022-06-11,14.0
2022-06-12,8.0
2022-06-13,60.0
2022-06-14,49.0
2022-06-15,46.0
2022-06-16,53.0
2022-06-17,39.0
2022-06-18,10.0
2022-06-19,6.0
2022-06-20,15.0
2022-06-21,46.0
2022-06-22,45.0
