Time,google_flights
2022-01-01,40.0
2022-01-02,49.0
2022-01-03,52.0
2022-01-04,62.0
2022-01-05,54.0
2022-01-06,44.0
2022-01-07,48.0
2022-01-08,48.0
2022-01-09,49.0
2022-01-10,53.0
2022-01-11,54.0
2022-01-12,52.0
2022-01-13,55.0
2022-01-14,42.0
2022-01-15,45.0
2022-01-16,44.0
2022-01-17,50.0
2022-01-18,49.0
2022-01-19,52.0
2022-01-20,54.0
2022-01-21,47.0
2022-01-22,54.0
2022-01-23,49.0
2022-01-24,67.0
2022-01-25,58.0
2022-01-26,55.0
2022-01-27,57.0
2022-01-28,51.0
2022-01-29,50.0
2022-01-30,53.0
2022-01-31,59.0
2022-02-01,64.0
2022-02-02,69.0
2022-02-03,64.0
2022-02-04,60.0
2022-02-05,55.0
2022-02-06,58.0
2022-02-07,71.0
2022-02-08,78.0
2022-02-09,69.0
2022-02-10,51.0
2022-02-11,58.0
2022-02-12,54.0
2022-02-13,54.0
2022-02-14,61.0
2022-02-15,76.0
2022-02-16,77.0
2022-02-17,74.0
2022-02-18,70.0
2022-02-19,60.0
2022-02-20,68.0
2022-02-21,68.0
2022-02-22,81.0
2022-02-23,80.0
2022-02-24,69.0
2022-02-25,66.0
2022-02-26,61.0
2022-02-27,68.0
2022-02-28,76.0
2022-03-01,85.0
2022-03-02,80.0
2022-03-03,81.0
2022-03-04,69.0
2022-03-05,71.0
2022-03-06,95.0
2022-03-07,91.0
2022-03-08,90.0
2022-03-09,89.0
2022-03-10,86.0
2022-03-11,79.0
2022-03-12,71.0
2022-03-13,83.0
2022-03-14,82.0
2022-03-15,86.0
2022-03-16,84.0
2022-03-17,80.0
2022-03-18,73.0
2022-03-19,69.0
2022-03-20,78.0
2022-03-21,87.0
2022-03-22,87.0
2022-03-23,84.0
2022-03-24,80.0
2022-03-25,71.0
2022-03-26,68.0
2022-03-27,74.0
2022-03-28,77.0
2022-03-29,80.0
2022-03-30,80.0
2022-03-31,74.0
2022-04-01,73.0
2022-04-02,71.0
2022-04-03,84.0
2022-04-04,82.0
2022-04-05,83.0
2022-04-06,80.0
2022-04-07,87.0
2022-04-08,67.0
2022-04-09,66.0
2022-04-10,69.0
2022-04-11,81.0
2022-04-12,81.0
2022-04-13,77.0
2022-04-14,75.0
2022-04-15,65.0
2022-04-16,60.0
2022-04-17,67.0
2022-04-18,80.0
2022-04-19,85.0
2022-04-20,77.0
2022-04-21,74.0
2022-04-22,71.0
2022-04-23,63.0
2022-04-24,69.0
2022-04-25,79.0
2022-04-26,82.0
2022-04-27,78.0
2022-04-28,75.0
2022-04-29,69.0
2022-04-30,62.0
2022-05-01,67.0
2022-05-02,79.0
2022-05-03,82.0
2022-05-04,81.0
2022-05-05,72.0
2022-05-06,67.0
2022-05-07,62.0
2022-05-08,68.0
