Time,champions_league
2022-01-01,1.0
2022-01-02,2.0
2022-01-03,1.0
2022-01-04,2.0
2022-01-05,2.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-08,1.0
2022-01-09,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-15,2.0
2022-01-16,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-19,1.0
2022-01-20,1.0
2022-01-21,1.0
2022-01-22,1.0
2022-01-23,2.0
2022-01-24,2.0
2022-01-25,1.0
2022-01-26,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-01-29,1.0
2022-01-30,1.0
2022-01-31,1.0
2022-02-01,2.0
2022-02-02,1.0
2022-02-03,1.0
2022-02-04,1.0
2022-02-05,2.0
2022-02-06,2.0
2022-02-07,2.0
2022-02-08,2.0
2022-02-09,2.0
2022-02-10,1.0
2022-02-11,2.0
2022-02-12,3.0
2022-02-13,3.0
2022-02-14,5.0
2022-02-15,35.0
2022-02-16,30.0
2022-02-17,11.0
2022-02-18,5.0
2022-02-19,3.0
2022-02-20,3.0
2022-02-21,4.0
2022-02-22,21.0
2022-02-23,26.0
2022-02-24,10.0
2022-02-25,5.0
2022-02-26,3.0
2022-02-27,3.0
2022-02-28,3.0
2022-03-01,5.0
2022-03-02,3.0
2022-03-03,2.0
2022-03-04,2.0
2022-03-05,2.0
2022-03-06,2.0
2022-03-07,4.0
2022-03-08,26.0
2022-03-09,36.0
2022-03-10,15.0
2022-03-11,5.0
2022-03-12,4.0
2022-03-13,3.0
2022-03-14,4.0
2022-03-15,28.0
2022-03-16,28.0
2022-03-17,13.0
2022-03-18,13.0
2022-03-19,5.0
2022-03-20,4.0
2022-03-21,3.0
2022-03-22,3.0
2022-03-23,3.0
2022-03-24,2.0
2022-03-25,2.0
2022-03-26,2.0
2022-03-27,2.0
2022-03-28,2.0
2022-03-29,2.0
2022-03-30,2.0
2022-03-31,2.0
2022-04-01,2.0
2022-04-02,2.0
2022-04-03,2.0
2022-04-04,5.0
2022-04-05,29.0
2022-04-06,36.0
2022-04-07,10.0
2022-04-08,3.0
2022-04-09,3.0
2022-04-10,3.0
2022-04-11,5.0
2022-04-12,44.0
2022-04-13,41.0
2022-04-14,13.0
2022-04-15,5.0
2022-04-16,4.0
2022-04-17,4.0
2022-04-18,4.0
2022-04-19,4.0
2022-04-20,3.0
2022-04-21,3.0
2022-04-22,3.0
2022-04-23,3.0
2022-04-24,3.0
2022-04-25,6.0
2022-04-26,31.0
2022-04-27,25.0
2022-04-28,8.0
2022-04-29,3.0
2022-04-30,4.0
2022-05-01,4.0
2022-05-02,5.0
2022-05-03,28.0
2022-05-04,42.0
2022-05-05,16.0
2022-05-06,5.0
2022-05-07,5.0
2022-05-08,4.0
2022-05-09,3.0
2022-05-10,3.0
2022-05-11,3.0
2022-05-12,3.0
2022-05-13,3.0
2022-05-14,4.0
2022-05-15,3.0
2022-05-16,3.0
2022-05-17,3.0
2022-05-18,4.0
2022-05-19,3.0
2022-05-20,3.0
2022-05-21,6.0
2022-05-22,6.0
2022-05-23,4.0
2022-05-24,5.0
2022-05-25,5.0
2022-05-26,6.0
2022-05-27,11.0
2022-05-28,100.0
2022-05-29,15.0
2022-05-30,5.0
2022-05-31,3.0
2022-06-01,2.0
2022-06-02,2.0
2022-06-03,1.0
2022-06-04,1.0
2022-06-05,1.0
2022-06-06,1.0
2022-06-07,1.0
2022-06-08,1.0
2022-06-09,1.0
2022-06-10,1.0
2022-06-11,1.0
2022-06-12,1.0
2022-06-13,1.0
2022-06-14,1.0
2022-06-15,1.0
2022-06-16,1.0
2022-06-17,1.0
2022-06-18,1.0
2022-06-19,1.0
2022-06-20,1.0
2022-06-21,1.0
2022-06-22,1.0
2022-06-23,1.0
2022-06-24,1.0
2022-06-25,1.0
2022-06-26,1.0
2022-06-27,1.0
2022-06-28,1.0
2022-06-29,1.0
2022-06-30,1.0
