Time,microsoft
2022-01-01,30.0
2022-01-02,34.0
2022-01-03,57.0
2022-01-04,72.0
2022-01-05,70.0
2022-01-06,53.0
2022-01-07,58.0
2022-01-08,36.0
2022-01-09,34.0
2022-01-10,59.0
2022-01-11,66.0
2022-01-12,67.0
2022-01-13,72.0
2022-01-14,53.0
2022-01-15,35.0
2022-01-16,34.0
2022-01-17,45.0
2022-01-18,100.0
2022-01-19,87.0
2022-01-20,75.0
2022-01-21,64.0
2022-01-22,44.0
2022-01-23,40.0
2022-01-24,84.0
2022-01-25,71.0
2022-01-26,67.0
2022-01-27,66.0
2022-01-28,64.0
2022-01-29,41.0
2022-01-30,38.0
2022-01-31,71.0
2022-02-01,69.0
2022-02-02,69.0
2022-02-03,71.0
2022-02-04,64.0
2022-02-05,39.0
2022-02-06,39.0
2022-02-07,64.0
2022-02-08,70.0
2022-02-09,66.0
2022-02-10,55.0
2022-02-11,61.0
2022-02-12,36.0
2022-02-13,34.0
2022-02-14,58.0
2022-02-15,68.0
2022-02-16,65.0
2022-02-17,65.0
2022-02-18,59.0
2022-02-19,39.0
2022-02-20,37.0
2022-02-21,53.0
2022-02-22,63.0
2022-02-23,66.0
2022-02-24,60.0
2022-02-25,56.0
2022-02-26,38.0
2022-02-27,36.0
2022-02-28,61.0
2022-03-01,65.0
2022-03-02,63.0
2022-03-03,59.0
2022-03-04,58.0
2022-03-05,38.0
2022-03-06,34.0
2022-03-07,60.0
2022-03-08,61.0
2022-03-09,62.0
2022-03-10,62.0
2022-03-11,57.0
2022-03-12,36.0
2022-03-13,35.0
2022-03-14,59.0
2022-03-15,59.0
2022-03-16,59.0
2022-03-17,57.0
2022-03-18,54.0
2022-03-19,35.0
2022-03-20,34.0
2022-03-21,57.0
2022-03-22,60.0
2022-03-23,59.0
2022-03-24,63.0
2022-03-25,51.0
2022-03-26,33.0
2022-03-27,34.0
2022-03-28,55.0
2022-03-29,58.0
2022-03-30,59.0
2022-03-31,58.0
2022-04-01,52.0
2022-04-02,36.0
2022-04-03,34.0
2022-04-04,58.0
2022-04-05,58.0
2022-04-06,60.0
2022-04-07,57.0
2022-04-08,55.0
2022-04-09,35.0
2022-04-10,33.0
2022-04-11,59.0
2022-04-12,58.0
2022-04-13,60.0
2022-04-14,57.0
2022-04-15,48.0
2022-04-16,33.0
2022-04-17,32.0
2022-04-18,56.0
2022-04-19,57.0
2022-04-20,57.0
2022-04-21,58.0
2022-04-22,50.0
2022-04-23,32.0
2022-04-24,33.0
2022-04-25,58.0
2022-04-26,61.0
2022-04-27,60.0
2022-04-28,58.0
2022-04-29,51.0
2022-04-30,32.0
2022-05-01,34.0
2022-05-02,57.0
2022-05-03,57.0
2022-05-04,54.0
2022-05-05,55.0
2022-05-06,52.0
2022-05-07,42.0
2022-05-08,32.0
2022-05-09,54.0
2022-05-10,56.0
2022-05-11,59.0
2022-05-12,57.0
2022-05-13,49.0
2022-05-14,32.0
2022-05-15,30.0
2022-05-16,57.0
2022-05-17,58.0
2022-05-18,57.0
2022-05-19,56.0
2022-05-20,52.0
2022-05-21,30.0
2022-05-22,29.0
2022-05-23,55.0
2022-05-24,57.0
2022-05-25,57.0
2022-05-26,54.0
2022-05-27,48.0
2022-05-28,29.0
2022-05-29,26.0
2022-05-30,32.0
2022-05-31,54.0
2022-06-01,57.0
2022-06-02,60.0
2022-06-03,51.0
2022-06-04,30.0
2022-06-05,30.0
2022-06-06,55.0
2022-06-07,64.0
2022-06-08,59.0
2022-06-09,56.0
2022-06-10,50.0
2022-06-11,31.0
2022-06-12,34.0
2022-06-13,59.0
2022-06-14,59.0
2022-06-15,60.0
2022-06-16,58.0
2022-06-17,50.0
2022-06-18,30.0
2022-06-19,31.0
2022-06-20,48.0
2022-06-21,57.0
2022-06-22,58.0
2022-06-23,58.0
2022-06-24,48.0
2022-06-25,30.0
2022-06-26,30.0
2022-06-27,57.0
2022-06-28,58.0
2022-06-29,50.0
2022-06-30,54.0
2022-07-01,46.0
2022-07-02,29.0
2022-07-03,27.0
2022-07-04,28.0
2022-07-05,52.0
2022-07-06,56.0
2022-07-07,55.0
2022-07-08,52.0
2022-07-09,32.0
2022-07-10,31.0
2022-07-11,55.0
2022-07-12,59.0
2022-07-13,62.0
2022-07-14,61.0
2022-07-15,52.0
2022-07-16,34.0
2022-07-17,32.0
2022-07-18,59.0
2022-07-19,60.0
2022-07-20,59.0
2022-07-21,65.0
2022-07-22,50.0
2022-07-23,32.0
2022-07-24,31.0
2022-07-25,57.0
2022-07-26,63.0
2022-07-27,60.0
2022-07-28,58.0
2022-07-29,53.0
2022-07-30,30.0
2022-07-31,30.0
2022-08-01,56.0
2022-08-02,57.0
2022-08-03,58.0
2022-08-04,56.0
2022-08-05,54.0
2022-08-06,35.0
2022-08-07,34.0
2022-08-08,59.0
2022-08-09,63.0
2022-08-10,60.0
2022-08-11,63.0
2022-08-12,57.0
2022-08-13,33.0
2022-08-14,33.0
2022-08-15,62.0
2022-08-16,61.0
2022-08-17,61.0
2022-08-18,62.0
2022-08-19,55.0
2022-08-20,34.0
2022-08-21,34.0
2022-08-22,60.0
2022-08-23,62.0
2022-08-24,68.0
2022-08-25,65.0
2022-08-26,56.0
2022-08-27,36.0
2022-08-28,35.0
2022-08-29,61.07534246575342
2022-08-30,65.19863013698631
2022-08-31,61.07534246575342
2022-09-01,63.84931506849315
2022-09-02,52.82876712328767
2022-09-03,33.06164383561644
2022-09-04,33.986301369863014
2022-09-05,38.10958904109589
2022-09-06,62.0
2022-09-07,62.92465753424658
2022-09-08,63.34931506849315
2022-09-09,56.02739726027397
2022-09-10,33.986301369863014
2022-09-11,34.91095890410959
2022-09-12,62.0
2022-09-13,62.0
2022-09-14,64.77397260273972
2022-09-15,61.07534246575342
2022-09-16,55.102739726027394
2022-09-17,34.91095890410959
2022-09-18,33.986301369863014
2022-09-19,61.07534246575342
2022-09-20,58.8013698630137
2022-09-21,62.0
2022-09-22,59.72602739726027
2022-09-23,55.102739726027394
2022-09-24,32.13698630136986
2022-09-25,33.06164383561644
2022-09-26,57.87671232876713
2022-09-27,58.8013698630137
2022-09-28,59.45205479452054
2022-09-29,56.90410958904109
2022-09-30,51.80821917808219
2022-10-01,32.273972602739725
2022-10-02,33.97260273972603
2022-10-03,58.602739726027394
2022-10-04,58.602739726027394
2022-10-05,58.602739726027394
2022-10-06,58.602739726027394
2022-10-07,52.65753424657534
2022-10-08,33.12328767123287
2022-10-09,28.876712328767123
2022-10-10,54.35616438356164
2022-10-11,59.45205479452054
2022-10-12,67.0958904109589
2022-10-13,61.150684931506845
2022-10-14,56.054794520547944
2022-10-15,31.424657534246574
2022-10-16,30.575342465753423
2022-10-17,59.45205479452054
2022-10-18,64.54794520547945
2022-10-19,63.698630136986296
2022-10-20,57.75342465753425
2022-10-21,51.80821917808219
2022-10-22,31.424657534246574
2022-10-23,29.72602739726027
2022-10-24,56.90410958904109
2022-10-25,62.84931506849315
2022-10-26,63.698630136986296
2022-10-27,59.45205479452054
2022-10-28,55.20547945205479
2022-10-29,30.575342465753423
2022-10-30,29.72602739726027
2022-10-31,56.054794520547944
2022-11-01,56.054794520547944
2022-11-02,59.45205479452054
2022-11-03,58.602739726027394
2022-11-04,53.50684931506849
2022-11-05,33.12328767123287
2022-11-06,29.72602739726027
2022-11-07,54.35616438356164
2022-11-08,53.50684931506849
2022-11-09,52.65753424657534
2022-11-10,55.20547945205479
2022-11-11,48.410958904109584
2022-11-12,32.273972602739725
2022-11-13,31.424657534246574
2022-11-14,56.90410958904109
2022-11-15,57.75342465753425
2022-11-16,57.75342465753425
2022-11-17,57.75342465753425
2022-11-18,55.20547945205479
2022-11-19,34.821917808219176
2022-11-20,30.575342465753423
2022-11-21,53.50684931506849
2022-11-22,50.958904109589035
2022-11-23,46.71232876712328
2022-11-24,29.72602739726027
2022-11-25,38.21917808219178
2022-11-26,30.575342465753423
2022-11-27,33.97260273972603
2022-11-28,57.75342465753425
2022-11-29,56.90410958904109
2022-11-30,56.90410958904109
2022-12-01,57.75342465753425
2022-12-02,50.958904109589035
2022-12-03,35.671232876712324
2022-12-04,33.12328767123287
2022-12-05,54.35616438356164
2022-12-06,56.90410958904109
2022-12-07,59.45205479452054
2022-12-08,61.150684931506845
2022-12-09,53.50684931506849
2022-12-10,33.97260273972603
2022-12-11,34.821917808219176
2022-12-12,56.90410958904109
2022-12-13,54.35616438356164
2022-12-14,56.054794520547944
2022-12-15,54.35616438356164
2022-12-16,49.26027397260274
2022-12-17,33.97260273972603
2022-12-18,28.027397260273972
2022-12-19,48.410958904109584
2022-12-20,50.958904109589035
2022-12-21,48.410958904109584
2022-12-22,46.71232876712328
2022-12-23,39.06849315068493
2022-12-24,28.876712328767123
2022-12-25,39.91780821917808
2022-12-26,39.91780821917808
2022-12-27,48.410958904109584
2022-12-28,47.56164383561644
2022-12-29,43.31506849315068
2022-12-30,39.91780821917808
2022-12-31,31.424657534246574
2023-01-01,27.17808219178082
2023-01-02,37.36986301369863
2023-01-03,53.50684931506849
2023-01-04,56.90410958904109
2023-01-05,56.054794520547944
2023-01-06,53.50684931506849
2023-01-07,34.821917808219176
2023-01-08,32.273972602739725
2023-01-09,57.75342465753425
2023-01-10,62.84931506849315
2023-01-11,61.150684931506845
2023-01-12,62.0
2023-01-13,57.75342465753425
2023-01-14,35.671232876712324
2023-01-15,32.273972602739725
2023-01-16,47.56164383561644
2023-01-17,62.84931506849315
2023-01-18,84.93150684931507
2023-01-19,72.1917808219178
2023-01-20,61.150684931506845
2023-01-21,41.61643835616438
2023-01-22,36.52054794520548
2023-01-23,73.04109589041096
2023-01-24,73.8904109589041
2023-01-25,72.1917808219178
2023-01-26,65.3972602739726
2023-01-27,60.3013698630137
2023-01-28,38.21917808219178
2023-01-29,35.671232876712324
2023-01-30,60.3013698630137
2023-01-31,67.0958904109589
2023-02-01,66.24657534246575
2023-02-02,65.3972602739726
2023-02-03,62.0
2023-02-04,39.91780821917808
2023-02-05,37.36986301369863
2023-02-06,62.0
2023-02-07,69.64383561643835
2023-02-08,67.0958904109589
2023-02-09,62.84931506849315
2023-02-10,61.150684931506845
2023-02-11,39.91780821917808
2023-02-12,33.12328767123287
2023-02-13,58.602739726027394
2023-02-14,62.0
2023-02-15,64.54794520547945
2023-02-16,61.150684931506845
2023-02-17,62.84931506849315
2023-02-18,39.06849315068493
2023-02-19,35.671232876712324
2023-02-20,59.45205479452054
2023-02-21,62.0
2023-02-22,65.3972602739726
2023-02-23,61.150684931506845
2023-02-24,56.054794520547944
2023-02-25,39.06849315068493
2023-02-26,35.671232876712324
2023-02-27,62.0
2023-02-28,62.84931506849315
2023-03-01,61.150684931506845
2023-03-02,62.0
2023-03-03,53.50684931506849
2023-03-04,36.52054794520548
