Time,lady_gaga
2022-01-01,27.0
2022-01-02,18.0
2022-01-03,14.0
2022-01-04,15.0
2022-01-05,14.0
2022-01-06,14.0
2022-01-07,16.0
2022-01-08,19.0
2022-01-09,19.0
2022-01-10,15.0
2022-01-11,16.0
2022-01-12,17.0
2022-01-13,18.0
2022-01-14,13.0
2022-01-15,19.0
2022-01-16,19.0
2022-01-17,15.0
2022-01-18,16.0
2022-01-19,14.0
2022-01-20,15.0
2022-01-21,16.0
2022-01-22,18.0
2022-01-23,19.0
2022-01-24,17.0
2022-01-25,18.0
2022-01-26,18.0
2022-01-27,20.0
2022-01-28,19.0
2022-01-29,22.0
2022-01-30,25.0
2022-01-31,24.0
2022-02-01,21.0
2022-02-02,21.0
2022-02-03,19.0
2022-02-04,19.0
2022-02-05,24.0
2022-02-06,22.0
2022-02-07,15.0
2022-02-08,20.0
2022-02-09,20.0
2022-02-10,14.0
2022-02-11,16.0
2022-02-12,21.0
2022-02-13,22.0
2022-02-14,27.0
2022-02-15,17.0
2022-02-16,16.0
2022-02-17,14.0
2022-02-18,16.0
2022-02-19,20.0
2022-02-20,20.0
2022-02-21,17.0
2022-02-22,16.0
2022-02-23,15.0
2022-02-24,15.0
2022-02-25,15.0
2022-02-26,18.0
2022-02-27,21.0
2022-02-28,28.0
2022-03-01,19.0
2022-03-02,17.0
2022-03-03,16.0
2022-03-04,16.0
2022-03-05,18.0
2022-03-06,21.0
2022-03-07,35.0
2022-03-08,34.0
2022-03-09,21.0
2022-03-10,23.0
2022-03-11,22.0
2022-03-12,24.0
2022-03-13,25.0
2022-03-14,36.0
2022-03-15,24.0
2022-03-16,19.0
2022-03-17,17.0
2022-03-18,19.0
2022-03-19,21.0
2022-03-20,22.0
2022-03-21,17.0
2022-03-22,16.0
2022-03-23,17.0
2022-03-24,16.0
2022-03-25,16.0
2022-03-26,21.0
2022-03-27,24.0
2022-03-28,77.0
2022-03-29,58.0
2022-03-30,39.0
2022-03-31,28.0
2022-04-01,24.0
2022-04-02,28.0
2022-04-03,32.0
2022-04-04,100.0
2022-04-05,32.0
2022-04-06,25.0
2022-04-07,21.0
2022-04-08,21.0
2022-04-09,30.0
2022-04-10,26.0
2022-04-11,18.0
2022-04-12,17.0
2022-04-13,17.0
2022-04-14,19.0
2022-04-15,22.0
2022-04-16,23.0
2022-04-17,25.0
2022-04-18,19.0
2022-04-19,17.0
2022-04-20,18.0
2022-04-21,17.0
2022-04-22,17.0
2022-04-23,21.0
2022-04-24,20.0
2022-04-25,17.0
2022-04-26,16.0
2022-04-27,20.0
2022-04-28,21.0
2022-04-29,19.0
2022-04-30,22.0
2022-05-01,22.0
2022-05-02,23.0
2022-05-03,44.0
2022-05-04,30.0
2022-05-05,25.0
2022-05-06,25.0
2022-05-07,40.0
2022-05-08,27.0
2022-05-09,19.0
2022-05-10,16.0
2022-05-11,18.0
2022-05-12,18.0
2022-05-13,17.0
2022-05-14,21.0
2022-05-15,22.0
2022-05-16,21.0
2022-05-17,23.0
2022-05-18,19.0
2022-05-19,20.0
2022-05-20,20.0
2022-05-21,21.0
2022-05-22,21.0
2022-05-23,17.0
2022-05-24,15.0
2022-05-25,15.0
2022-05-26,16.0
2022-05-27,19.0
2022-05-28,26.0
2022-05-29,30.0
2022-05-30,26.0
2022-05-31,25.0
2022-06-01,20.0
2022-06-02,18.0
2022-06-03,20.0
2022-06-04,22.0
2022-06-05,24.0
2022-06-06,18.0
2022-06-07,18.0
2022-06-08,20.0
2022-06-09,20.0
2022-06-10,20.0
2022-06-11,25.0
2022-06-12,28.0
2022-06-13,21.0
2022-06-14,34.0
2022-06-15,27.0
2022-06-16,25.0
2022-06-17,25.0
2022-06-18,29.0
2022-06-19,26.0
2022-06-20,19.0
2022-06-21,21.0
2022-06-22,20.0
2022-06-23,34.0
2022-06-24,20.0
2022-06-25,24.0
2022-06-26,27.0
2022-06-27,27.0
2022-06-28,19.0
2022-06-29,20.0
2022-06-30,20.0
2022-07-01,21.0
2022-07-02,24.0
2022-07-03,26.0
2022-07-04,23.0
2022-07-05,25.0
2022-07-06,21.0
2022-07-07,21.0
2022-07-08,23.0
2022-07-09,28.0
2022-07-10,27.0
2022-07-11,20.0
2022-07-12,25.0
2022-07-13,23.0
2022-07-14,23.0
2022-07-15,26.0
2022-07-16,32.0
2022-07-17,39.0
2022-07-18,33.0
2022-07-19,29.0
2022-07-20,29.0
2022-07-21,25.0
2022-07-22,24.0
2022-07-23,28.0
2022-07-24,40.0
2022-07-25,27.0
2022-07-26,26.0
2022-07-27,24.0
2022-07-28,21.0
2022-07-29,24.0
2022-07-30,26.0
2022-07-31,29.0
2022-08-01,24.0
2022-08-02,22.0
2022-08-03,24.0
2022-08-04,40.0
2022-08-05,44.0
2022-08-06,37.0
2022-08-07,40.0
2022-08-08,41.0
2022-08-09,43.0
2022-08-10,36.0
2022-08-11,47.0
2022-08-12,47.0
2022-08-13,36.0
2022-08-14,39.0
2022-08-15,43.0
2022-08-16,42.0
2022-08-17,28.0
2022-08-18,28.0
2022-08-19,41.0
2022-08-20,45.0
2022-08-21,39.0
2022-08-22,28.0
2022-08-23,34.0
2022-08-24,37.0
2022-08-25,28.0
2022-08-26,34.0
2022-08-27,43.0
2022-08-28,45.0
2022-08-29,43.9375
2022-08-30,29.6875
2022-08-31,20.625
2022-09-01,19.625
2022-09-02,23.3125
2022-09-03,26.5
2022-09-04,27.0
2022-09-05,26.0
2022-09-06,20.125
2022-09-07,22.8125
2022-09-08,29.6875
2022-09-09,37.0625
2022-09-10,34.375
