Time,docs
2022-01-01,13.0
2022-01-02,17.0
2022-01-03,28.0
2022-01-04,37.0
2022-01-05,38.0
2022-01-06,30.0
2022-01-07,33.0
2022-01-08,18.0
2022-01-09,19.0
2022-01-10,38.0
2022-01-11,41.0
2022-01-12,43.0
2022-01-13,42.0
2022-01-14,33.0
2022-01-15,21.0
2022-01-16,17.0
2022-01-17,25.0
2022-01-18,41.0
2022-01-19,42.0
2022-01-20,43.0
2022-01-21,38.0
2022-01-22,25.0
2022-01-23,26.0
2022-01-24,59.0
2022-01-25,45.0
2022-01-26,45.0
2022-01-27,47.0
2022-01-28,45.0
2022-01-29,28.0
2022-01-30,28.0
2022-01-31,54.0
2022-02-01,53.0
2022-02-02,52.0
2022-02-03,48.0
2022-02-04,43.0
2022-02-05,25.0
2022-02-06,28.0
2022-02-07,57.0
2022-02-08,57.0
2022-02-09,54.0
2022-02-10,44.0
2022-02-11,48.0
2022-02-12,27.0
2022-02-13,28.0
2022-02-14,49.0
2022-02-15,56.0
2022-02-16,55.0
2022-02-17,53.0
2022-02-18,48.0
2022-02-19,27.0
2022-02-20,28.0
2022-02-21,41.0
2022-02-22,51.0
2022-02-23,52.0
2022-02-24,47.0
2022-02-25,42.0
2022-02-26,31.0
2022-02-27,32.0
2022-02-28,56.0
2022-03-01,54.0
2022-03-02,51.0
2022-03-03,52.0
2022-03-04,43.0
2022-03-05,26.0
2022-03-06,28.0
2022-03-07,49.0
2022-03-08,48.0
2022-03-09,49.0
2022-03-10,47.0
2022-03-11,38.0
2022-03-12,26.0
2022-03-13,25.0
2022-03-14,44.0
2022-03-15,46.0
2022-03-16,42.0
2022-03-17,41.0
2022-03-18,35.0
2022-03-19,23.0
2022-03-20,27.0
2022-03-21,48.0
2022-03-22,46.0
2022-03-23,44.0
2022-03-24,43.0
2022-03-25,76.0
2022-03-26,30.0
2022-03-27,36.0
2022-03-28,91.0
2022-03-29,91.0
2022-03-30,48.0
2022-03-31,93.0
2022-04-01,80.0
2022-04-02,32.0
2022-04-03,37.0
2022-04-04,96.0
2022-04-05,93.0
2022-04-06,91.0
2022-04-07,90.0
2022-04-08,78.0
2022-04-09,32.0
2022-04-10,37.0
2022-04-11,95.0
2022-04-12,88.0
2022-04-13,85.0
2022-04-14,78.0
2022-04-15,53.0
2022-04-16,30.0
2022-04-17,30.0
2022-04-18,80.0
2022-04-19,89.0
2022-04-20,89.0
2022-04-21,88.0
2022-04-22,76.0
2022-04-23,33.0
2022-04-24,39.0
2022-04-25,100.0
2022-04-26,100.0
2022-04-27,90.0
2022-04-28,87.0
2022-04-29,79.0
2022-04-30,35.0
2022-05-01,40.0
2022-05-02,94.0
2022-05-03,93.0
2022-05-04,92.0
2022-05-05,85.0
2022-05-06,80.0
2022-05-07,31.0
2022-05-08,31.0
2022-05-09,86.0
2022-05-10,89.0
2022-05-11,85.0
2022-05-12,90.0
2022-05-13,75.0
2022-05-14,27.0
2022-05-15,30.0
2022-05-16,84.0
2022-05-17,83.0
2022-05-18,78.0
2022-05-19,81.0
2022-05-20,67.0
2022-05-21,25.0
2022-05-22,28.0
2022-05-23,77.0
2022-05-24,74.0
2022-05-25,66.0
2022-05-26,63.0
2022-05-27,47.0
2022-05-28,20.0
2022-05-29,19.0
2022-05-30,25.0
2022-05-31,57.0
2022-06-01,56.0
2022-06-02,57.0
2022-06-03,47.0
2022-06-04,20.0
2022-06-05,24.0
2022-06-06,51.0
2022-06-07,49.0
2022-06-08,47.0
2022-06-09,43.0
2022-06-10,35.0
2022-06-11,19.0
2022-06-12,21.0
2022-06-13,40.0
2022-06-14,39.0
2022-06-15,36.0
2022-06-16,34.0
2022-06-17,27.0
2022-06-18,17.0
2022-06-19,18.0
2022-06-20,28.0
2022-06-21,32.0
2022-06-22,32.0
2022-06-23,30.0
2022-06-24,26.0
2022-06-25,17.0
2022-06-26,19.0
2022-06-27,30.0
2022-06-28,30.0
