Time,google_snake
2022-01-01,4.0
2022-01-02,5.0
2022-01-03,11.0
2022-01-04,17.0
2022-01-05,19.0
2022-01-06,17.0
2022-01-07,20.0
2022-01-08,9.0
2022-01-09,7.0
2022-01-10,26.0
2022-01-11,28.0
2022-01-12,23.0
2022-01-13,30.0
2022-01-14,19.0
2022-01-15,6.0
2022-01-16,5.0
2022-01-17,5.0
2022-01-18,18.0
2022-01-19,19.0
2022-01-20,19.0
2022-01-21,20.0
2022-01-22,6.0
2022-01-23,4.0
2022-01-24,17.0
2022-01-25,18.0
2022-01-26,17.0
2022-01-27,20.0
2022-01-28,20.0
2022-01-29,5.0
2022-01-30,5.0
2022-01-31,17.0
2022-02-01,17.0
2022-02-02,19.0
2022-02-03,18.0
2022-02-04,16.0
2022-02-05,5.0
2022-02-06,5.0
2022-02-07,17.0
2022-02-08,22.0
2022-02-09,20.0
2022-02-10,18.0
2022-02-11,21.0
2022-02-12,6.0
2022-02-13,4.0
2022-02-14,16.0
2022-02-15,17.0
2022-02-16,17.0
2022-02-17,17.0
2022-02-18,16.0
2022-02-19,6.0
2022-02-20,5.0
2022-02-21,6.0
2022-02-22,12.0
2022-02-23,13.0
2022-02-24,12.0
2022-02-25,12.0
2022-02-26,6.0
2022-02-27,4.0
2022-02-28,13.0
2022-03-01,13.0
2022-03-02,14.0
2022-03-03,14.0
2022-03-04,14.0
2022-03-05,5.0
2022-03-06,4.0
2022-03-07,12.0
2022-03-08,14.0
2022-03-09,13.0
2022-03-10,13.0
2022-03-11,11.0
2022-03-12,5.0
2022-03-13,4.0
2022-03-14,10.0
2022-03-15,10.0
2022-03-16,11.0
2022-03-17,9.0
2022-03-18,9.0
2022-03-19,4.0
2022-03-20,4.0
2022-03-21,11.0
2022-03-22,13.0
2022-03-23,13.0
2022-03-24,13.0
2022-03-25,58.0
2022-03-26,8.0
2022-03-27,7.0
2022-03-28,44.0
2022-03-29,46.0
2022-03-30,13.0
2022-03-31,52.0
2022-04-01,50.0
2022-04-02,7.0
2022-04-03,6.0
2022-04-04,40.0
2022-04-05,43.0
2022-04-06,43.0
2022-04-07,40.0
2022-04-08,43.0
2022-04-09,7.0
2022-04-10,6.0
2022-04-11,37.0
2022-04-12,39.0
2022-04-13,41.0
2022-04-14,50.0
2022-04-15,21.0
2022-04-16,6.0
2022-04-17,6.0
2022-04-18,29.0
2022-04-19,40.0
2022-04-20,36.0
2022-04-21,44.0
2022-04-22,53.0
2022-04-23,6.0
2022-04-24,5.0
2022-04-25,40.0
2022-04-26,42.0
2022-04-27,41.0
2022-04-28,42.0
2022-04-29,45.0
2022-04-30,7.0
2022-05-01,6.0
2022-05-02,44.0
2022-05-03,41.0
2022-05-04,40.0
2022-05-05,46.0
2022-05-06,46.0
2022-05-07,7.0
2022-05-08,6.0
2022-05-09,49.0
2022-05-10,47.0
2022-05-11,48.0
2022-05-12,50.0
2022-05-13,46.0
2022-05-14,7.0
2022-05-15,6.0
2022-05-16,43.0
2022-05-17,45.0
2022-05-18,39.0
2022-05-19,43.0
2022-05-20,41.0
2022-05-21,7.0
2022-05-22,6.0
2022-05-23,37.0
2022-05-24,33.0
2022-05-25,39.0
2022-05-26,39.0
2022-05-27,29.0
2022-05-28,5.0
2022-05-29,5.0
2022-05-30,5.0
2022-05-31,30.0
2022-06-01,30.0
2022-06-02,31.0
2022-06-03,30.0
2022-06-04,7.0
2022-06-05,6.0
2022-06-06,25.0
2022-06-07,24.0
2022-06-08,24.0
2022-06-09,20.0
2022-06-10,17.0
2022-06-11,5.0
2022-06-12,6.0
2022-06-13,16.0
2022-06-14,15.0
2022-06-15,14.0
2022-06-16,12.0
2022-06-17,11.0
2022-06-18,5.0
2022-06-19,6.0
2022-06-20,8.0
2022-06-21,9.0
2022-06-22,9.0
2022-06-23,9.0
2022-06-24,7.0
2022-06-25,5.0
2022-06-26,4.0
2022-06-27,7.0
2022-06-28,7.0
2022-06-29,7.0
2022-06-30,7.0
2022-07-01,6.0
2022-07-02,5.0
2022-07-03,5.0
2022-07-04,5.0
2022-07-05,6.0
2022-07-06,6.0
2022-07-07,6.0
2022-07-08,6.0
2022-07-09,5.0
2022-07-10,4.0
2022-07-11,6.0
2022-07-12,7.0
2022-07-13,6.0
2022-07-14,6.0
2022-07-15,5.0
2022-07-16,4.0
2022-07-17,4.0
2022-07-18,6.0
2022-07-19,6.0
2022-07-20,6.0
2022-07-21,5.0
2022-07-22,6.0
2022-07-23,4.0
2022-07-24,4.0
2022-07-25,5.0
2022-07-26,6.0
2022-07-27,6.0
2022-07-28,6.0
2022-07-29,6.0
2022-07-30,4.0
2022-07-31,5.0
2022-08-01,6.0
2022-08-02,7.0
2022-08-03,8.0
2022-08-04,8.0
2022-08-05,10.0
2022-08-06,5.0
2022-08-07,5.0
2022-08-08,10.0
2022-08-09,14.0
2022-08-10,16.0
2022-08-11,23.0
2022-08-12,27.0
2022-08-13,5.0
2022-08-14,5.0
2022-08-15,26.0
2022-08-16,38.0
