Time,hobby_lobby
2022-01-01,80.0
2022-01-02,43.0
2022-01-03,53.0
2022-01-04,52.0
2022-01-05,47.0
2022-01-06,35.0
2022-01-07,46.0
2022-01-08,68.0
2022-01-09,46.0
2022-01-10,43.0
2022-01-11,44.0
2022-01-12,36.0
2022-01-13,47.0
2022-01-14,38.0
2022-01-15,61.0
2022-01-16,38.0
2022-01-17,52.0
2022-01-18,37.0
2022-01-19,35.0
2022-01-20,36.0
2022-01-21,39.0
2022-01-22,61.0
2022-01-23,40.0
2022-01-24,48.0
2022-01-25,34.0
2022-01-26,35.0
2022-01-27,38.0
2022-01-28,42.0
2022-01-29,61.0
2022-01-30,42.0
2022-01-31,40.0
2022-02-01,39.0
2022-02-02,37.0
2022-02-03,35.0
2022-02-04,40.0
2022-02-05,63.0
2022-02-06,42.0
2022-02-07,45.0
2022-02-08,46.0
2022-02-09,37.0
2022-02-10,35.0
2022-02-11,45.0
2022-02-12,66.0
2022-02-13,37.0
2022-02-14,34.0
2022-02-15,36.0
2022-02-16,36.0
2022-02-17,36.0
2022-02-18,45.0
2022-02-19,64.0
2022-02-20,46.0
2022-02-21,58.0
2022-02-22,42.0
2022-02-23,40.0
2022-02-24,38.0
2022-02-25,42.0
2022-02-26,63.0
2022-02-27,42.0
2022-02-28,43.0
2022-03-01,42.0
2022-03-02,39.0
2022-03-03,39.0
2022-03-04,44.0
2022-03-05,57.0
2022-03-06,40.0
2022-03-07,43.0
2022-03-08,39.0
2022-03-09,37.0
2022-03-10,39.0
2022-03-11,42.0
2022-03-12,56.0
2022-03-13,36.0
2022-03-14,43.0
2022-03-15,40.0
2022-03-16,39.0
2022-03-17,37.0
2022-03-18,41.0
2022-03-19,58.0
2022-03-20,37.0
2022-03-21,42.0
2022-03-22,39.0
2022-03-23,38.0
2022-03-24,39.0
2022-03-25,43.0
2022-03-26,56.0
2022-03-27,37.0
2022-03-28,37.0
2022-03-29,37.0
2022-03-30,36.0
2022-03-31,36.0
2022-04-01,39.0
2022-04-02,58.0
2022-04-03,36.0
2022-04-04,40.0
2022-04-05,39.0
