Time,bangladesh
2022-01-01,44.0
2022-01-02,51.0
2022-01-03,52.0
2022-01-04,76.0
2022-01-05,53.0
2022-01-06,33.0
2022-01-07,37.0
2022-01-08,50.0
2022-01-09,100.0
2022-01-10,69.0
2022-01-11,53.0
2022-01-12,40.0
2022-01-13,44.0
2022-01-14,30.0
2022-01-15,35.0
2022-01-16,39.0
2022-01-17,30.0
2022-01-18,35.0
2022-01-19,34.0
2022-01-20,33.0
2022-01-21,38.0
2022-01-22,36.0
2022-01-23,44.0
2022-01-24,50.0
2022-01-25,35.0
2022-01-26,34.0
2022-01-27,92.0
2022-01-28,54.0
2022-01-29,46.0
2022-01-30,48.0
2022-01-31,38.0
2022-02-01,40.0
2022-02-02,37.0
2022-02-03,40.0
2022-02-04,37.0
2022-02-05,36.0
2022-02-06,37.0
2022-02-07,41.0
2022-02-08,37.0
2022-02-09,39.0
2022-02-10,32.0
2022-02-11,32.0
2022-02-12,34.0
2022-02-13,38.0
2022-02-14,36.0
2022-02-15,37.0
2022-02-16,38.0
2022-02-17,40.0
2022-02-18,39.0
2022-02-19,36.0
2022-02-20,37.0
2022-02-21,32.0
2022-02-22,41.0
2022-02-23,55.0
2022-02-24,43.0
2022-02-25,56.0
2022-02-26,39.0
2022-02-27,41.0
2022-02-28,54.0
2022-03-01,38.0
2022-03-02,45.0
2022-03-03,55.0
2022-03-04,44.0
2022-03-05,39.0
2022-03-06,35.0
2022-03-07,42.0
2022-03-08,39.0
2022-03-09,38.0
2022-03-10,41.0
2022-03-11,36.0
2022-03-12,34.0
2022-03-13,41.0
2022-03-14,42.0
2022-03-15,40.0
2022-03-16,40.0
2022-03-17,38.0
2022-03-18,67.0
2022-03-19,43.0
2022-03-20,52.0
2022-03-21,43.0
2022-03-22,46.0
2022-03-23,63.0
2022-03-24,48.0
2022-03-25,42.0
2022-03-26,48.0
2022-03-27,44.0
2022-03-28,44.0
2022-03-29,50.0
2022-03-30,44.0
2022-03-31,63.0
2022-04-01,56.0
2022-04-02,53.0
2022-04-03,55.0
2022-04-04,54.0
2022-04-05,41.0
2022-04-06,43.0
2022-04-07,46.0
2022-04-08,53.0
2022-04-09,55.0
2022-04-10,48.0
2022-04-11,50.0
2022-04-12,42.0
2022-04-13,41.0
2022-04-14,40.0
2022-04-15,41.0
2022-04-16,41.0
2022-04-17,43.0
2022-04-18,44.0
2022-04-19,46.0
2022-04-20,50.0
2022-04-21,50.0
2022-04-22,42.0
2022-04-23,42.0
2022-04-24,42.0
2022-04-25,44.0
2022-04-26,52.0
2022-04-27,46.0
2022-04-28,43.0
2022-04-29,43.0
2022-04-30,37.0
2022-05-01,42.0
2022-05-02,43.0
2022-05-03,46.0
2022-05-04,47.0
2022-05-05,49.0
2022-05-06,42.0
2022-05-07,39.0
2022-05-08,36.0
2022-05-09,51.0
2022-05-10,44.0
2022-05-11,47.0
2022-05-12,42.0
2022-05-13,36.0
2022-05-14,36.0
2022-05-15,48.0
2022-05-16,46.0
2022-05-17,51.0
2022-05-18,61.0
2022-05-19,51.0
2022-05-20,43.0
2022-05-21,36.0
2022-05-22,38.0
2022-05-23,59.0
2022-05-24,51.0
2022-05-25,48.0
2022-05-26,52.0
2022-05-27,47.0
2022-05-28,38.0
2022-05-29,40.0
2022-05-30,40.0
2022-05-31,41.0
2022-06-01,38.0
2022-06-02,38.0
2022-06-03,38.0
2022-06-04,41.0
2022-06-05,45.0
2022-06-06,42.0
2022-06-07,37.0
2022-06-08,37.0
2022-06-09,38.0
2022-06-10,36.0
2022-06-11,36.0
2022-06-12,39.0
2022-06-13,44.0
2022-06-14,43.0
2022-06-15,36.0
2022-06-16,63.0
2022-06-17,61.0
2022-06-18,76.0
2022-06-19,65.0
2022-06-20,42.0
2022-06-21,46.0
2022-06-22,45.0
2022-06-23,42.0
2022-06-24,64.0
2022-06-25,73.0
2022-06-26,72.0
2022-06-27,67.0
2022-06-28,41.0
2022-06-29,39.0
2022-06-30,40.0
2022-07-01,38.0
2022-07-02,68.0
2022-07-03,76.0
2022-07-04,45.0
2022-07-05,31.0
2022-07-06,37.0
2022-07-07,59.0
2022-07-08,36.0
2022-07-09,35.0
2022-07-10,69.0
2022-07-11,40.0
2022-07-12,35.0
2022-07-13,66.0
2022-07-14,40.0
2022-07-15,34.0
2022-07-16,78.0
2022-07-17,45.0
2022-07-18,36.0
2022-07-19,37.0
2022-07-20,37.0
2022-07-21,34.0
2022-07-22,37.0
2022-07-23,34.0
2022-07-24,38.0
2022-07-25,36.0
2022-07-26,38.0
2022-07-27,37.0
2022-07-28,39.0
2022-07-29,36.0
2022-07-30,45.0
2022-07-31,48.0
2022-08-01,38.0
2022-08-02,48.0
2022-08-03,36.0
2022-08-04,39.0
2022-08-05,52.0
2022-08-06,36.0
2022-08-07,54.0
2022-08-08,41.0
2022-08-09,40.0
2022-08-10,48.0
2022-08-11,41.0
2022-08-12,35.0
2022-08-13,37.0
2022-08-14,38.0
2022-08-15,37.0
2022-08-16,39.0
2022-08-17,38.0
2022-08-18,37.0
2022-08-19,34.0
2022-08-20,35.0
2022-08-21,38.0
2022-08-22,41.0
2022-08-23,41.0
2022-08-24,36.0
2022-08-25,38.0
2022-08-26,37.0
2022-08-27,35.0
2022-08-28,39.0
2022-08-29,39.98749218261413
2022-08-30,79.47498436522827
2022-08-31,41.66322701688556
2022-09-01,79.97498436522827
2022-09-02,39.98749218261413
2022-09-03,35.63602251407129
2022-09-04,35.13602251407129
2022-09-05,36.81175734834271
2022-09-06,35.63602251407129
2022-09-07,37.31175734834271
2022-09-08,35.63602251407129
2022-09-09,35.63602251407129
2022-09-10,34.63602251407129
2022-09-11,37.31175734834271
2022-09-12,39.98749218261413
2022-09-13,37.31175734834271
2022-09-14,37.81175734834271
2022-09-15,39.98749218261413
2022-09-16,37.31175734834271
2022-09-17,35.13602251407129
2022-09-18,39.48749218261413
2022-09-19,44.33896185115697
2022-09-20,39.98749218261413
2022-09-21,39.98749218261413
2022-09-22,39.98749218261413
2022-09-23,39.48749218261413
2022-09-24,37.81175734834271
2022-09-25,51.86616635397123
2022-09-26,39.48749218261413
2022-09-27,47.01469668542839
2022-09-28,42.32645403377111
2022-09-29,37.623514696685426
2022-09-30,37.623514696685426
2022-10-01,37.623514696685426
2022-10-02,35.272045028142585
2022-10-03,37.623514696685426
2022-10-04,47.02939337085678
2022-10-05,47.02939337085678
2022-10-06,47.02939337085678
2022-10-07,94.05878674171356
2022-10-08,39.974984365228266
2022-10-09,56.43527204502814
2022-10-10,42.32645403377111
2022-10-11,39.974984365228266
2022-10-12,56.43527204502814
2022-10-13,82.30143839899937
2022-10-14,35.272045028142585
2022-10-15,39.974984365228266
2022-10-16,39.974984365228266
2022-10-17,56.43527204502814
2022-10-18,39.974984365228266
2022-10-19,47.02939337085678
2022-10-20,42.32645403377111
2022-10-21,37.623514696685426
2022-10-22,35.272045028142585
2022-10-23,39.974984365228266
2022-10-24,70.54409005628517
2022-10-25,44.67792370231394
2022-10-26,42.32645403377111
2022-10-27,79.94996873045653
2022-10-28,37.623514696685426
2022-10-29,39.974984365228266
2022-10-30,82.30143839899937
2022-10-31,44.67792370231394
2022-11-01,47.02939337085678
2022-11-02,235.1469668542839
2022-11-03,58.786741713570976
2022-11-04,42.32645403377111
2022-11-05,49.38086303939962
2022-11-06,178.71169480925576
2022-11-07,47.02939337085678
2022-11-08,37.623514696685426
2022-11-09,37.623514696685426
2022-11-10,37.623514696685426
2022-11-11,35.272045028142585
2022-11-12,35.272045028142585
2022-11-13,39.974984365228266
2022-11-14,37.623514696685426
2022-11-15,39.974984365228266
2022-11-16,37.623514696685426
2022-11-17,39.974984365228266
2022-11-18,35.272045028142585
2022-11-19,37.623514696685426
2022-11-20,39.974984365228266
2022-11-21,35.272045028142585
2022-11-22,39.974984365228266
2022-11-23,37.623514696685426
2022-11-24,32.920575359599745
2022-11-25,35.272045028142585
2022-11-26,35.272045028142585
2022-11-27,39.974984365228266
2022-11-28,39.974984365228266
2022-11-29,42.32645403377111
2022-11-30,39.974984365228266
2022-12-01,42.32645403377111
2022-12-02,44.67792370231394
2022-12-03,47.02939337085678
