Time,s_and_p_500
2022-01-01,14.0
2022-01-02,7.0
2022-01-03,38.0
2022-01-04,47.0
2022-01-05,47.0
2022-01-06,41.0
2022-01-07,40.0
2022-01-08,14.0
2022-01-09,8.0
2022-01-10,40.0
2022-01-11,42.0
2022-01-12,40.0
2022-01-13,39.0
2022-01-14,34.0
2022-01-15,10.0
2022-01-16,6.0
2022-01-17,12.0
2022-01-18,34.0
2022-01-19,37.0
2022-01-20,42.0
2022-01-21,58.0
2022-01-22,23.0
2022-01-23,11.0
2022-01-24,100.0
2022-01-25,59.0
2022-01-26,52.0
2022-01-27,51.0
2022-01-28,55.0
2022-01-29,17.0
2022-01-30,11.0
2022-01-31,50.0
2022-02-01,48.0
2022-02-02,47.0
2022-02-03,47.0
2022-02-04,49.0
2022-02-05,14.0
2022-02-06,10.0
2022-02-07,40.0
2022-02-08,37.0
2022-02-09,39.0
2022-02-10,39.0
2022-02-11,39.0
2022-02-12,14.0
2022-02-13,11.0
2022-02-14,41.0
2022-02-15,41.0
2022-02-16,38.0
2022-02-17,42.0
2022-02-18,45.0
2022-02-19,12.0
2022-02-20,8.0
2022-02-21,24.0
2022-02-22,52.0
2022-02-23,51.0
2022-02-24,84.0
2022-02-25,55.0
2022-02-26,18.0
2022-02-27,11.0
2022-02-28,49.0
2022-03-01,45.0
2022-03-02,46.0
2022-03-03,42.0
2022-03-04,40.0
2022-03-05,15.0
2022-03-06,9.0
2022-03-07,52.0
2022-03-08,57.0
2022-03-09,50.0
2022-03-10,45.0
2022-03-11,40.0
2022-03-12,14.0
2022-03-13,9.0
2022-03-14,45.0
2022-03-15,45.0
2022-03-16,50.0
2022-03-17,41.0
2022-03-18,47.0
2022-03-19,14.0
2022-03-20,8.0
2022-03-21,39.0
2022-03-22,39.0
2022-03-23,36.0
2022-03-24,41.0
2022-03-25,37.0
2022-03-26,12.0
2022-03-27,10.0
2022-03-28,35.0
2022-03-29,39.0
2022-03-30,40.0
2022-03-31,35.0
2022-04-01,35.0
2022-04-02,11.0
2022-04-03,8.0
2022-04-04,33.0
2022-04-05,35.0
2022-04-06,36.0
2022-04-07,37.0
2022-04-08,31.0
2022-04-09,12.0
2022-04-10,7.0
2022-04-11,32.0
2022-04-12,42.0
2022-04-13,37.0
2022-04-14,35.0
2022-04-15,22.0
2022-04-16,9.0
2022-04-17,8.0
2022-04-18,34.0
2022-04-19,34.0
2022-04-20,34.0
2022-04-21,34.0
2022-04-22,36.0
2022-04-23,17.0
2022-04-24,9.0
2022-04-25,42.0
2022-04-26,46.0
2022-04-27,45.0
2022-04-28,39.0
2022-04-29,41.0
2022-04-30,19.0
2022-05-01,8.0
2022-05-02,45.0
2022-05-03,43.0
2022-05-04,47.0
2022-05-05,56.0
2022-05-06,55.0
2022-05-07,18.0
2022-05-08,11.0
2022-05-09,68.0
2022-05-10,64.0
2022-05-11,64.0
2022-05-12,68.0
2022-05-13,54.0
2022-05-14,18.0
2022-05-15,9.0
2022-05-16,53.0
2022-05-17,52.0
2022-05-18,64.0
2022-05-19,71.0
2022-05-20,71.0
2022-05-21,20.0
2022-05-22,13.0
2022-05-23,53.0
2022-05-24,59.0
2022-05-25,52.0
2022-05-26,52.0
2022-05-27,56.0
2022-05-28,13.0
2022-05-29,10.0
2022-05-30,13.0
2022-05-31,52.0
2022-06-01,48.0
2022-06-02,48.0
2022-06-03,46.0
2022-06-04,12.0
2022-06-05,7.0
2022-06-06,47.0
2022-06-07,44.0
2022-06-08,43.0
2022-06-09,41.0
2022-06-10,57.0
2022-06-11,17.0
2022-06-12,12.0
2022-06-13,85.0
2022-06-14,79.0
2022-06-15,71.0
2022-06-16,78.0
2022-06-17,74.0
2022-06-18,19.0
2022-06-19,15.0
2022-06-20,35.0
2022-06-21,54.0
2022-06-22,59.0
2022-06-23,56.0
2022-06-24,52.0
2022-06-25,16.0
2022-06-26,12.0
2022-06-27,48.0
2022-06-28,50.0
2022-06-29,50.0
2022-06-30,52.0
2022-07-01,49.0
2022-07-02,15.0
2022-07-03,8.0
2022-07-04,11.0
2022-07-05,49.0
2022-07-06,47.0
2022-07-07,47.0
2022-07-08,48.0
2022-07-09,14.0
2022-07-10,9.0
2022-07-11,47.0
2022-07-12,41.0
2022-07-13,49.0
2022-07-14,52.0
2022-07-15,45.0
2022-07-16,13.0
2022-07-17,11.0
2022-07-18,43.0
2022-07-19,49.0
2022-07-20,52.0
2022-07-21,50.0
2022-07-22,47.0
2022-07-23,13.0
2022-07-24,9.0
2022-07-25,43.0
2022-07-26,48.0
2022-07-27,52.0
2022-07-28,56.0
2022-07-29,51.0
2022-07-30,15.0
2022-07-31,11.0
2022-08-01,46.0
2022-08-02,50.0
2022-08-03,49.0
2022-08-04,49.0
2022-08-05,45.0
2022-08-06,14.0
2022-08-07,9.0
2022-08-08,46.0
2022-08-09,38.0
2022-08-10,50.0
2022-08-11,51.0
2022-08-12,51.0
2022-08-13,15.0
2022-08-14,10.0
2022-08-15,50.0
2022-08-16,47.0
2022-08-17,49.0
2022-08-18,46.0
2022-08-19,43.0
2022-08-20,13.0
2022-08-21,8.0
2022-08-22,43.0
2022-08-23,47.0
2022-08-24,43.0
2022-08-25,41.0
2022-08-26,47.0
2022-08-27,17.0
2022-08-28,10.0
2022-08-29,44.809859154929576
2022-08-30,44.809859154929576
2022-08-31,42.29577464788733
2022-09-01,46.82394366197183
2022-09-02,42.29577464788733
2022-09-03,11.246478873239436
2022-09-04,9.732394366197184
2022-09-05,10.070422535211268
2022-09-06,41.11971830985915
2022-09-07,45.985915492957744
2022-09-08,43.13380281690141
2022-09-09,43.97183098591549
2022-09-10,14.098591549295774
2022-09-11,12.922535211267606
2022-09-12,43.13380281690141
2022-09-13,55.21830985915493
2022-09-14,56.894366197183096
2022-09-15,48.0
2022-09-16,52.02816901408451
2022-09-17,14.93661971830986
2022-09-18,10.070422535211268
2022-09-19,45.147887323943664
2022-09-20,48.0
2022-09-21,56.05633802816901
2022-09-22,52.86619718309859
2022-09-23,67.80281690140845
2022-09-24,17.788732394366196
2022-09-25,14.93661971830986
2022-09-26,55.21830985915493
2022-09-27,53.70422535211267
2022-09-28,54.08450704225352
2022-09-29,50.70422535211267
2022-09-30,56.112676056338024
2022-10-01,18.929577464788732
2022-10-02,11.492957746478872
2022-10-03,48.67605633802817
2022-10-04,56.78873239436619
2022-10-05,54.76056338028169
2022-10-06,50.028169014084504
2022-10-07,50.70422535211267
2022-10-08,14.197183098591548
2022-10-09,12.845070422535212
2022-10-10,44.61971830985915
2022-10-11,52.732394366197184
2022-10-12,51.38028169014085
